trade_id,day_index,entry_index,exit_index,side,quantity,entry_price,exit_price,initial_stop,initial_target,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,equity_before,equity_after,entry_exposure,reason,adverse_equity_bound,max_mark_observed_gap,day_status,UTC_day,IV_observation_candle_open_utc,IV_available_utc,IV_annualized_percent,one_day_sigma,reference_price,entry_utc_simulated,exit_bar_open_utc,exit_latest_utc,exit_reason,realized_net_R,initial_price_RR,time_precision
1,609.0,876962.0,877510.0,1.0,0.019,47134.5,47502.100000000006,44605.930563850285,47511.692144025634,0.44777775,0.4512699500000001,0.24450436074639997,6.98440000000011,5.840847939254672,10000.0,10005.840847939255,0.08955555,2.0,9988.56418426432,0.0,0.0,2021-09-01 00:00:00+00:00,2021-08-31 00:00:00+00:00,2021-09-01 00:01:00+00:00,91.08,0.047673450869516666,47150.32,2021-09-01 00:02:00+00:00,2021-09-01 09:10:00+00:00,2021-09-01 09:11:00+00:00,target,0.12157587805955536,0.14917215190261454,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
2,610.0,878402.0,879839.0,-1.0,0.021,48908.8,49349.4,51204.12626439793,48382.681020961754,0.5135424000000001,0.5181687,-1.108034909115026,-9.25259999999997,-9.176276190884892,10005.840847939255,9996.66457174837,0.10264852455768698,3.0,9974.573057149893,0.0,0.0,2021-09-02 00:00:00+00:00,2021-09-01 00:00:00+00:00,2021-09-02 00:01:00+00:00,93.65,0.04901865035057352,48842.94,2021-09-02 00:02:00+00:00,2021-09-02 23:59:00+00:00,2021-09-02 23:59:00+00:00,scheduled_23_59_exit,-0.19037186114972576,0.2292131568390571,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
3,611.0,879842.0,879882.0,-1.0,0.02,49326.4,48851.0,51660.90433231549,48841.18468042552,0.49326400000000004,0.48851,0.0,9.50800000000003,8.526225999999951,9996.66457174837,10005.19079774837,0.09868571591248869,2.0,9994.225901682768,0.0,0.0,2021-09-03 00:00:00+00:00,2021-09-02 00:00:00+00:00,2021-09-03 00:01:00+00:00,92.82,0.04858420849482364,49299.14,2021-09-03 00:02:00+00:00,2021-09-03 00:42:00+00:00,2021-09-03 00:43:00+00:00,target,0.1826131971994066,0.20784511421027005,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
4,612.0,881282.0,881539.0,1.0,0.019,49954.0,50397.700000000004,47386.41499280781,50407.82990441057,0.474563,0.47877815000000007,0.0,8.430300000000083,7.476958850000301,10005.19079774837,10012.66775659837,0.09486335834930776,2.0,9998.29499474837,0.0,0.0,2021-09-04 00:00:00+00:00,2021-09-03 00:00:00+00:00,2021-09-04 00:01:00+00:00,90.15,0.04718666662150777,50027.08,2021-09-04 00:02:00+00:00,2021-09-04 04:19:00+00:00,2021-09-04 04:20:00+00:00,target,0.15326625949976183,0.1767536043166353,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
5,613.0,882722.0,882876.0,1.0,0.018000000000000002,49904.5,50314.100000000006,47281.87316023369,50324.20095984425,0.44914050000000005,0.4528269000000001,0.0,7.3728000000001055,6.470832599999994,10012.66775659837,10019.13858919837,0.08971445191597723,2.0,10010.44561609837,0.0,0.0,2021-09-05 00:00:00+00:00,2021-09-04 00:00:00+00:00,2021-09-05 00:01:00+00:00,91.3,0.04778860413248651,49940.74,2021-09-05 00:02:00+00:00,2021-09-05 02:36:00+00:00,2021-09-05 02:37:00+00:00,target,0.1370727602376068,0.16003075751396287,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
6,614.0,884162.0,884836.0,1.0,0.017,51752.0,52196.600000000006,48993.173553454675,52207.07239392698,0.43989200000000006,0.4436711000000001,0.08809048113747901,7.5582000000001,6.586546418860962,10019.13858919837,10025.725135617231,0.08781034339104711,2.0,10014.14367798821,0.0,0.0,2021-09-06 00:00:00+00:00,2021-09-05 00:00:00+00:00,2021-09-06 00:01:00+00:00,93.37,0.04887209165224826,51799.57,2021-09-06 00:02:00+00:00,2021-09-06 11:16:00+00:00,2021-09-06 11:17:00+00:00,target,0.14043794145767624,0.16495143958650776,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
7,615.0,885602.0,886469.0,1.0,0.017,52649.600000000006,49844.8,49854.83913875017,53095.23095851398,0.4475216000000001,0.4236808,0.08903662692212601,-47.68160000000005,-48.641839026920934,10025.725135617231,9977.08329659031,0.08927465972713375,1.0,9976.74554739031,0.0,0.0,2021-09-07 00:00:00+00:00,2021-09-06 00:00:00+00:00,2021-09-07 00:01:00+00:00,92.86,0.04860514545172725,52683.97,2021-09-07 00:02:00+00:00,2021-09-07 14:29:00+00:00,2021-09-07 14:30:00+00:00,stop,-1.0238030338534299,0.15945226823975409,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
8,616.0,887042.0,887163.0,1.0,0.019,46773.4,47227.9,44210.71458584254,47237.43048874115,0.4443473,0.44866505,0.0,8.6355,7.7424876500008395,9977.08329659031,9984.82578424031,0.08907358729817494,2.0,9970.319949610051,0.0,0.0,2021-09-08 00:00:00+00:00,2021-09-07 00:00:00+00:00,2021-09-08 00:01:00+00:00,95.16,0.04980902047368474,46864.39,2021-09-08 00:02:00+00:00,2021-09-08 02:03:00+00:00,2021-09-08 02:04:00+00:00,target,0.15901263094909326,0.18107196699900374,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
9,617.0,888482.0,888968.0,1.0,0.019,46064.4,46407.200000000004,43524.509536658064,46416.48382188484,0.43761180000000005,0.4408684,0.087933377546436,6.513200000000055,5.546786422453806,9984.82578424031,9990.372570662765,0.08765537014991502,2.0,9975.26117492898,0.0,0.0,2021-09-09 00:00:00+00:00,2021-09-08 00:00:00+00:00,2021-09-09 00:01:00+00:00,92.31,0.04831726229430263,46062.29,2021-09-09 00:02:00+00:00,2021-09-09 08:08:00+00:00,2021-09-09 08:09:00+00:00,target,0.11494044003513641,0.13862165592037848,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
10,618.0,889922.0,890382.0,-1.0,0.022,46452.200000000004,45990.200000000004,48587.27954537881,45980.98279104792,0.5109742,0.5058922,0.0,10.164,9.147133599999506,9990.372570662765,9999.519704262764,0.10229332217308924,2.0,9977.125851288085,0.0,0.0,2021-09-10 00:00:00+00:00,2021-09-09 00:00:00+00:00,2021-09-10 00:01:00+00:00,91.95,0.04812882968217015,46413.88,2021-09-10 00:02:00+00:00,2021-09-10 07:42:00+00:00,2021-09-10 07:43:00+00:00,target,0.19473691315150018,0.22070241362762844,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
