trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,timestamp_precision,initial_stop,initial_target,target_r,realized_net_r
1,1972980.0,1973659.0,1.0,0.535,27976.9,28165.0,7.483820750000001,7.534137500000001,0.1102189452,100.63349999999923,85.50532280479922,10085.5053228048,1.0,10000.0,1.4967641500000002,1696256400.0,2023-10-02T03:00:00Z,2023-10-02T03:00:00Z,2023-10-02T14:19:00Z,2023-10-02T14:20:00Z,stop,within_minute_not_exact_tick,27755.750377013366,28861.498491946546,4.0,0.722691864094457
2,1974120.0,1974600.0,-1.0,2.443,27451.2,27558.300000000003,33.531640800000005,33.662463450000004,-2.8006410139710223,-261.64530000000536,-326.03876323603436,9759.466559568766,3.0,10085.5053228048,6.649471638110203,1696312800.0,2023-10-02T22:00:00Z,2023-10-02T22:00:00Z,2023-10-03T06:00:00Z,2023-10-03T06:00:00Z,opposite,simulated_bar_open_or_final_close,27825.38674341337,25954.453026346513,4.0,-0.35666243702111783
3,1974660.0,1975110.0,1.0,0.659,27627.5,27323.300000000003,9.10326125,9.003027350000002,0.30240966984000006,-200.46779999999808,-218.87649826983807,9540.590061298928,1.0,9759.466559568766,1.8655243489870084,1696343460.0,2023-10-03T07:00:00Z,2023-10-03T07:00:00Z,2023-10-03T14:30:00Z,2023-10-03T14:31:00Z,stop,within_minute_not_exact_tick,27328.82784880153,28822.18860479387,4.0,-1.1120363596915788
4,1976220.0,1976580.0,1.0,1.951,27510.4,27371.2,26.836395200000002,26.700605600000003,0.0,-271.57920000000144,-325.1162008000015,9215.473860498927,3.0,9540.590061298928,5.625730699584485,1696431600.0,2023-10-04T09:00:00Z,2023-10-04T09:00:00Z,2023-10-04T15:00:00Z,2023-10-04T15:00:00Z,opposite,simulated_bar_open_or_final_close,27299.03664450607,28355.853421975717,4.0,-0.7884091336957754
5,1976880.0,1977077.0,-1.0,2.439,27600.7,27825.300000000003,33.659053650000004,33.932953350000005,0.0,-547.7994000000053,-615.3914070000054,8600.08245349892,1.0,9215.473860498927,7.304899164062671,1696461480.0,2023-10-04T20:00:00Z,2023-10-04T20:00:00Z,2023-10-04T23:17:00Z,2023-10-04T23:18:00Z,stop,within_minute_not_exact_tick,27819.68274010842,26724.769039566323,4.0,-1.1522049631632167
6,1978080.0,1978800.0,-1.0,2.82,27534.4,27550.4,38.823504,38.846064,2.6423287143599996,-45.12,-125.43189671436,8474.650556784562,4.0,8600.08245349892,9.028635297375494,1696564800.0,2023-10-05T16:00:00Z,2023-10-05T16:00:00Z,2023-10-06T04:00:00Z,2023-10-06T04:00:00Z,timeout,simulated_bar_open_or_final_close,27776.240527131486,26567.037891474065,4.0,-0.1839203566316134
7,1979580.0,1979858.0,-1.0,1.1380000000000001,27855.5,28152.800000000003,15.849779500000002,16.018943200000002,0.0,-338.32740000000337,-370.1961227000034,8104.454434084558,1.0,8474.650556784562,3.740515173763979,1696628340.0,2023-10-06T17:00:00Z,2023-10-06T17:00:00Z,2023-10-06T21:38:00Z,2023-10-06T21:39:00Z,stop,within_minute_not_exact_tick,28147.169974136075,26688.820103455702,4.0,-1.1153158667207785
8,1980840.0,1981560.0,1.0,0.522,27928.4,27995.7,7.289312400000001,7.306877700000001,0.3494561436604193,35.130599999999625,20.184953756339205,8124.639387840897,4.0,8104.454434084558,1.7988409853582867,1696730400.0,2023-10-07T14:00:00Z,2023-10-07T14:00:00Z,2023-10-08T02:00:00Z,2023-10-08T02:00:00Z,timeout,simulated_bar_open_or_final_close,27740.25672393695,28680.97310425221,4.0,0.20552684419682088
9,1981620.0,1981773.0,1.0,0.365,28004.800000000003,27863.300000000003,5.110876,5.08505225,0.0,-51.6475,-61.84342825,8062.795959590898,1.0,8124.639387840897,1.2581176236938691,1696743240.0,2023-10-08T03:00:00Z,2023-10-08T03:00:00Z,2023-10-08T05:33:00Z,2023-10-08T05:34:00Z,stop,within_minute_not_exact_tick,27868.89168577375,28548.43325690501,4.0,-1.2466790642251417
10,1982460.0,1983180.0,1.0,0.31,27908.4,27911.0,4.325802,4.326205,0.34532670501070456,0.8059999999995489,-8.191333705011155,8054.604625885886,4.0,8062.795959590898,1.0730277739087148,1696827600.0,2023-10-08T17:00:00Z,2023-10-08T17:00:00Z,2023-10-09T05:00:00Z,2023-10-09T05:00:00Z,timeout,simulated_bar_open_or_final_close,27759.998022005348,28502.007911978613,4.0,-0.17805461537642941
11,1983240.0,1983394.0,1.0,0.661,27857.300000000003,27717.300000000003,9.20683765,9.16056765,0.6460162470899999,-92.54,-111.55342154709001,7943.051204338795,1.0,8054.604625885886,2.2861054210931893,1696840500.0,2023-10-09T06:00:00Z,2023-10-09T06:00:00Z,2023-10-09T08:34:00Z,2023-10-09T08:35:00Z,stop,within_minute_not_exact_tick,27722.926881540705,28394.7924738372,4.0,-1.2559404263667353
12,1983600.0,1983959.0,-1.0,1.1500000000000001,27450.5,27588.9,15.784037500000002,15.863617500000002,-2.4727373347,-159.1600000000017,-188.3349176653017,7754.716286673493,1.0,7943.051204338795,3.974300830738234,1696874400.0,2023-10-09T12:00:00Z,2023-10-09T12:00:00Z,2023-10-09T17:59:00Z,2023-10-09T18:00:00Z,stop,within_minute_not_exact_tick,27617.17800176722,26783.787992931113,4.0,-0.9825501379043262
13,1985940.0,1986361.0,-1.0,2.085,27104.4,27296.100000000002,28.256337,28.456184250000003,-4.6915966103999995,-399.6945000000015,-451.71542463960145,7303.000862033892,1.0,7754.716286673493,7.287523090576147,1697018520.0,2023-10-11T03:00:00Z,2023-10-11T03:00:00Z,2023-10-11T10:01:00Z,2023-10-11T10:02:00Z,stop,within_minute_not_exact_tick,27290.590795973225,26359.636816107108,4.0,-1.1635918017728322
14,1986720.0,1987440.0,-1.0,2.862,26763.800000000003,26841.4,38.2989978,38.410043400000006,-7.690396300189525,-222.09119999999584,-291.1098448998063,7011.891017134087,4.0,7303.000862033892,10.488564502054215,1697083200.0,2023-10-11T16:00:00Z,2023-10-11T16:00:00Z,2023-10-12T04:00:00Z,2023-10-12T04:00:00Z,timeout,simulated_bar_open_or_final_close,26981.297083654466,25893.81166538215,4.0,-0.4676638767106026
15,1990020.0,1990740.0,-1.0,1.583,26808.5,26868.600000000002,21.21892775,21.266496900000003,-0.9847492207199999,-95.13830000000345,-136.63897542928345,6875.252041704804,4.0,7011.891017134087,6.052269693909943,1697281200.0,2023-10-13T23:00:00Z,2023-10-13T23:00:00Z,2023-10-14T11:00:00Z,2023-10-14T11:00:00Z,timeout,simulated_bar_open_or_final_close,27015.74864566925,25979.50541732301,4.0,-0.41648750891118613
16,1993380.0,1993762.0,-1.0,1.948,27794.300000000003,28028.9,27.071648200000006,27.3001486,-0.015183522368,-457.0007999999971,-511.3574132776292,6363.894628427174,1.0,6875.252041704804,7.8750998612953405,1697462580.0,2023-10-16T07:00:00Z,2023-10-16T07:00:00Z,2023-10-16T13:22:00Z,2023-10-16T13:23:00Z,stop,within_minute_not_exact_tick,28023.285837288775,26878.356650844915,4.0,-1.1463757265169068
17,1994880.0,1995600.0,-1.0,1.579,28402.4,28504.7,22.4236948,22.504460650000002,1.0381318002244644,-161.53169999999884,-207.4979872502233,6156.396641176951,4.0,6363.894628427174,7.047160931871677,1697572800.0,2023-10-17T08:00:00Z,2023-10-17T08:00:00Z,2023-10-17T20:00:00Z,2023-10-17T20:00:00Z,timeout,simulated_bar_open_or_final_close,28765.39812463352,26950.407501465925,4.0,-0.3620156762263204
18,1995660.0,1996136.0,-1.0,1.413,28425.7,28748.800000000003,20.08275705,20.311027200000005,1.3406964496350502,-456.54030000000307,-498.27478069963814,5658.121860477313,1.0,6156.396641176951,6.524192062505145,1697605020.0,2023-10-17T21:00:00Z,2023-10-17T21:00:00Z,2023-10-18T04:56:00Z,2023-10-18T04:57:00Z,stop,within_minute_not_exact_tick,28743.050202555314,27156.299189778747,4.0,-1.1111890804533446
19,1996320.0,1997040.0,-1.0,1.633,28479.4,28238.9,23.253430100000003,23.057061850000004,-0.19238562428000006,392.7365,346.61839367427996,6004.740254151594,4.0,5658.121860477313,8.219487198544842,1697659200.0,2023-10-18T08:00:00Z,2023-10-18T08:00:00Z,2023-10-18T20:00:00Z,2023-10-18T20:00:00Z,timeout,simulated_bar_open_or_final_close,28782.40600173829,27267.375993046837,4.0,0.7005097586922712
20,1997640.0,1998341.0,1.0,0.202,28304.2,28498.0,2.8587242,2.8782980000000005,-0.672896348394772,39.147599999999855,34.08347414839463,6038.823728299988,1.0,6004.740254151594,0.9521558232343249,1697737320.0,2023-10-19T06:00:00Z,2023-10-19T06:00:00Z,2023-10-19T17:41:00Z,2023-10-19T17:42:00Z,stop,within_minute_not_exact_tick,28089.354329760397,29163.58268095842,4.0,0.7853547611798869
21,1998360.0,1998523.0,-1.0,1.639,28527.100000000002,28784.600000000002,23.37795845,23.588979700000003,0.0,-422.0425,-469.00943815,5569.814290149989,1.0,6038.823728299988,7.7425536832422885,1697748240.0,2023-10-19T18:00:00Z,2023-10-19T18:00:00Z,2023-10-19T20:43:00Z,2023-10-19T20:44:00Z,stop,within_minute_not_exact_tick,28778.75475914211,27520.480963431575,4.0,-1.137096913944756
22,1998960.0,1999466.0,1.0,1.6480000000000001,29228.800000000003,29643.5,24.084531200000004,24.426244000000004,0.9335068478400002,683.4255999999953,633.9813179521552,6203.795608102144,1.0,5569.814290149989,8.648234912461126,1697804820.0,2023-10-20T04:00:00Z,2023-10-20T04:00:00Z,2023-10-20T12:26:00Z,2023-10-20T12:27:00Z,stop,within_minute_not_exact_tick,28932.05509569196,30415.779617232165,4.0,1.296390927308582
23,1999500.0,2000220.0,1.0,1.472,29504.7,29609.100000000002,21.7154592,21.7922976,0.4764007574748371,153.67680000000215,109.69264244252732,6313.488250544671,4.0,6203.795608102144,7.00070104554691,1697850000.0,2023-10-20T13:00:00Z,2023-10-20T13:00:00Z,2023-10-21T01:00:00Z,2023-10-21T01:00:00Z,timeout,simulated_bar_open_or_final_close,29124.89499240038,31023.92003039849,4.0,0.19620451729172744
24,2000580.0,2001300.0,1.0,0.523,29694.600000000002,30188.800000000003,7.765137900000001,7.894371200000002,1.590929904231149,258.46660000000037,241.2161609957692,6554.704411540441,4.0,6313.488250544671,2.4598566091669194,1697914800.0,2023-10-21T07:00:00Z,2023-10-21T07:00:00Z,2023-10-21T19:00:00Z,2023-10-21T19:00:00Z,timeout,simulated_bar_open_or_final_close,29440.639031644,30710.443873424003,4.0,1.8160915514002842
