trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,timestamp_precision,initial_stop,initial_target,target_r,realized_net_r
1,1972980.0,1973700.0,1.0,0.535,27976.9,28286.7,7.483820750000001,7.566692250000001,0.1102189452,165.74299999999963,150.58226805479964,10150.5822680548,4.0,10000.0,1.4967641500000002,1696258800.0,2023-10-02T03:00:00Z,2023-10-02T03:00:00Z,2023-10-02T15:00:00Z,2023-10-02T15:00:00Z,timeout,simulated_bar_open_or_final_close,27755.750377013366,28861.498491946546,4.0,1.272722871867648
2,1974120.0,1974600.0,-1.0,2.458,27451.2,27558.300000000003,33.73752480000001,33.869150700000006,-2.8178369268689205,-263.2518000000054,-328.0406385731365,9822.541629481662,3.0,10150.5822680548,6.6474068007263725,1696312800.0,2023-10-02T22:00:00Z,2023-10-02T22:00:00Z,2023-10-03T06:00:00Z,2023-10-03T06:00:00Z,opposite,simulated_bar_open_or_final_close,27825.38674341337,25954.453026346513,4.0,-0.35666243702111783
3,1974660.0,1975110.0,1.0,0.659,27627.5,27323.300000000003,9.10326125,9.003027350000002,0.30240966984000006,-200.46779999999808,-218.87649826983807,9603.665131211825,1.0,9822.541629481662,1.8535449567711082,1696343460.0,2023-10-03T07:00:00Z,2023-10-03T07:00:00Z,2023-10-03T14:30:00Z,2023-10-03T14:31:00Z,stop,within_minute_not_exact_tick,27328.82784880153,28822.18860479387,4.0,-1.1120363596915788
4,1976220.0,1976580.0,1.0,1.951,27510.4,27371.2,26.836395200000002,26.700605600000003,0.0,-271.57920000000144,-325.1162008000015,9278.548930411824,3.0,9603.665131211825,5.588781956334975,1696431600.0,2023-10-04T09:00:00Z,2023-10-04T09:00:00Z,2023-10-04T15:00:00Z,2023-10-04T15:00:00Z,opposite,simulated_bar_open_or_final_close,27299.03664450607,28355.853421975717,4.0,-0.7884091336957754
5,1976880.0,1977077.0,-1.0,2.439,27600.7,27825.300000000003,33.659053650000004,33.932953350000005,0.0,-547.7994000000053,-615.3914070000054,8663.157523411817,1.0,9278.548930411824,7.255240857690032,1696461480.0,2023-10-04T20:00:00Z,2023-10-04T20:00:00Z,2023-10-04T23:17:00Z,2023-10-04T23:18:00Z,stop,within_minute_not_exact_tick,27819.68274010842,26724.769039566323,4.0,-1.1522049631632167
6,1978080.0,1978800.0,-1.0,2.82,27534.4,27550.4,38.823504,38.846064,2.6423287143599996,-45.12,-125.43189671436,8537.725626697458,4.0,8663.157523411817,8.962899242009884,1696564800.0,2023-10-05T16:00:00Z,2023-10-05T16:00:00Z,2023-10-06T04:00:00Z,2023-10-06T04:00:00Z,timeout,simulated_bar_open_or_final_close,27776.240527131486,26567.037891474065,4.0,-0.1839203566316134
7,1979580.0,1979858.0,-1.0,1.1380000000000001,27855.5,28152.800000000003,15.849779500000002,16.018943200000002,0.0,-338.32740000000337,-370.1961227000034,8167.529503997454,1.0,8537.725626697458,3.7128809692449614,1696628340.0,2023-10-06T17:00:00Z,2023-10-06T17:00:00Z,2023-10-06T21:38:00Z,2023-10-06T21:39:00Z,stop,within_minute_not_exact_tick,28147.169974136075,26688.820103455702,4.0,-1.1153158667207785
8,1980840.0,1981560.0,1.0,0.522,27928.4,27995.7,7.289312400000001,7.306877700000001,0.3494561436604193,35.130599999999625,20.184953756339205,8187.714457753794,4.0,8167.529503997454,1.7849491443973051,1696730400.0,2023-10-07T14:00:00Z,2023-10-07T14:00:00Z,2023-10-08T02:00:00Z,2023-10-08T02:00:00Z,timeout,simulated_bar_open_or_final_close,27740.25672393695,28680.97310425221,4.0,0.20552684419682088
9,1981620.0,1981773.0,1.0,0.365,28004.800000000003,27863.300000000003,5.110876,5.08505225,0.0,-51.6475,-61.84342825,8125.8710295037945,1.0,8187.714457753794,1.248425559140007,1696743240.0,2023-10-08T03:00:00Z,2023-10-08T03:00:00Z,2023-10-08T05:33:00Z,2023-10-08T05:34:00Z,stop,within_minute_not_exact_tick,27868.89168577375,28548.43325690501,4.0,-1.2466790642251417
10,1982460.0,1983180.0,1.0,0.31,27908.4,27911.0,4.325802,4.326205,0.34532670501070456,0.8059999999995489,-8.191333705011155,8117.679695798783,4.0,8125.8710295037945,1.064698660437429,1696827600.0,2023-10-08T17:00:00Z,2023-10-08T17:00:00Z,2023-10-09T05:00:00Z,2023-10-09T05:00:00Z,timeout,simulated_bar_open_or_final_close,27759.998022005348,28502.007911978613,4.0,-0.17805461537642941
