trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,timestamp_precision,initial_stop,initial_target,target_r,realized_net_r
1,1973640.0,1973649.0,1.0,0.808,28545.800000000003,28283.4,11.5325032,11.426493600000002,0.0,-212.01920000000118,-234.9781968000012,9765.0218032,1.0,10000.0,2.3065006400000003,1696255800.0,2023-10-02T14:00:00Z,2023-10-02T14:00:00Z,2023-10-02T14:09:00Z,2023-10-02T14:10:00Z,stop,within_minute_not_exact_tick,28289.12100841966,29059.157983160687,2.0,-1.1329894909181744
2,1977960.0,1978024.0,1.0,1.0,27982.2,27781.7,13.991100000000001,13.89085,0.0,-200.5,-228.38195,9536.6398532,1.0,9765.0218032,2.8655542777006633,1696518300.0,2023-10-05T14:00:00Z,2023-10-05T14:00:00Z,2023-10-05T15:04:00Z,2023-10-05T15:05:00Z,stop,within_minute_not_exact_tick,27787.345606205905,28371.908787588192,2.0,-1.172064666097974
3,1992780.0,1992895.0,1.0,1.374,27199.4,27065.7,18.685987800000003,18.5941359,0.0,-183.70380000000102,-220.98392370000101,9315.655929499999,1.0,9536.6398532,3.9187781205200816,1697410560.0,2023-10-15T21:00:00Z,2023-10-15T21:00:00Z,2023-10-15T22:55:00Z,2023-10-15T22:56:00Z,stop,within_minute_not_exact_tick,27071.17993919273,27455.840121614547,2.0,-1.254347790723239
4,1993320.0,1993509.0,1.0,0.846,27909.0,27678.5,11.805507,11.708005499999999,0.006594075936,-195.003,-218.52310657593597,9097.132822924064,1.0,9315.655929499999,2.534551960558217,1697447400.0,2023-10-16T06:00:00Z,2023-10-16T06:00:00Z,2023-10-16T09:09:00Z,2023-10-16T09:10:00Z,stop,within_minute_not_exact_tick,27684.074793787884,28358.85041242423,2.0,-1.148388607777505
5,1998960.0,1999244.0,1.0,0.646,29228.800000000003,29816.300000000003,9.4409024,9.630664900000001,0.36592562118000005,379.52500000000003,360.08750707882,9457.220330002885,2.0,9097.132822924064,2.0755775657599864,1697791500.0,2023-10-20T04:00:00Z,2023-10-20T04:00:00Z,2023-10-20T08:44:00Z,2023-10-20T08:45:00Z,target,within_minute_not_exact_tick,28932.05509569196,29822.289808616082,2.0,1.878418107868741
6,1999260.0,1999491.0,1.0,1.362,29725.800000000003,29390.0,20.243269800000004,20.014590000000002,0.0,-457.359600000004,-497.617459800004,8959.602870202882,1.0,9457.220330002885,4.281018966170967,1697806320.0,2023-10-20T09:00:00Z,2023-10-20T09:00:00Z,2023-10-20T12:51:00Z,2023-10-20T12:52:00Z,stop,within_minute_not_exact_tick,29395.917451734684,30385.565096530645,2.0,-1.1075393406569354
7,2003280.0,2003515.0,1.0,0.606,30730.100000000002,30412.7,9.3112203,9.2150481,0.0,-192.3444000000009,-210.87066840000088,8748.73220180288,1.0,8959.602870202882,2.078489512289992,1698047760.0,2023-10-23T04:00:00Z,2023-10-23T04:00:00Z,2023-10-23T07:55:00Z,2023-10-23T07:56:00Z,stop,within_minute_not_exact_tick,30418.813538627965,31352.67292274408,2.0,-1.117849451165554
8,2004060.0,2004088.0,1.0,0.107,31203.800000000003,30811.4,1.6694033000000001,1.6484099,0.0,-41.98680000000015,-45.30461320000015,8703.42758860288,1.0,8748.73220180288,0.3816331924426674,1698082140.0,2023-10-23T17:00:00Z,2023-10-23T17:00:00Z,2023-10-23T17:28:00Z,2023-10-23T17:29:00Z,stop,within_minute_not_exact_tick,30817.603510210112,31976.192979579784,2.0,-1.09635279240978
9,2004240.0,2004390.0,1.0,0.019,31346.600000000002,32267.300000000003,0.2977927,0.30653935000000004,0.0,17.493300000000012,16.888967950000012,8720.316556552882,2.0,8703.42758860288,0.06843113175088833,1698100260.0,2023-10-23T20:00:00Z,2023-10-23T20:00:00Z,2023-10-23T22:30:00Z,2023-10-23T22:31:00Z,target,within_minute_not_exact_tick,30883.011992167972,32273.77601566406,2.0,1.9174202847845707
10,2004420.0,2004626.0,1.0,0.026000000000000002,33365.5,35053.8,0.4337515,0.4556994000000001,0.08599386885713001,43.89580000000008,42.92035523114295,8763.236911784024,2.0,8720.316556552882,0.09948067760775438,1698114420.0,2023-10-23T23:00:00Z,2023-10-23T23:00:00Z,2023-10-24T02:26:00Z,2023-10-24T02:27:00Z,target,within_minute_not_exact_tick,32517.799015832497,35060.901968335005,2.0,1.947364606550116
