trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,timestamp_precision,initial_stop,initial_target,target_r,realized_net_r
1,1973040.0,1974107.0,1.0,1.359,28120.600000000002,27418.9,19.1079477,18.63114255,-0.28259434932718447,-953.610300000001,-991.0667959006738,9008.933204099325,1.0,10000.0,3.82158954,1696283280.0,2023-10-02T04:00:00Z,2023-10-02T04:00:00Z,2023-10-02T21:47:00Z,2023-10-02T21:48:00Z,stop,within_minute_not_exact_tick,27424.402972064854,32297.782167610883,6.0,-1.0474934219426606
2,1974240.0,1978560.0,1.0,0.986,27483.2,27392.800000000003,13.5492176,13.504650400000001,1.6654808150608842,-89.13439999999785,-117.85374881505875,8891.079455284269,4.0,9008.933204099325,3.0079516171425746,1696550400.0,2023-10-03T00:00:00Z,2023-10-03T00:00:00Z,2023-10-06T00:00:00Z,2023-10-06T00:00:00Z,timeout,simulated_bar_open_or_final_close,26608.283009281648,32732.70194431012,6.0,-0.13661539309865287
3,1979280.0,1983600.0,1.0,1.177,27755.600000000002,27450.5,16.3341706,16.15461925,5.861325512460384,-359.1027000000026,-397.45281536246296,8493.62663992181,4.0,8891.079455284269,3.6742828994272574,1696852800.0,2023-10-06T12:00:00Z,2023-10-06T12:00:00Z,2023-10-09T12:00:00Z,2023-10-09T12:00:00Z,timeout,simulated_bar_open_or_final_close,27039.81854032262,32050.28875806429,6.0,-0.47176820686192844
4,1983840.0,1986687.0,1.0,1.114,27438.600000000002,26821.4,15.283300200000003,14.939519800000003,10.628834639311602,-687.5608000000009,-728.4124546393124,7765.214185282495,1.0,8493.62663992181,3.5987690177397997,1697038080.0,2023-10-09T16:00:00Z,2023-10-09T16:00:00Z,2023-10-11T15:27:00Z,2023-10-11T15:28:00Z,stop,within_minute_not_exact_tick,26826.823354615048,31109.259872309733,6.0,-1.068806972500588
5,1993440.0,1993772.0,1.0,1.226,27842.800000000003,29526.7,17.067636400000005,18.0998671,0.009555954016000002,2064.4613999999974,2029.2843405459814,9794.498525828476,1.0,7765.214185282495,4.395921604415884,1697463180.0,2023-10-16T08:00:00Z,2023-10-16T08:00:00Z,2023-10-16T13:32:00Z,2023-10-16T13:33:00Z,stop,within_minute_not_exact_tick,27249.106701386823,31404.95979167907,6.0,2.787984064247374
6,1993920.0,1998240.0,1.0,0.924,28059.800000000003,28653.7,12.963627600000002,13.238009400000001,-1.7767353660371072,548.7635999999981,524.3386983660351,10318.837224194509,4.0,9794.498525828476,2.647124314902781,1697731200.0,2023-10-16T16:00:00Z,2023-10-16T16:00:00Z,2023-10-19T16:00:00Z,2023-10-19T16:00:00Z,timeout,simulated_bar_open_or_final_close,27040.0451308824,34178.32921470561,6.0,0.5564730710859914
7,1998480.0,2002800.0,1.0,1.111,28740.4,29824.0,15.9652922,16.567232,4.150624802952144,1203.8795999999984,1167.1964509970462,11486.033675191555,4.0,10318.837224194509,3.0943975281568132,1698004800.0,2023-10-19T20:00:00Z,2023-10-19T20:00:00Z,2023-10-22T20:00:00Z,2023-10-22T20:00:00Z,timeout,simulated_bar_open_or_final_close,27852.087782096467,34070.27330742121,6.0,1.1826718612102185
8,2003280.0,2004404.0,1.0,1.129,30730.100000000002,34026.8,17.347141450000002,19.208128600000002,3.5289377017505266,3721.9743000000008,3681.8900922482503,15167.923767439805,1.0,11486.033675191555,3.020562526726303,1698101100.0,2023-10-23T04:00:00Z,2023-10-23T04:00:00Z,2023-10-23T22:44:00Z,2023-10-23T22:45:00Z,stop,within_minute_not_exact_tick,29755.998420041065,36574.70947975362,6.0,3.347901181204694
9,2004480.0,2008800.0,1.0,0.8310000000000001,33080.700000000004,34147.1,13.745030850000003,14.188120050000002,28.313856947800858,886.1783999999952,829.9313921521943,15997.855159592,4.0,15167.923767439805,1.8123813200466827,1698364800.0,2023-10-24T00:00:00Z,2023-10-24T00:00:00Z,2023-10-27T00:00:00Z,2023-10-27T00:00:00Z,timeout,simulated_bar_open_or_final_close,31304.05294248499,43740.58234509011,6.0,0.5621341986604063
10,2009760.0,2014080.0,1.0,0.989,34017.700000000004,34657.5,16.821752650000004,17.13813375,33.84045855483553,632.7621999999957,564.9618550451602,16562.817014637163,4.0,15997.855159592,2.103000993844354,1698681600.0,2023-10-27T16:00:00Z,2023-10-27T16:00:00Z,2023-10-30T16:00:00Z,2023-10-30T16:00:00Z,timeout,simulated_bar_open_or_final_close,32448.338820929726,43433.867074421665,6.0,0.363998781020804
