trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,timestamp_precision,initial_stop,initial_target,target_r,realized_net_r
1,1972860.0,1973580.0,1.0,4.257,1724.1100000000001,1728.6000000000001,3.669768135,3.6793251000000002,0.46441727707319996,19.11393000000004,11.30041948792684,10011.300419487927,4.0,10000.0,0.733953627,1696251600.0,2023-10-02T01:00:00Z,2023-10-02T01:00:00Z,2023-10-02T13:00:00Z,2023-10-02T13:00:00Z,timeout,simulated_bar_open_or_final_close,1674.071474003904,2124.4182079687685,8.0,0.05305012447023548
2,1983660.0,1983880.0,1.0,27.761,1586.3600000000001,1552.22,22.019469980000004,21.54558971,1.7321457627740002,-947.7605400000027,-993.0577454527768,9018.242674035151,1.0,10011.300419487927,4.398923028448343,1696869660.0,2023-10-09T13:00:00Z,2023-10-09T13:00:00Z,2023-10-09T16:40:00Z,2023-10-09T16:41:00Z,stop,within_minute_not_exact_tick,1552.539086594374,1856.9273072450087,8.0,-1.0576794454063894
3,1984020.0,1984740.0,-1.0,8.409,1576.38,1589.71,6.627889710000002,6.6839356950000015,-0.8324587531668002,-112.09196999999939,-124.5713366518326,8893.671337383317,4.0,9018.242674035151,1.4698849763896178,1696921200.0,2023-10-09T19:00:00Z,2023-10-09T19:00:00Z,2023-10-10T07:00:00Z,2023-10-10T07:00:00Z,timeout,simulated_bar_open_or_final_close,1619.5730713278579,1230.8354293771383,8.0,-0.3429728051138954
4,2003280.0,2004000.0,1.0,17.29,1693.96,1675.28,14.6442842,14.4827956,1.007021750098,-322.97720000000106,-353.11130155009903,8540.56003583322,4.0,8893.671337383317,3.2931921238071338,1698076800.0,2023-10-23T04:00:00Z,2023-10-23T04:00:00Z,2023-10-23T16:00:00Z,2023-10-23T16:00:00Z,timeout,simulated_bar_open_or_final_close,1644.9136399585961,2086.3308803312307,8.0,-0.41639915783678
5,2004240.0,2004960.0,1.0,14.377,1708.2,1809.45,12.279395700000002,13.007231325000001,5.140977121121216,1455.67125,1425.243645853879,9965.803681687099,4.0,8540.56003583322,2.8755481252938746,1698134400.0,2023-10-23T20:00:00Z,2023-10-23T20:00:00Z,2023-10-24T08:00:00Z,2023-10-24T08:00:00Z,timeout,simulated_bar_open_or_final_close,1651.2105464005244,2164.115628795805,8.0,1.7395076684963533
6,2005440.0,2006160.0,1.0,9.755,1778.02,1788.1100000000001,8.67229255,8.721506525,3.4748650853429703,98.42795000000143,77.55928583965847,10043.362967526758,4.0,9965.803681687099,1.740410071680617,1698206400.0,2023-10-24T16:00:00Z,2023-10-24T16:00:00Z,2023-10-25T04:00:00Z,2023-10-25T04:00:00Z,timeout,simulated_bar_open_or_final_close,1678.3778800357386,2575.1569597140906,8.0,0.0797927749586002
7,2006520.0,2007240.0,1.0,12.39,1778.07,1788.1100000000001,11.01514365,11.077341450000002,2.2378882136463303,124.39560000000237,100.06522668635604,10143.428194213113,4.0,10043.362967526758,2.193516989401917,1698271200.0,2023-10-25T10:00:00Z,2023-10-25T10:00:00Z,2023-10-25T22:00:00Z,2023-10-25T22:00:00Z,timeout,simulated_bar_open_or_final_close,1699.521145444012,2406.4608364479022,8.0,0.10281867925389797
8,2007840.0,2008238.0,1.0,13.043000000000001,1850.95,1775.44,12.070970425000002,11.578531960000003,2.4132167870703545,-984.87693,-1010.9396491720704,9132.488545041042,1.0,10143.428194213113,2.380057352185243,1698331140.0,2023-10-26T08:00:00Z,2023-10-26T08:00:00Z,2023-10-26T14:38:00Z,2023-10-26T14:39:00Z,stop,within_minute_not_exact_tick,1775.7961945217614,2452.1804438259087,8.0,-1.0313278825717107
9,2014680.0,2015400.0,-1.0,3.6310000000000002,1811.58,1794.58,3.28892349,3.2580599900000005,-0.650326588884599,61.727000000000004,55.8303431088846,9188.318888149926,4.0,9132.488545041042,0.7202688454037847,1698760800.0,2023-10-31T02:00:00Z,2023-10-31T02:00:00Z,2023-10-31T14:00:00Z,2023-10-31T14:00:00Z,timeout,simulated_bar_open_or_final_close,1860.3439051297544,1421.4687589619646,8.0,0.3153156817407342
10,2018160.0,2018880.0,-1.0,2.1350000000000002,1836.77,1801.05,1.9607519750000002,1.922620875,-0.7694732288155851,76.26220000000006,73.14830037881565,9261.46718852874,4.0,9188.318888149926,0.42679232161364367,1698969600.0,2023-11-02T12:00:00Z,2023-11-02T12:00:00Z,2023-11-03T00:00:00Z,2023-11-03T00:00:00Z,timeout,simulated_bar_open_or_final_close,1894.8928895227784,1371.7868838177728,8.0,0.5894665473065293
