trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,timestamp_precision,initial_stop,initial_target,target_r,realized_net_r
1,2306640.0,2310439.0,1.0,1.837,3438.98,3854.25,3.15870313,3.540128625,6.665815689397385,762.8509899999999,749.4863425556025,10749.486342555601,2.0,10000.0,0.631740626,1716463200.0,2024-05-20T20:00:00Z,2024-05-20T20:00:00Z,2024-05-23T11:19:00Z,2024-05-23T11:20:00Z,target,within_minute_not_exact_tick,3334.9690778554927,3855.0236885780287,4.0,3.922614417845224
2,2416440.0,2417305.0,-1.0,1.1400000000000001,2316.9,2502.61,1.3206330000000004,1.4264877000000002,0.1732838728539233,-211.70940000000007,-214.62980457285397,10534.856537982747,1.0,10749.486342555601,0.24571090337066853,1722875160.0,2024-08-05T02:00:00Z,2024-08-05T02:00:00Z,2024-08-05T16:25:00Z,2024-08-05T16:26:00Z,stop,within_minute_not_exact_tick,2502.1086638884412,1576.0653444462353,4.0,-1.0165386134994425
3,2550480.0,2553129.0,1.0,2.325,2579.56,2926.8,2.9987385000000004,3.402405000000001,4.160571820990464,807.3330000000007,796.7712846790103,11331.627822661754,2.0,10534.856537982747,0.5692984027239938,1731024600.0,2024-11-06T04:00:00Z,2024-11-06T04:00:00Z,2024-11-08T00:09:00Z,2024-11-08T00:10:00Z,target,within_minute_not_exact_tick,2492.6026539135723,2927.3893843457104,4.0,3.940981897067682
4,2558580.0,2560558.0,1.0,1.845,3326.28,3207.52,3.0684933,2.9589372,8.269305144233515,-219.1122000000004,-233.40893564423394,11098.218887017521,1.0,11331.627822661754,0.5415803180304634,1731470340.0,2024-11-11T19:00:00Z,2024-11-11T19:00:00Z,2024-11-13T03:58:00Z,2024-11-13T03:59:00Z,stop,within_minute_not_exact_tick,3208.1710537957506,3798.715784816998,4.0,-1.0711204550879747
5,2572680.0,2572772.0,1.0,1.984,3351.46,3243.69,3.3246483199999997,3.21774048,0.0,-213.81567999999996,-220.35806879999996,10877.860818217521,1.0,11098.218887017521,0.5991318704101445,1732203180.0,2024-11-21T14:00:00Z,2024-11-21T14:00:00Z,2024-11-21T15:32:00Z,2024-11-21T15:33:00Z,stop,within_minute_not_exact_tick,3244.3451526265458,3779.919389493817,4.0,-1.0369017715421338
6,2640480.0,2644800.0,-1.0,2.117,3460.51,3244.34,3.6629498350000005,3.43413389,-5.605716079901738,457.63189000000017,456.1405223549019,11334.001340572424,4.0,10877.860818217521,0.6734687814474578,1736524800.0,2025-01-07T16:00:00Z,2025-01-07T16:00:00Z,2025-01-10T16:00:00Z,2025-01-10T16:00:00Z,timeout,simulated_bar_open_or_final_close,3558.382916245687,3069.0183350172542,4.0,2.2014826579828557
7,2652000.0,2653009.0,1.0,2.507,3333.63,3310.7000000000003,4.178705205,4.149962450000001,2.024489478058834,-57.48550999999959,-67.83866713305844,11266.162673439367,7.0,11334.001340572424,0.7373751033611498,1737017400.0,2025-01-15T16:00:00Z,2025-01-15T16:00:00Z,2025-01-16T08:49:00Z,2025-01-16T08:50:00Z,daily_circuit,within_minute_not_exact_tick,3247.9163457363247,3676.4846170547016,4.0,-0.31569882216009537
8,2678520.0,2679343.0,-1.0,1.047,2495.5,2707.68,1.3063942499999999,1.4174704799999998,0.45684550188043466,-222.15245999999982,-225.33317023188025,11040.829503207488,1.0,11266.162673439367,0.23191467900244334,1738597440.0,2025-02-03T02:00:00Z,2025-02-03T02:00:00Z,2025-02-03T15:43:00Z,2025-02-03T15:44:00Z,stop,within_minute_not_exact_tick,2707.137904891161,1648.9483804353565,4.0,-1.016915791827573
9,2710560.0,2711301.0,-1.0,1.745,2366.35,2490.0,2.064640375,2.1725250000000003,-0.12243175302896077,-215.76925000000017,-219.88398362197123,10820.945519585517,1.0,11040.829503207488,0.37400095244658893,1740514920.0,2025-02-25T08:00:00Z,2025-02-25T08:00:00Z,2025-02-25T20:21:00Z,2025-02-25T20:22:00Z,stop,within_minute_not_exact_tick,2489.500052437857,1873.7497902485713,4.0,-1.023207144800294
10,2718300.0,2719249.0,1.0,1.861,2442.17,2340.26,2.272439185,2.17761193,0.09904865449186032,-189.65450999999973,-194.2036097694916,10626.741909816026,7.0,10820.945519585517,0.42000750874994575,1740991800.0,2025-03-02T17:00:00Z,2025-03-02T17:00:00Z,2025-03-03T08:49:00Z,2025-03-03T08:50:00Z,daily_circuit,within_minute_not_exact_tick,2329.369213821971,2893.373144712118,4.0,-0.925121551771609
11,2720280.0,2721383.0,-1.0,1.572,2055.23,2187.9,1.6154107800000002,1.7196894000000003,0.11633773734079164,-208.55724000000012,-212.0086779173409,10414.733231898686,1.0,10626.741909816026,0.30402747967518234,1741119840.0,2025-03-04T02:00:00Z,2025-03-04T02:00:00Z,2025-03-04T20:23:00Z,2025-03-04T20:24:00Z,stop,within_minute_not_exact_tick,2187.454598589623,1526.3316056415083,4.0,-1.0199733834156754
12,2769540.0,2769896.0,-1.0,2.13,1430.2,1526.26,1.523163,1.6254669,0.030003609195000003,-204.60779999999988,-207.7864335091949,10206.94679838949,1.0,10414.733231898686,0.29250158714287405,1744030620.0,2025-04-07T07:00:00Z,2025-04-07T07:00:00Z,2025-04-07T12:56:00Z,2025-04-07T12:57:00Z,stop,within_minute_not_exact_tick,1525.9524601522864,1047.1901593908544,4.0,-1.0187969692512446
13,2815740.0,2815768.0,1.0,1.7,2411.9900000000002,2294.9,2.0501915000000004,1.950665,0.0,-199.05300000000025,-203.05385650000025,10003.89294188949,1.0,10206.94679838949,0.40172473522121055,1746782940.0,2025-05-09T09:00:00Z,2025-05-09T09:00:00Z,2025-05-09T09:28:00Z,2025-05-09T09:29:00Z,stop,within_minute_not_exact_tick,2295.3632130528076,2878.4971477887707,4.0,-1.0241510387667878
14,2967300.0,2971358.0,1.0,1.182,4612.72,4519.16,2.72611752,2.6708235599999997,4.237091236236588,-110.58792000000047,-120.22195231623706,9883.670989573257,7.0,10003.89294188949,0.5450113342546633,1756118340.0,2025-08-22T15:00:00Z,2025-08-22T15:00:00Z,2025-08-25T10:38:00Z,2025-08-25T10:39:00Z,daily_circuit,within_minute_not_exact_tick,4449.984270988393,5263.662916046429,4.0,-0.6250048478882569
15,3011460.0,3015780.0,-1.0,1.722,4189.17,3997.04,3.6068753700000005,3.44145144,0.5201943941849532,330.8478600000002,323.27933879581525,10206.950328369072,4.0,9883.670989573257,0.7298655274553474,1758783600.0,2025-09-22T07:00:00Z,2025-09-22T07:00:00Z,2025-09-25T07:00:00Z,2025-09-25T07:00:00Z,timeout,simulated_bar_open_or_final_close,4298.035713067517,3753.707147729933,4.0,1.724462205530633
16,3124380.0,3126288.0,1.0,1.887,3365.7000000000003,3261.62,3.1755379500000003,3.07733847,1.7432581438936507,-196.39896000000073,-204.3950945638944,10002.555233805177,1.0,10206.950328369072,0.6222305091803865,1765414140.0,2025-12-09T17:00:00Z,2025-12-09T17:00:00Z,2025-12-11T00:48:00Z,2025-12-11T00:49:00Z,stop,within_minute_not_exact_tick,3262.2779304722844,3779.3882781108646,4.0,-1.0473343425647128
17,3158820.0,3163140.0,1.0,3.6310000000000002,3081.92,3164.78,5.59522576,5.745658090000001,5.180880256611071,300.86466000000047,284.34289589338937,10286.89812969857,4.0,10002.555233805177,1.1187592828460617,1767625200.0,2026-01-02T15:00:00Z,2026-01-02T15:00:00Z,2026-01-05T15:00:00Z,2026-01-05T15:00:00Z,timeout,simulated_bar_open_or_final_close,3031.174306276214,3284.902774895145,4.0,1.5431812550803372
18,3182460.0,3185015.0,-1.0,3.291,3210.02,2978.64,5.28208791,4.901352119999999,-1.683965657483356,761.4715800000004,752.9721056274838,11039.870235326054,2.0,10286.89812969857,1.0269544508758108,1768937760.0,2026-01-19T01:00:00Z,2026-01-19T01:00:00Z,2026-01-20T19:35:00Z,2026-01-20T19:36:00Z,target,within_minute_not_exact_tick,3268.014849839259,2978.040600642963,4.0,3.945132348315811
19,3296100.0,3298436.0,1.0,3.492,2219.65,2159.12,3.8755089000000003,3.76982352,1.9000604927717757,-211.3707600000007,-220.91615291277247,10818.954082413282,1.0,11039.870235326054,0.7020931980883088,1775743020.0,2026-04-07T23:00:00Z,2026-04-07T23:00:00Z,2026-04-09T13:56:00Z,2026-04-09T13:57:00Z,stop,within_minute_not_exact_tick,2159.555608031078,2460.027567875689,4.0,-1.0527355557203197
20,3394920.0,3395668.0,1.0,5.09,1813.67,1773.3700000000001,4.61579015,4.513226650000001,0.9159626193497001,-205.12699999999975,-215.17197941934947,10603.782102993935,1.0,10818.954082413282,0.8532784435240711,1781576940.0,2026-06-15T14:00:00Z,2026-06-15T14:00:00Z,2026-06-16T02:28:00Z,2026-06-16T02:29:00Z,stop,within_minute_not_exact_tick,1773.7263276991598,1973.4446892033607,4.0,-1.0583271624337047
21,3488640.0,3488947.0,1.0,3.923,2085.57,2289.58,4.0908455550000005,4.49101117,0.8181491523569691,800.3312299999991,790.9312241226421,11394.713327116577,2.0,10603.782102993935,0.7715823496306976,1787173680.0,2026-08-19T16:00:00Z,2026-08-19T16:00:00Z,2026-08-19T21:07:00Z,2026-08-19T21:08:00Z,target,within_minute_not_exact_tick,2034.451253374227,2290.044986503093,4.0,3.9440300554228864
22,3489000.0,3493320.0,1.0,2.597,2286.58,2405.9,2.96912413,3.12406115,5.467480105536939,309.87404000000043,298.3133746144635,11693.026701731042,4.0,11394.713327116577,0.5211406456245327,1787436000.0,2026-08-19T22:00:00Z,2026-08-19T22:00:00Z,2026-08-22T22:00:00Z,2026-08-22T22:00:00Z,timeout,simulated_bar_open_or_final_close,2202.0732970405825,2624.606811837669,4.0,1.3592821612278092
