trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,timestamp_precision,initial_stop,initial_target,target_r,realized_net_r
1,1973940.0,1978260.0,-1.0,4.5920000000000005,1657.17,1617.0,3.8048623200000007,3.7126320000000006,-1.7859425983280308,184.46064000000035,178.72908827832836,10178.729088278329,4.0,10000.0,0.7609724640000002,1696532400.0,2023-10-02T19:00:00Z,2023-10-02T19:00:00Z,2023-10-05T19:00:00Z,2023-10-05T19:00:00Z,timeout,simulated_bar_open_or_final_close,1698.3800920908675,1492.3296316365306,4.0,0.9444734968328662
2,1983420.0,1983880.0,-1.0,11.224,1613.47,1550.3500000000001,9.05479364,8.7005642,-0.700320739216,708.4588799999988,691.4038428992147,10870.132931177543,2.0,10178.729088278329,1.7791599641702545,1696869660.0,2023-10-09T09:00:00Z,2023-10-09T09:00:00Z,2023-10-09T16:40:00Z,2023-10-09T16:41:00Z,target,within_minute_not_exact_tick,1629.3278998135347,1550.0384007458613,4.0,3.884529834235924
3,1983900.0,1988220.0,-1.0,7.617,1568.3500000000001,1528.48,5.973060975,5.82121608,-5.5882347326857875,303.6897900000009,297.4837476776867,11167.616678855231,4.0,10870.132931177543,1.0989858197351317,1697130000.0,2023-10-09T17:00:00Z,2023-10-09T17:00:00Z,2023-10-12T17:00:00Z,2023-10-12T17:00:00Z,timeout,simulated_bar_open_or_final_close,1594.6743535811074,1463.0525856755712,4.0,1.4836162209100763
4,1993320.0,1993789.0,1.0,11.356,1584.8500000000001,1567.1000000000001,8.9987783,8.8979938,0.7872253856216,-201.569,-220.2529974856216,10947.363681369608,1.0,11167.616678855231,1.6115843798683187,1697464200.0,2023-10-16T06:00:00Z,2023-10-16T06:00:00Z,2023-10-16T13:49:00Z,2023-10-16T13:50:00Z,stop,within_minute_not_exact_tick,1567.4211171813547,1654.5655312745823,4.0,-1.1128250514055193
5,1999260.0,2003580.0,1.0,7.996,1611.1000000000001,1681.88,6.441177800000001,6.724156240000001,5.101469973762026,565.9568799999998,547.6900759862378,11495.053757355845,4.0,10947.363681369608,1.1767541460163047,1698051600.0,2023-10-20T09:00:00Z,2023-10-20T09:00:00Z,2023-10-23T09:00:00Z,2023-10-23T09:00:00Z,timeout,simulated_bar_open_or_final_close,1585.995302377383,1711.5187904904687,4.0,2.728394035313823
6,2004240.0,2005203.0,1.0,6.045,1708.2,1850.3,5.1630345,5.59253175,2.161591896583275,858.9944999999994,846.0773418534161,12341.131099209262,2.0,11495.053757355845,0.8983054118726678,1698149040.0,2023-10-23T20:00:00Z,2023-10-23T20:00:00Z,2023-10-24T12:03:00Z,2023-10-24T12:04:00Z,target,within_minute_not_exact_tick,1672.5815915003277,1850.6736339986892,4.0,3.929517697597091
7,2013660.0,2014152.0,1.0,7.853,1819.96,1790.74,7.14607294,7.03134061,1.4298409186451388,-229.4646600000002,-245.07191446864536,12096.059184740616,1.0,12341.131099209262,1.1580904347508103,1698685980.0,2023-10-30T09:00:00Z,2023-10-30T09:00:00Z,2023-10-30T17:12:00Z,2023-10-30T17:13:00Z,stop,within_minute_not_exact_tick,1791.1014753598467,1935.3940985606127,4.0,-1.081393666031063
8,2017260.0,2018264.0,1.0,5.5840000000000005,1857.76,1816.69,5.186865920000001,5.072198480000001,4.871787953153408,-229.33487999999966,-244.46573235315307,11851.59345238746,1.0,12096.059184740616,0.8576125233486489,1698932700.0,2023-11-01T21:00:00Z,2023-11-01T21:00:00Z,2023-11-02T13:44:00Z,2023-11-02T13:45:00Z,stop,within_minute_not_exact_tick,1817.058241735729,2020.5670330570833,4.0,-1.0756213424102055
9,2021700.0,2025572.0,1.0,9.205,1858.6100000000001,1861.58,8.554252525,8.56792195,13.884616378424646,27.338849999998157,-3.6679408534264883,11847.925511534035,7.0,11851.59345238746,1.4435615867800085,1699371180.0,2023-11-04T23:00:00Z,2023-11-04T23:00:00Z,2023-11-07T15:32:00Z,2023-11-07T15:33:00Z,daily_circuit,within_minute_not_exact_tick,1835.4827358321163,1951.1190566715352,4.0,-0.017229563301419313
10,2027700.0,2028436.0,1.0,6.4190000000000005,1918.8600000000001,2055.26,6.1585811700000015,6.596356970000002,1.227589810994988,875.5516000000007,861.5690720490056,12709.49458358304,2.0,11847.925511534035,1.039604977935518,1699543020.0,2023-11-09T03:00:00Z,2023-11-09T03:00:00Z,2023-11-09T15:16:00Z,2023-11-09T15:17:00Z,target,within_minute_not_exact_tick,1884.6566840600165,2055.673263759935,4.0,3.9242305360294854
11,2028480.0,2028492.0,1.0,4.578,2039.96,1986.91,4.669468440000001,4.548036990000001,6.641544077469001,-242.8628999999998,-258.7219495074688,12450.77263407557,1.0,12709.49458358304,0.7348000204558239,1699546380.0,2023-11-09T16:00:00Z,2023-11-09T16:00:00Z,2023-11-09T16:12:00Z,2023-11-09T16:13:00Z,stop,within_minute_not_exact_tick,1987.3136961188459,2250.5452155246167,4.0,-1.0734692303960656
12,2028900.0,2030484.0,1.0,3.273,2096.75,2023.23,3.431331375,3.311015895,6.5583297575042465,-240.63095999999996,-253.93163702750422,12196.840997048064,1.0,12450.77263407557,0.5511836856789194,1699665900.0,2023-11-09T23:00:00Z,2023-11-09T23:00:00Z,2023-11-11T01:24:00Z,2023-11-11T01:25:00Z,stop,within_minute_not_exact_tick,2023.635982086532,2389.206071653872,4.0,-1.0611338198346598
13,2034240.0,2034554.0,1.0,5.173,2107.1,2062.5,5.45001415,5.33465625,2.4885436084992003,-230.71579999999952,-243.9890140084987,11952.851983039567,1.0,12196.840997048064,0.8936763464111793,1699910100.0,2023-11-13T16:00:00Z,2023-11-13T16:00:00Z,2023-11-13T21:14:00Z,2023-11-13T21:15:00Z,stop,within_minute_not_exact_tick,2062.922530483498,2283.809878066007,4.0,-1.0676452143276753
14,2035860.0,2037123.0,-1.0,3.857,1966.08,2025.69,3.7915852800000005,3.9065431650000004,-2.3088600974203524,-229.9157700000005,-235.3050383475801,11717.546944691987,1.0,11952.851983039567,0.6344235309497765,1700064240.0,2023-11-14T19:00:00Z,2023-11-14T19:00:00Z,2023-11-15T16:03:00Z,2023-11-15T16:04:00Z,stop,within_minute_not_exact_tick,2025.2847907788778,1729.2608368844883,4.0,-1.0304448114396387
15,2037660.0,2038396.0,1.0,4.6690000000000005,2078.33,2030.66,4.851861385,4.74057577,0.9591624150387512,-222.5712299999993,-233.12282957003805,11484.42411512195,1.0,11717.546944691987,0.8281360267471134,1700140620.0,2023-11-16T01:00:00Z,2023-11-16T01:00:00Z,2023-11-16T13:16:00Z,2023-11-16T13:17:00Z,stop,within_minute_not_exact_tick,2031.0710119582368,2267.3659521670525,4.0,-1.0565170596343572
16,2039940.0,2043045.0,-1.0,4.183,1933.45,1981.47,4.043810675,4.144244505,-5.714664701889641,-200.86765999999992,-203.34105047811028,11281.083064643839,1.0,11484.42411512195,0.7042252418517652,1700419560.0,2023-11-17T15:00:00Z,2023-11-17T15:00:00Z,2023-11-19T18:45:00Z,2023-11-19T18:46:00Z,stop,within_minute_not_exact_tick,1981.0737409741942,1742.9550361032234,4.0,-1.0207366082688458
17,2043360.0,2045703.0,1.0,6.681,2012.8600000000001,1981.53,6.723958830000001,6.619300965000001,6.749507946292611,-209.31573000000103,-229.40849774129364,11051.674566902546,1.0,11281.083064643839,1.1920768230266172,1700579040.0,2023-11-20T00:00:00Z,2023-11-20T00:00:00Z,2023-11-21T15:03:00Z,2023-11-21T15:04:00Z,stop,within_minute_not_exact_tick,1981.927478973621,2136.5900841055163,4.0,-1.1100759978874135
18,2046180.0,2046762.0,-1.0,0.708,1942.33,2004.13,0.68758482,0.70946202,-0.278067594668316,-43.754400000000125,-44.873379245331805,11006.801187657213,1.0,11051.674566902546,0.12443088435831665,1700642580.0,2023-11-21T23:00:00Z,2023-11-21T23:00:00Z,2023-11-22T08:42:00Z,2023-11-22T08:43:00Z,stop,within_minute_not_exact_tick,2003.7244644539244,1696.7521421843019,4.0,-1.0323484327750612
