trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,timestamp_precision,initial_stop,initial_target,target_r,realized_net_r
1,1928760.0,1929109.0,1.0,419.0,0.5236000000000001,0.5191,0.1096942,0.10875145000000001,0.0,-1.8855000000000248,-2.103945650000025,9997.89605435,1.0,10000.0,0.02193884,1696261800.0,2023-10-02T10:00:00Z,2023-10-02T10:00:00Z,2023-10-02T15:49:00Z,2023-10-02T15:50:00Z,stop,within_minute_not_exact_tick,0.5192126561503196,0.5586987507974435,8.0,-1.144507969295778
2,1932060.0,1932802.0,1.0,10553.0,0.5337000000000001,0.5244,2.81606805,2.7669966,-0.278340282145,-98.1429000000009,-103.44762436785591,9894.448429982143,1.0,9997.89605435,0.5633321320188667,1696483380.0,2023-10-04T17:00:00Z,2023-10-04T17:00:00Z,2023-10-05T05:22:00Z,2023-10-05T05:23:00Z,stop,within_minute_not_exact_tick,0.5245908467549709,0.6065732259602331,8.0,-1.0761345507442648
3,1940820.0,1941273.0,1.0,48382.0,0.4984,0.49350000000000005,12.056794400000001,11.938258500000002,-1.510834196872,-237.07179999999806,-259.5560187031261,9634.892411279017,1.0,9894.448429982143,2.437082670210402,1696991640.0,2023-10-10T19:00:00Z,2023-10-10T19:00:00Z,2023-10-11T02:33:00Z,2023-10-11T02:34:00Z,stop,within_minute_not_exact_tick,0.49362721394645703,0.5365822884283437,8.0,-1.1240233154841694
4,1943700.0,1946580.0,1.0,1192.0,0.48200000000000004,0.4857,0.287272,0.28947720000000005,0.245694413006808,4.410399999999978,3.58795638699317,9638.480367666014,4.0,9634.892411279017,0.05963159477810197,1697310000.0,2023-10-12T19:00:00Z,2023-10-12T19:00:00Z,2023-10-14T19:00:00Z,2023-10-14T19:00:00Z,timeout,simulated_bar_open_or_final_close,0.47659609156021304,0.5252312675182961,8.0,0.5570099048753725
5,1948920.0,1950056.0,1.0,4373.0,0.4934,0.4892,1.0788191,1.0696358000000001,0.241990229389738,-18.36659999999992,-20.75704512938966,9617.723322536625,1.0,9638.480367666014,0.22385667840733262,1697518620.0,2023-10-16T10:00:00Z,2023-10-16T10:00:00Z,2023-10-17T04:56:00Z,2023-10-17T04:57:00Z,stop,within_minute_not_exact_tick,0.48938535706953235,0.5255171434437413,8.0,-1.182331139211188
6,1950840.0,1951736.0,1.0,7544.0,0.4913,0.4864,1.8531836000000002,1.8347008,0.38284062616799996,-36.965600000000116,-41.036325026168115,9576.686997510458,1.0,9617.723322536625,0.38536845734739483,1697619420.0,2023-10-17T18:00:00Z,2023-10-17T18:00:00Z,2023-10-18T08:56:00Z,2023-10-18T08:57:00Z,stop,within_minute_not_exact_tick,0.4865123771718693,0.5296009826250456,8.0,-1.1361792464181815
7,1951800.0,1952744.0,1.0,65167.0,0.48700000000000004,0.4829,15.8681645,15.73457215,2.501113887902149,-267.18470000000315,-301.2885505379053,9275.398446972551,1.0,9576.686997510458,3.3139152410692896,1697679900.0,2023-10-18T10:00:00Z,2023-10-18T10:00:00Z,2023-10-19T01:44:00Z,2023-10-19T01:45:00Z,stop,within_minute_not_exact_tick,0.48309618594460924,0.5182305124431263,8.0,-1.184311035911835
8,1953720.0,1953909.0,1.0,1034.0,0.48650000000000004,0.519,0.25152050000000004,0.26832300000000003,0.0,33.604999999999976,33.085156499999975,9308.48360347255,2.0,9275.398446972551,0.05423389656798953,1697749800.0,2023-10-19T18:00:00Z,2023-10-19T18:00:00Z,2023-10-19T21:09:00Z,2023-10-19T21:10:00Z,target,within_minute_not_exact_tick,0.4824218436290249,0.519125250967801,8.0,7.846008610098772
9,1955100.0,1957980.0,1.0,13322.0,0.5187,0.5217,3.4550607000000007,3.4750437,2.44315937244909,39.96600000000004,30.592736227550944,9339.076339700101,4.0,9308.48360347255,0.7423466264067077,1697994000.0,2023-10-20T17:00:00Z,2023-10-20T17:00:00Z,2023-10-22T17:00:00Z,2023-10-22T17:00:00Z,timeout,simulated_bar_open_or_final_close,0.5095352020099264,0.5920183839205893,8.0,0.2505682248143637
10,1959060.0,1961940.0,1.0,20497.0,0.5309,0.553,5.440928650000001,5.6674205,6.71538435199,452.98370000000017,435.1599664980102,9774.23630619811,4.0,9339.076339700101,1.1651963110893087,1698231600.0,2023-10-23T11:00:00Z,2023-10-23T11:00:00Z,2023-10-25T11:00:00Z,2023-10-25T11:00:00Z,timeout,simulated_bar_open_or_final_close,0.5233810248819054,0.5910518009447572,8.0,2.8235792773018176
11,1965060.0,1965187.0,1.0,6617.0,0.5499,0.5427000000000001,1.8193441500000003,1.7955229500000003,0.36730967000000003,-47.642399999999895,-51.62457676999989,9722.61172942811,1.0,9774.23630619811,0.372273412061115,1698426480.0,2023-10-27T15:00:00Z,2023-10-27T15:00:00Z,2023-10-27T17:07:00Z,2023-10-27T17:08:00Z,stop,within_minute_not_exact_tick,0.5428244918640601,0.6065040650875195,8.0,-1.1026501348179953
12,1969260.0,1970580.0,1.0,4591.0,0.5646,0.6121,1.2960393,1.40507555,0.9899110536326907,218.07249999999993,214.38147409636727,9936.993203524478,2.0,9722.61172942811,0.26660311777692136,1698750060.0,2023-10-30T13:00:00Z,2023-10-30T13:00:00Z,2023-10-31T11:00:00Z,2023-10-31T11:01:00Z,target,within_minute_not_exact_tick,0.5586418654554527,0.6122650763563785,8.0,7.83735743640362
13,1970880.0,1971723.0,1.0,7651.0,0.5957,0.5807,2.2788503500000004,2.2214678500000002,0.9142912483250001,-114.7650000000001,-120.1796094483251,9816.813594076155,1.0,9936.993203524478,0.45865993934497845,1698818640.0,2023-10-31T16:00:00Z,2023-10-31T16:00:00Z,2023-11-01T06:03:00Z,2023-11-01T06:04:00Z,stop,within_minute_not_exact_tick,0.5808683505371695,0.7143531957026448,8.0,-1.0590662632881713
14,1972620.0,1973127.0,1.0,24354.0,0.6157,0.6029,7.497378900000001,7.3415133,1.482921732996,-311.7312000000008,-328.05301393299675,9488.76058014316,1.0,9816.813594076155,1.527456710500077,1698902880.0,2023-11-01T21:00:00Z,2023-11-01T21:00:00Z,2023-11-02T05:27:00Z,2023-11-02T05:28:00Z,stop,within_minute_not_exact_tick,0.6030813114025456,0.7166495087796352,8.0,-1.0674794111899562
15,1975500.0,1978380.0,1.0,3231.0,0.6141,0.6523,0.99207855,1.0537906499999998,1.8716624169128515,123.42420000000004,119.50666838308719,9608.267248526246,4.0,9488.76058014316,0.20910603479153905,1699218000.0,2023-11-03T21:00:00Z,2023-11-03T21:00:00Z,2023-11-05T21:00:00Z,2023-11-05T21:00:00Z,timeout,simulated_bar_open_or_final_close,0.6042308773859207,0.693052980912634,8.0,3.747801982229339
16,1978440.0,1981320.0,1.0,12539.0,0.6506000000000001,0.6880000000000001,4.0789367,4.313416,6.993861926365431,468.9585999999999,453.57238537363446,10061.839633899883,4.0,9608.267248526246,0.849047303638571,1699394400.0,2023-11-05T22:00:00Z,2023-11-05T22:00:00Z,2023-11-07T22:00:00Z,2023-11-07T22:00:00Z,timeout,simulated_bar_open_or_final_close,0.6382696856567157,0.7492425147462749,8.0,2.9336584840584545
17,1984860.0,1985171.0,1.0,5083.0,0.6529,0.6355000000000001,1.6593453500000002,1.6151232500000001,0.0,-88.44419999999985,-91.71866859999984,9970.120965299882,1.0,10061.839633899883,0.32982941696057466,1699625520.0,2023-11-10T09:00:00Z,2023-11-10T09:00:00Z,2023-11-10T14:11:00Z,2023-11-10T14:12:00Z,stop,within_minute_not_exact_tick,0.6357189947253227,0.7903480421974186,8.0,-1.0502412234629186
