trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,timestamp_precision,initial_stop,initial_target,target_r,realized_net_r
1,1929120.0,1929279.0,1.0,21916.0,0.5173,0.5044000000000001,5.6685734000000005,5.5272152000000006,0.8097741360845327,-282.7163999999981,-294.7219627360826,9705.278037263917,1.0,10000.0,1.13371468,1696272000.0,2023-10-02T16:00:00Z,2023-10-02T16:00:00Z,2023-10-02T18:39:00Z,2023-10-02T18:40:00Z,stop,within_minute_not_exact_tick,0.5045358939436424,0.5236820530281787,0.5,-1.053563714832392
2,1932900.0,1934340.0,1.0,4033.0,0.5232,0.519,1.0550328,1.0465635,0.381434755761,-16.938599999999926,-19.421631055760926,9685.856406208155,4.0,9705.278037263917,0.21741423500679669,1696575600.0,2023-10-05T07:00:00Z,2023-10-05T07:00:00Z,2023-10-06T07:00:00Z,2023-10-06T07:00:00Z,timeout,simulated_bar_open_or_final_close,0.5039133522630719,0.5328433238684641,0.5,-0.24968975856697984
3,1935660.0,1937100.0,1.0,4087.0,0.5217,0.5212,1.0660939500000002,1.0650722000000001,0.4653979392500716,-2.0435000000002286,-4.640064089250301,9681.216342118905,4.0,9685.856406208155,0.22013416373108458,1696741200.0,2023-10-07T05:00:00Z,2023-10-07T05:00:00Z,2023-10-08T05:00:00Z,2023-10-08T05:00:00Z,timeout,simulated_bar_open_or_final_close,0.5109098730778181,0.527095063461091,0.5,-0.10521866523302002
4,1955700.0,1956401.0,1.0,1266.0,0.5123,0.5221,0.32428589999999996,0.33048930000000004,0.051357182669999994,12.40680000000004,11.70066761733004,9692.917009736235,2.0,9681.216342118905,0.0669928010159567,1697899320.0,2023-10-21T03:00:00Z,2023-10-21T03:00:00Z,2023-10-21T14:41:00Z,2023-10-21T14:42:00Z,target,within_minute_not_exact_tick,0.492346697347476,0.522276651326262,0.5,0.46319316987009806
5,1957440.0,1958466.0,1.0,9846.0,0.516,0.5244,2.540268,2.5816212000000003,1.17987084270387,82.70639999999963,76.40463995729577,9769.321649693531,2.0,9692.917009736235,0.5241493344982485,1698023220.0,2023-10-22T08:00:00Z,2023-10-22T08:00:00Z,2023-10-23T01:06:00Z,2023-10-23T01:07:00Z,target,within_minute_not_exact_tick,0.498864315729526,0.524567842135237,0.5,0.45285425272020946
6,1961760.0,1962329.0,1.0,8004.0,0.5442,0.5619000000000001,2.1778884000000005,2.2487238,0.8823572941680001,141.67080000000038,136.3618305058324,9905.683480199363,2.0,9769.321649693531,0.4458627687969147,1698255000.0,2023-10-25T08:00:00Z,2023-10-25T08:00:00Z,2023-10-25T17:29:00Z,2023-10-25T17:30:00Z,target,within_minute_not_exact_tick,0.5085464745026924,0.5620267627486538,0.5,0.4778408367858765
7,1964640.0,1965187.0,1.0,3770.0,0.5457000000000001,0.5245000000000001,1.0286445000000002,0.9886825000000001,0.41488480540000006,-79.92399999999999,-82.3562118054,9823.327268393963,1.0,9905.683480199363,0.20768773846977343,1698426480.0,2023-10-27T08:00:00Z,2023-10-27T08:00:00Z,2023-10-27T17:07:00Z,2023-10-27T17:08:00Z,stop,within_minute_not_exact_tick,0.5246534427934051,0.5562232786032976,0.5,-1.0379440592380955
8,1965240.0,1966680.0,1.0,3474.0,0.543,0.5467000000000001,0.943191,0.9496179000000001,0.568236423582,12.853800000000128,10.392754676418127,9833.720023070382,4.0,9823.327268393963,0.19203086168872074,1698516000.0,2023-10-27T18:00:00Z,2023-10-27T18:00:00Z,2023-10-28T18:00:00Z,2023-10-28T18:00:00Z,timeout,simulated_bar_open_or_final_close,0.5180936381861567,0.5554531809069218,0.5,0.12011315339269148
9,1967160.0,1967574.0,1.0,654.0,0.5428000000000001,0.5487000000000001,0.17749560000000003,0.17942490000000005,0.035787465984000004,3.8586000000000107,3.465892034016011,9837.185915104397,2.0,9833.720023070382,0.03609938041424543,1698569700.0,2023-10-29T02:00:00Z,2023-10-29T02:00:00Z,2023-10-29T08:54:00Z,2023-10-29T08:55:00Z,target,within_minute_not_exact_tick,0.5306040128037964,0.5488979935981019,0.5,0.43453055654647355
10,1970400.0,1970568.0,1.0,7834.0,0.5688,0.5792,2.2279896,2.2687264000000003,0.445341936216,81.47360000000059,76.53154206378458,9913.71745716818,2.0,9837.185915104397,0.4529729577600151,1698749340.0,2023-10-31T08:00:00Z,2023-10-31T08:00:00Z,2023-10-31T10:48:00Z,2023-10-31T10:49:00Z,target,within_minute_not_exact_tick,0.547591523954596,0.579404238022702,0.5,0.46062492444463526
