start_utc,end_exclusive_utc,complete_calendar_period,equity_start,equity_end,net_return
2023-10-02T00:00:00+00:00,2023-11-01T00:00:00+00:00,False,10000.0,9913.71745716818,-0.008628254283181924
2023-11-01T00:00:00+00:00,2023-12-01T00:00:00+00:00,True,9913.71745716818,10109.479738513466,0.019746606879918582
2023-12-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,True,10109.479738513466,9364.390298670909,-0.07370205580451739
2024-01-01T00:00:00+00:00,2024-02-01T00:00:00+00:00,True,9364.390298670909,9100.576628146218,-0.02817200715802437
2024-02-01T00:00:00+00:00,2024-03-01T00:00:00+00:00,True,9100.576628146218,9069.520382098286,-0.003412558051748227
2024-03-01T00:00:00+00:00,2024-04-01T00:00:00+00:00,True,9069.520382098286,9181.02469143022,0.012294399773556508
2024-04-01T00:00:00+00:00,2024-05-01T00:00:00+00:00,True,9181.02469143022,9033.512374320593,-0.016067086416543308
2024-05-01T00:00:00+00:00,2024-06-01T00:00:00+00:00,True,9033.512374320593,9029.658690148879,-0.00042659864867944375
2024-06-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,True,9029.658690148879,9029.658690148879,0.0
2024-07-01T00:00:00+00:00,2024-08-01T00:00:00+00:00,True,9029.658690148879,9357.058308249634,0.03625824954579282
2024-08-01T00:00:00+00:00,2024-09-01T00:00:00+00:00,True,9357.058308249634,8680.225983205477,-0.07233387916877987
2024-09-01T00:00:00+00:00,2024-10-01T00:00:00+00:00,True,8680.225983205477,8572.815507467047,-0.012374156611388742
2024-10-01T00:00:00+00:00,2024-11-01T00:00:00+00:00,True,8572.815507467047,8685.434312790143,0.013136734976391784
2024-11-01T00:00:00+00:00,2024-12-01T00:00:00+00:00,True,8685.434312790143,9164.89812815411,0.05520320551591862
2024-12-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,True,9164.89812815411,8982.389331933302,-0.01991389251345299
2025-01-01T00:00:00+00:00,2025-02-01T00:00:00+00:00,True,8982.389331933302,8838.127044815605,-0.01606056938601297
2025-02-01T00:00:00+00:00,2025-03-01T00:00:00+00:00,True,8838.127044815605,8712.534508982082,-0.014210311211490745
2025-03-01T00:00:00+00:00,2025-04-01T00:00:00+00:00,True,8712.534508982082,7992.517387151459,-0.08264152309392059
2025-04-01T00:00:00+00:00,2025-05-01T00:00:00+00:00,True,7992.517387151459,7913.635474057928,-0.009869470314864626
2025-05-01T00:00:00+00:00,2025-06-01T00:00:00+00:00,True,7913.635474057928,7782.9829045946235,-0.01650980385583889
2025-06-01T00:00:00+00:00,2025-07-01T00:00:00+00:00,True,7782.9829045946235,7511.420507456001,-0.03489181467664637
2025-07-01T00:00:00+00:00,2025-08-01T00:00:00+00:00,True,7511.420507456001,7704.517626249202,0.025707137365233113
2025-08-01T00:00:00+00:00,2025-09-01T00:00:00+00:00,True,7704.517626249202,7460.760838429662,-0.03163816343142156
2025-09-01T00:00:00+00:00,2025-10-01T00:00:00+00:00,True,7460.760838429662,7167.441857728578,-0.0393148885285568
2025-10-01T00:00:00+00:00,2025-11-01T00:00:00+00:00,True,7167.441857728578,6994.995872029179,-0.02405962812428708
2025-11-01T00:00:00+00:00,2025-12-01T00:00:00+00:00,True,6994.995872029179,6838.494295629997,-0.02237336222384101
2025-12-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,True,6838.494295629997,6753.662614337227,-0.012405023331960696
2026-01-01T00:00:00+00:00,2026-02-01T00:00:00+00:00,True,6753.662614337227,6593.571982096407,-0.023704268540297946
2026-02-01T00:00:00+00:00,2026-03-01T00:00:00+00:00,True,6593.571982096407,6453.789287905507,-0.021199843509777883
2026-03-01T00:00:00+00:00,2026-04-01T00:00:00+00:00,True,6453.789287905507,6424.936185865686,-0.004470722664263738
2026-04-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,True,6424.936185865686,6378.701762313262,-0.007196090702680458
2026-05-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,True,6378.701762313262,6184.35792603777,-0.03046761606314896
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,True,6184.35792603777,6195.668403721926,0.0018288847151837206
2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,True,6195.668403721926,6349.317793398648,0.024799485651042952
2026-08-01T00:00:00+00:00,2026-08-31T00:00:00+00:00,False,6349.317793398648,6251.165008590626,-0.015458792267426191
