trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,initial_stop,initial_target,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,equity_before,equity_after,entry_exposure,initial_margin_30x,allocated_collateral,reason,exit_at_open,missing_mark_minutes,signal_row,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,hold_hours,overnight,reason_text,target_price_R,net_realized_R,daily_iv_available_utc,weekly_iv_available_utc,signal_upper_wall,signal_lower_wall,additional_collateral
1,883982.0,884007.0,1.0,12.601,3989.27,3943.67,3944.46,4213.32,12.700281527571113,12.555108892563394,0.0,-574.6055999999988,-599.8609904201332,10000.0,9400.139009579865,5.026879127,1675.6263756666667,1683.2644994675707,1.0,0.0,0.0,0.0,2021-09-05 21:02:00+00:00,2021-09-05 21:27:00+00:00,2021-09-05 21:28:00+00:00,0.4166666666666667,False,stop,5.0,-1.0623574425052786,2021-09-05 00:01:00+00:00,2021-08-30 00:01:00+00:00,3966.3669878082933,2622.968765340793,7.638123800903941
2,884162.0,886486.0,-1.0,7.91,3944.67,3603.0,4013.15,3602.27,7.883191310100279,7.200383882629295,-65.28610742717063,2702.6097000000004,2752.812232234441,9400.139009579865,12152.951241814308,3.3193487530557886,1040.07799,1236.0114647101002,2.0,0.0,0.0,3.0,2021-09-06 00:02:00+00:00,2021-09-07 14:46:00+00:00,2021-09-07 14:47:00+00:00,38.733333333333334,True,target,5.0,5.082019817415921,2021-09-05 00:01:00+00:00,2021-08-30 00:01:00+00:00,3966.3669878082933,2622.968765340793,195.9334747101002
3,887207.0,888395.0,-1.0,8.694,3503.02,3562.89,3562.17,3207.26,7.694442494006193,7.825947958467186,-5.8057742550545655,-520.5097799999991,-530.224396197418,12152.951241814308,11622.726845616888,2.505996714214856,1015.1751960000001,1191.9601718540073,1.0,0.0,0.0,20.0,2021-09-08 02:47:00+00:00,2021-09-08 22:35:00+00:00,2021-09-08 22:36:00+00:00,19.8,False,stop,5.000169061707512,-1.0310632826272994,2021-09-08 00:01:00+00:00,2021-09-06 00:01:00+00:00,4427.313793932994,3528.7154425350964,176.78497585400714
4,888467.0,892787.0,-1.0,4.782,3500.05,3260.4,3571.4700000000003,3142.9500000000003,4.228620645014983,3.93908508478646,-14.54745614061606,1146.0063000000005,1152.3860504108152,11622.726845616888,12775.112896027702,1.4400440896803728,557.9079700000001,713.9783208450153,3.0,1.0,0.0,24.0,2021-09-08 23:47:00+00:00,2021-09-11 23:47:00+00:00,2021-09-11 23:47:00+00:00,72.0,True,max_hold,4.999999999999994,3.3741825484452104,2021-09-08 00:01:00+00:00,2021-09-06 00:01:00+00:00,4427.313793932994,3528.7154425350964,156.07035084501524
5,894062.0,898024.0,-1.0,5.619,3322.98,3457.67,3456.9700000000003,2653.02,4.717388728002997,4.90859815080263,-14.966247474124472,-756.8231100000003,-751.4828494046815,12775.112896027702,12023.630046623022,1.4615780519486308,622.394154,1168.3873403680043,1.0,0.0,0.0,33.0,2021-09-12 21:02:00+00:00,2021-09-15 15:04:00+00:00,2021-09-15 15:05:00+00:00,66.03333333333333,True,stop,5.000074632435248,-0.9981312529713747,2021-09-12 00:01:00+00:00,2021-09-06 00:01:00+00:00,3404.825092564807,3135.1953720650095,545.9931863680043
6,902087.0,903587.0,-1.0,3.154,3528.11,3351.6800000000003,3563.53,3351.0,2.8113745668106955,2.6707863156443743,-3.264826477672786,556.4602199999995,554.2428855952172,12023.630046623022,12577.872932218239,0.9254824788230517,370.92196466666667,370.92196466666667,2.0,0.0,0.0,37.0,2021-09-18 10:47:00+00:00,2021-09-19 11:47:00+00:00,2021-09-19 11:48:00+00:00,25.0,True,target,5.000282326369276,4.961235941375082,2021-09-18 00:01:00+00:00,2021-09-13 00:01:00+00:00,3535.102728595175,3271.9651642758727,0.0
7,906662.0,906694.0,-1.0,26.417,2999.64,3026.68,3026.07,2867.48,20.020159719670485,20.200629749013967,0.0,-714.3156799999991,-754.5364694686835,12577.872932218239,11823.336462749556,6.300070791542409,2641.3829960000003,2641.3829960000003,1.0,0.0,0.0,39.0,2021-09-21 15:02:00+00:00,2021-09-21 15:34:00+00:00,2021-09-21 15:35:00+00:00,0.5333333333333333,False,stop,5.000378357926538,-1.0806861268545531,2021-09-21 00:01:00+00:00,2021-09-20 00:01:00+00:00,3681.480114100933,3009.7614261067324,0.0
8,907412.0,907597.0,-1.0,12.616,2860.61,2909.18,2908.59,2620.71,9.117908681491613,9.272720705731215,0.0,-612.7591199999963,-631.1497493872191,11823.336462749556,11192.186713362336,3.0523918416517155,1202.9818586666665,1408.4016154014917,1.0,0.0,0.0,40.0,2021-09-22 03:32:00+00:00,2021-09-22 06:37:00+00:00,2021-09-22 06:38:00+00:00,3.0833333333333335,False,stop,5.0,-1.042678672039718,2021-09-22 00:01:00+00:00,2021-09-20 00:01:00+00:00,2888.888133731522,2647.343641001903,205.4197567348251
9,907982.0,910632.0,1.0,4.644,2917.64,2936.51,2865.4700000000003,3178.4900000000002,3.4232516089599696,3.4453916803399465,5.854608606604929,87.63228000000161,74.90902810409676,11192.186713362336,11267.095741466435,1.2106231344249507,451.650672,543.7901751289583,5.0,1.0,0.0,41.0,2021-09-22 13:02:00+00:00,2021-09-24 09:12:00+00:00,2021-09-24 09:12:00+00:00,44.166666666666664,True,daily_risk,5.0000000000000435,0.3091869211455283,2021-09-22 00:01:00+00:00,2021-09-20 00:01:00+00:00,2888.888133731522,2647.343641001903,92.13950312895827
10,917717.0,917881.0,-1.0,4.657,2919.36,2946.69,2946.1,2785.66,3.434858070751794,3.4670139785787306,0.2874747662286063,-127.27580999999967,-134.4651568155588,11267.095741466435,11132.630584650877,1.2066516369399842,453.181984,453.181984,1.0,0.0,0.0,42.0,2021-09-29 07:17:00+00:00,2021-09-29 10:01:00+00:00,2021-09-29 10:02:00+00:00,2.7333333333333334,False,stop,5.000000000000051,-1.079797013138391,2021-09-29 00:01:00+00:00,2021-09-27 00:01:00+00:00,2926.9496907433254,2685.2570356287815,0.0
11,917957.0,918769.0,-1.0,15.605,2916.87,2912.1,2954.1,2730.7200000000003,11.499944708107313,11.481138681010574,1.2939371596236908,74.43584999999972,50.160829451258145,11132.630584650877,11182.791414102134,4.088679311137624,1517.258545,1593.8647344081076,5.0,1.0,0.0,47.0,2021-09-29 11:17:00+00:00,2021-09-30 00:49:00+00:00,2021-09-30 00:49:00+00:00,13.533333333333333,True,daily_risk,4.999999999999988,0.08633917610836578,2021-09-29 00:01:00+00:00,2021-09-27 00:01:00+00:00,2926.9496907433254,2685.2570356287815,76.60618940810764
12,928037.0,930762.0,1.0,5.958,3398.98,3671.94,3344.2400000000002,3672.6800000000003,5.116394383465457,5.527273826978138,25.591646060510588,1626.2956800000002,1590.060365729046,11182.791414102134,12772.851779831179,1.8109184093751571,675.037428,776.7820168634643,2.0,0.0,0.0,69.0,2021-10-06 11:17:00+00:00,2021-10-08 08:42:00+00:00,2021-10-08 08:43:00+00:00,45.416666666666664,True,target,5.000000000000025,4.875378304964162,2021-10-06 00:01:00+00:00,2021-10-04 00:01:00+00:00,3659.784775700563,3381.0160782559637,101.74458886346429
13,940262.0,940353.0,1.0,5.211,3785.77,3763.03,3763.79,3895.67,4.984139670276897,4.954201418322317,8.168605177783501,-118.49813999999887,-136.6050862663816,12772.851779831179,12636.246693564797,1.5444982694585645,657.588249,657.588249,1.0,0.0,0.0,71.0,2021-10-14 23:02:00+00:00,2021-10-15 00:33:00+00:00,2021-10-15 00:34:00+00:00,1.5166666666666666,True,stop,5.0,-1.1926639949401976,2021-10-14 00:01:00+00:00,2021-10-11 00:01:00+00:00,3782.882103175558,3082.9121770171046,0.0
14,940472.0,940853.0,1.0,19.114,3795.36,3761.7200000000003,3762.48,3959.77,18.328185146513285,18.165734114640493,28.5323585773876,-642.9949599999976,-708.021237838539,12636.246693564797,11928.225455726259,5.740985658102451,2418.1503680000005,2418.150368,1.0,0.0,0.0,73.0,2021-10-15 02:32:00+00:00,2021-10-15 08:53:00+00:00,2021-10-15 08:54:00+00:00,6.35,False,stop,5.00030413625302,-1.1265822242854449,2021-10-15 00:01:00+00:00,2021-10-11 00:01:00+00:00,3782.882103175558,3082.9121770171046,-4.547473508864641e-13
15,940982.0,941363.0,1.0,5.2940000000000005,3781.1800000000003,3873.91,3762.48,3874.69,5.057387077709907,5.18141489540598,4.627093572684024,490.91261999999773,476.04672445419783,11928.225455726259,12404.272180180456,1.6781680556172234,667.2522306666668,667.2522306666668,2.0,0.0,0.0,74.0,2021-10-15 11:02:00+00:00,2021-10-15 17:23:00+00:00,2021-10-15 17:24:00+00:00,6.35,False,target,5.000534759358203,4.808659631367473,2021-10-15 00:01:00+00:00,2021-10-11 00:01:00+00:00,3782.882103175558,3082.9121770171046,0.0
16,944162.0,944401.0,1.0,12.964,3788.25,3732.75,3733.5,4062.0,12.407736438592725,12.225956098767767,0.0,-719.5020000000001,-744.1356925373605,12404.272180180456,11660.136487643096,3.9591902117779503,1637.0291,1802.6259424385928,1.0,0.0,0.0,75.0,2021-10-17 16:02:00+00:00,2021-10-17 20:01:00+00:00,2021-10-17 20:02:00+00:00,3.9833333333333334,False,stop,5.0,-1.048404774637402,2021-10-17 00:01:00+00:00,2021-10-11 00:01:00+00:00,3782.882103175558,3082.9121770171046,165.59684243859283
