trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,initial_stop,initial_target,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,equity_before,equity_after,entry_exposure,initial_margin_30x,allocated_collateral,reason,exit_at_open,missing_mark_minutes,signal_row,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,hold_hours,overnight,reason_text,target_price_R,net_realized_R,daily_iv_available_utc,weekly_iv_available_utc,signal_upper_wall,signal_lower_wall,additional_collateral
1,886545.0,890865.0,1.0,0.008,47343.5,45397.200000000004,41580.100000000006,76160.5,0.189374,0.18158880000000002,0.38172566281199616,-15.570399999999966,-16.323088462811963,10000.0,9983.676911537188,0.0378748,12.624933333333333,54.62902999999996,3.0,1.0,0.0,98.0,2021-09-07 15:45:00+00:00,2021-09-10 15:45:00+00:00,2021-09-10 15:45:00+00:00,72.0,True,max_hold,5.000000000000005,-0.35402471767559035,2021-09-07 00:01:00+00:00,2021-09-06 00:01:00+00:00,57008.73113936917,47066.394893534736,42.00409666666663
2,905040.0,905074.0,1.0,0.049,43738.8,42768.700000000004,42777.3,48546.3,1.0716006000000002,1.0478331500000002,0.0,-47.53489999999993,-49.654333749999935,9983.676911537188,9934.022577787187,0.21467052860287436,71.44004000000001,95.335527,1.0,0.0,0.0,108.0,2021-09-20 12:00:00+00:00,2021-09-20 12:34:00+00:00,2021-09-20 12:35:00+00:00,0.5666666666666667,False,stop,5.0,-1.0539300572022867,2021-09-20 00:01:00+00:00,2021-09-20 00:01:00+00:00,51642.88893327854,43243.427873164976,23.89548699999999
3,905505.0,905771.0,1.0,0.038,43709.5,42478.8,42487.3,49820.5,0.8304805000000001,0.8070972000000001,0.16350108000000002,-46.76659999999989,-48.567678779999895,9934.022577787187,9885.454899007187,0.16719923746841137,55.36536666666667,83.81522249999988,1.0,0.0,0.0,110.0,2021-09-20 19:45:00+00:00,2021-09-21 00:11:00+00:00,2021-09-21 00:12:00+00:00,4.433333333333334,True,stop,5.0000000000000115,-1.045734585174276,2021-09-20 00:01:00+00:00,2021-09-20 00:01:00+00:00,51642.88893327854,43243.427873164976,28.44985583333321
4,906240.0,906653.0,1.0,0.048,43290.3,42322.600000000006,42331.100000000006,48086.3,1.0389672,1.0157424000000002,0.20775374400000002,-46.44959999999986,-48.712063343999866,9885.454899007187,9836.742835663186,0.2102011916728982,69.26448,92.79512399999987,1.0,0.0,0.0,112.0,2021-09-21 08:00:00+00:00,2021-09-21 14:53:00+00:00,2021-09-21 14:54:00+00:00,6.883333333333334,False,stop,5.000000000000015,-1.058001097789825,2021-09-21 00:01:00+00:00,2021-09-20 00:01:00+00:00,51642.88893327854,43243.427873164976,23.530643999999867
5,908175.0,910678.0,1.0,0.048,43318.9,42350.3,42358.8,48119.4,1.0396536,1.0164072000000002,0.1227510405304478,-46.49279999999993,-48.67161184053038,9836.742835663186,9788.071223822653,0.2113816773232554,69.31024000000001,92.86921199999995,1.0,0.0,0.0,117.0,2021-09-22 16:15:00+00:00,2021-09-24 09:58:00+00:00,2021-09-24 09:59:00+00:00,41.71666666666667,True,stop,5.000000000000008,-1.056131562695953,2021-09-22 00:01:00+00:00,2021-09-20 00:01:00+00:00,51642.88893327854,43243.427873164976,23.55897199999994
6,913695.0,915657.0,1.0,0.057,43380.700000000004,42574.3,42582.9,47369.8,1.2363499500000004,1.2133675500000003,0.69997738611948,-45.96480000000008,-49.11449488611956,9788.071223822653,9738.956728936533,0.25262381560749486,82.42333000000002,101.11034775000017,1.0,0.0,0.0,126.0,2021-09-26 12:15:00+00:00,2021-09-27 20:57:00+00:00,2021-09-27 20:58:00+00:00,32.7,True,stop,5.000125344697899,-1.080042372799747,2021-09-26 00:01:00+00:00,2021-09-20 00:01:00+00:00,51642.88893327854,43243.427873164976,18.68701775000015
7,920820.0,921435.0,-1.0,0.036000000000000004,47077.100000000006,48350.8,48341.100000000006,40757.100000000006,0.8473878000000002,0.8703144000000003,-0.17038162800000003,-45.8531999999999,-47.4005205719999,9738.956728936533,9691.556208364533,0.17402024130207477,56.49252000000001,83.63645100000002,1.0,0.0,0.0,133.0,2021-10-01 11:00:00+00:00,2021-10-01 21:15:00+00:00,2021-10-01 21:16:00+00:00,10.25,False,stop,5.0,-1.041678106803795,2021-10-01 00:01:00+00:00,2021-09-27 00:01:00+00:00,47225.68452890573,39426.05636262108,27.14393100000001
8,940650.0,941298.0,-1.0,0.047,59712.200000000004,60671.9,60659.700000000004,54974.700000000004,1.4032367000000001,1.42578965,-1.304609734827218,-45.10589999999986,-46.630316615172646,9691.556208364533,9644.92589174936,0.28957923161791144,93.54911333333334,107.6781515,1.0,0.0,0.0,138.0,2021-10-15 05:30:00+00:00,2021-10-15 16:18:00+00:00,2021-10-15 16:19:00+00:00,10.8,False,stop,5.0,-1.04710754202375,2021-10-15 00:01:00+00:00,2021-10-11 00:01:00+00:00,59964.45307049185,49897.7285173037,14.12903816666666
9,944415.0,944536.0,-1.0,0.029,59796.0,61354.5,61342.200000000004,52064.9,0.8670420000000001,0.88964025,0.0,-45.1965,-46.95318225,9644.92589174936,9597.972709499361,0.17979236123352715,57.802800000000005,83.85669000000013,1.0,0.0,0.0,142.0,2021-10-17 20:15:00+00:00,2021-10-17 22:16:00+00:00,2021-10-17 22:17:00+00:00,2.0166666666666666,False,stop,5.000064674686313,-1.047131839348076,2021-10-17 00:01:00+00:00,2021-10-11 00:01:00+00:00,59964.45307049185,49897.7285173037,26.053890000000123
10,987045.0,990205.0,1.0,0.021,59960.3,57807.600000000006,57819.200000000004,70665.8,0.6295831500000001,0.6069798000000001,0.7963100285570843,-45.20669999999994,-47.23957297855703,9597.972709499361,9550.733136520807,0.13119086062349092,41.972210000000004,73.29434174999997,1.0,0.0,0.0,145.0,2021-11-16 10:45:00+00:00,2021-11-18 15:25:00+00:00,2021-11-18 15:26:00+00:00,52.666666666666664,True,stop,5.0000000000000036,-1.0506298048523581,2021-11-16 00:01:00+00:00,2021-11-15 00:01:00+00:00,71769.03205470179,59903.46593939394,31.32213174999997
