trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,initial_stop,initial_target,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,equity_before,equity_after,entry_exposure,initial_margin_30x,allocated_collateral,reason,exit_at_open,missing_mark_minutes,signal_row,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,hold_hours,overnight,reason_text,target_price_R,net_realized_R,daily_iv_available_utc,weekly_iv_available_utc,signal_upper_wall,signal_lower_wall,additional_collateral
1,878400.0,878405.0,1.0,1.454,3832.19,3801.64,3802.41,3981.1,2.78600213,2.7637922799999997,1.4342405357788,-44.41970000000026,-51.40373494577906,10000.0,9948.59626505422,0.557200426,185.73347533333333,185.73347533333333,1.0,0.0,0.0,24.0,2021-09-02 00:00:00+00:00,2021-09-02 00:05:00+00:00,2021-09-02 00:06:00+00:00,0.08333333333333333,False,stop,5.000335795836093,-1.1871499419811933,2021-09-01 00:01:00+00:00,2021-08-30 00:01:00+00:00,3811.8042705587673,2684.494253039861,0.0
2,879255.0,879262.0,1.0,2.0140000000000002,3820.53,3799.65,3800.42,3921.09,3.847273710000001,3.8262475500000006,0.0,-42.05232000000022,-49.72584126000022,9948.59626505422,9898.87042379422,0.7734304634542395,256.48491400000006,256.48491400000006,1.0,0.0,0.0,25.0,2021-09-02 14:15:00+00:00,2021-09-02 14:22:00+00:00,2021-09-02 14:23:00+00:00,0.11666666666666667,False,stop,5.000497265042233,-1.227751864743906,2021-09-02 00:01:00+00:00,2021-08-30 00:01:00+00:00,3811.8042705587673,2684.494253039861,0.0
3,879690.0,879748.0,1.0,2.439,3816.13,3799.65,3800.42,3894.6800000000003,4.6537705350000005,4.633673175,0.0,-40.194720000000046,-49.482163710000044,9898.87042379422,9849.38826008422,0.9402629463284192,310.251369,310.251369,1.0,0.0,0.0,26.0,2021-09-02 21:30:00+00:00,2021-09-02 22:28:00+00:00,2021-09-02 22:29:00+00:00,0.9666666666666667,False,stop,5.0,-1.2913997453851034,2021-09-02 00:01:00+00:00,2021-08-30 00:01:00+00:00,3811.8042705587673,2684.494253039861,0.0
4,880095.0,880156.0,1.0,1.668,3825.77,3800.06,3800.83,3950.4700000000003,3.19069218,3.16925004,0.0,-42.88428000000006,-49.24422222000006,9849.38826008422,9800.14403786422,0.6478965181889818,212.712812,212.71281199999999,1.0,0.0,0.0,27.0,2021-09-03 04:15:00+00:00,2021-09-03 05:16:00+00:00,2021-09-03 05:17:00+00:00,1.0166666666666666,False,stop,5.0,-1.1837576182838803,2021-09-03 00:01:00+00:00,2021-08-30 00:01:00+00:00,3811.8042705587673,2684.494253039861,-2.842170943040401e-14
5,880365.0,880377.0,1.0,2.234,3818.1800000000003,3904.15,3800.83,3904.94,4.2649070600000005,4.360935550000001,0.0,192.05697999999956,183.43113738999955,9800.14403786422,9983.57517525422,0.8703764033512036,284.3271373333334,284.3271373333334,2.0,0.0,0.0,29.0,2021-09-03 08:45:00+00:00,2021-09-03 08:57:00+00:00,2021-09-03 08:58:00+00:00,0.2,False,target,5.000576368875962,4.732497694524385,2021-09-03 00:01:00+00:00,2021-08-30 00:01:00+00:00,3811.8042705587673,2684.494253039861,0.0
6,890805.0,890806.0,-1.0,2.927,3228.9300000000003,3242.7400000000002,3242.09,3163.13,4.7255390550000005,4.74574999,0.0,-40.42186999999984,-49.89315904499984,9983.57517525422,9933.68201620922,0.9466626878741703,315.035937,315.03593700000005,1.0,0.0,0.0,30.0,2021-09-10 14:45:00+00:00,2021-09-10 14:46:00+00:00,2021-09-10 14:47:00+00:00,0.016666666666666666,False,stop,5.000000000000069,-1.2952762158054814,2021-09-10 00:01:00+00:00,2021-09-06 00:01:00+00:00,4756.992306602824,3232.5616594112453,5.684341886080802e-14
7,891225.0,891374.0,-1.0,0.782,3182.48,3242.7400000000002,3242.09,2884.42,1.24434968,1.2679113400000002,-0.251046994067386,-47.12332000000017,-49.38453402593278,9933.68201620922,9884.297482183289,0.2505314097974025,82.95664533333334,102.61075560000012,1.0,0.0,0.0,31.0,2021-09-10 21:45:00+00:00,2021-09-11 00:14:00+00:00,2021-09-11 00:15:00+00:00,2.4833333333333334,True,stop,5.000167757087725,-1.0594124817694528,2021-09-10 00:01:00+00:00,2021-09-06 00:01:00+00:00,4756.992306602824,3232.5616594112453,19.654110266666777
8,891570.0,891593.0,-1.0,2.367,3224.36,3241.9900000000002,3241.34,3139.46,3.81603006,3.8368951650000005,0.0,-41.730210000000255,-49.38313522500026,9884.297482183289,9834.914346958289,0.7721398646446036,254.402004,254.402004,1.0,0.0,0.0,33.0,2021-09-11 03:30:00+00:00,2021-09-11 03:53:00+00:00,2021-09-11 03:54:00+00:00,0.38333333333333336,False,stop,5.0,-1.2286911071849287,2021-09-11 00:01:00+00:00,2021-09-06 00:01:00+00:00,4756.992306602824,3232.5616594112453,0.0
9,891825.0,891831.0,-1.0,2.605,3226.36,3241.9900000000002,3241.34,3151.46,4.202333900000001,4.222691975000001,0.0,-40.71615000000028,-49.141175875000286,9834.914346958289,9785.773171083289,0.8545745802655994,280.15559333333334,280.15559333333334,1.0,0.0,0.0,34.0,2021-09-11 07:45:00+00:00,2021-09-11 07:51:00+00:00,2021-09-11 07:52:00+00:00,0.1,False,stop,5.0,-1.2592907209612874,2021-09-11 00:01:00+00:00,2021-09-06 00:01:00+00:00,4756.992306602824,3232.5616594112453,0.0
10,891915.0,891920.0,-1.0,2.388,3224.75,3241.9900000000002,3241.34,3141.79,3.8503515,3.87093606,0.0,-41.16912000000056,-48.89040756000056,9785.773171083289,9736.882763523288,0.7869284179563227,256.6901,256.6901,1.0,0.0,0.0,36.0,2021-09-11 09:15:00+00:00,2021-09-11 09:20:00+00:00,2021-09-11 09:21:00+00:00,0.08333333333333333,False,stop,5.00060277275463,-1.2340789632308653,2021-09-11 00:01:00+00:00,2021-09-06 00:01:00+00:00,4756.992306602824,3232.5616594112453,0.0
11,907020.0,907040.0,-1.0,1.7890000000000001,2767.94,2649.16,2791.8,2648.63,2.4759223300000004,2.36967362,0.0,212.49742000000037,207.65182405000039,9736.882763523288,9944.534587573287,0.5085657063214117,165.0614886666667,165.0614886666667,2.0,0.0,0.0,37.0,2021-09-21 21:00:00+00:00,2021-09-21 21:20:00+00:00,2021-09-21 21:21:00+00:00,0.3333333333333333,False,target,5.000419111483626,4.86468776194466,2021-09-21 00:01:00+00:00,2021-09-20 00:01:00+00:00,3901.0232110083134,2783.650247840801,0.0
12,907110.0,907205.0,-1.0,3.0,2778.58,2792.36,2791.8,2712.4700000000003,4.16787,4.18854,-0.829367058588,-41.3400000000006,-48.8670429414126,9944.534587573287,9895.667544631875,0.8382232397699495,277.858,277.858,1.0,0.0,0.0,38.0,2021-09-21 22:30:00+00:00,2021-09-22 00:05:00+00:00,2021-09-22 00:06:00+00:00,1.5833333333333333,True,stop,5.000756429651921,-1.2321493429503696,2021-09-21 00:01:00+00:00,2021-09-20 00:01:00+00:00,3901.0232110083134,2783.650247840801,0.0
13,910755.0,910763.0,-1.0,1.282,2756.4700000000003,2792.27,2791.71,2580.27,1.7668972700000003,1.7898450700000001,0.0,-45.895599999999654,-49.45234233999965,9895.667544631875,9846.215202291876,0.3571052204474054,117.79315133333334,124.68805714999974,1.0,0.0,0.0,40.0,2021-09-24 11:15:00+00:00,2021-09-24 11:23:00+00:00,2021-09-24 11:24:00+00:00,0.13333333333333333,False,stop,5.000000000000039,-1.0946188989784327,2021-09-24 00:01:00+00:00,2021-09-20 00:01:00+00:00,3901.0232110083134,2783.650247840801,6.894905816666395
14,913425.0,913436.0,-1.0,1.242,2755.04,2791.88,2791.32,2573.63,1.71087984,1.73375748,0.0,-45.755280000000184,-49.19991732000018,9846.215202291876,9797.015284971876,0.34752030193322675,114.058656,122.04935280000025,1.0,0.0,0.0,41.0,2021-09-26 07:45:00+00:00,2021-09-26 07:56:00+00:00,2021-09-26 07:57:00+00:00,0.18333333333333332,False,stop,5.000275633958072,-1.0918814773980134,2021-09-26 00:01:00+00:00,2021-09-20 00:01:00+00:00,3901.0232110083134,2783.650247840801,7.990696800000251
15,1060410.0,1060622.0,-1.0,2.242,3357.07,3375.54,3374.86,3268.12,3.76327547,3.7839803400000003,0.0,-41.40973999999955,-48.956995809999555,9797.015284971876,9748.058289161876,0.7682493821914668,250.88503133333333,250.88503133333336,1.0,0.0,0.0,42.0,2022-01-06 09:30:00+00:00,2022-01-06 13:02:00+00:00,2022-01-06 13:03:00+00:00,3.533333333333333,False,stop,5.000000000000026,-1.227448285553673,2022-01-06 00:01:00+00:00,2022-01-03 00:01:00+00:00,4286.169531405975,3366.9506461000205,2.842170943040401e-14
16,1060755.0,1060756.0,-1.0,2.978,3362.55,3375.54,3374.86,3301.0,5.006836950000001,5.0261790600000005,0.0,-38.68421999999935,-48.717236009999354,9748.058289161876,9699.341053151877,1.0272480531977781,333.78913000000006,333.78913000000006,1.0,0.0,0.0,43.0,2022-01-06 15:15:00+00:00,2022-01-06 15:16:00+00:00,2022-01-06 15:17:00+00:00,0.016666666666666666,False,stop,5.000000000000037,-1.3289232331437737,2022-01-06 00:01:00+00:00,2022-01-03 00:01:00+00:00,4286.169531405975,3366.9506461000205,0.0
17,1061340.0,1061341.0,-1.0,3.85,3365.61,3374.83,3374.15,3322.91,6.47879925,6.4965477499999995,0.0,-35.49699999999923,-48.47234699999923,9699.341053151877,9650.868706151878,1.3359256498965284,431.91995000000003,431.91995000000003,1.0,0.0,0.0,44.0,2022-01-07 01:00:00+00:00,2022-01-07 01:01:00+00:00,2022-01-07 01:02:00+00:00,0.016666666666666666,False,stop,5.000000000000053,-1.4742646370023247,2022-01-07 00:01:00+00:00,2022-01-03 00:01:00+00:00,4286.169531405975,3366.9506461000205,0.0
18,1061460.0,1061491.0,-1.0,2.701,3360.34,3291.9500000000003,3374.15,3291.29,4.538139170000001,4.445778475,0.0,184.72138999999967,175.73747235499968,9650.868706151878,9826.606178506878,0.9404623165388616,302.54261133333335,302.54261133333335,2.0,0.0,0.0,45.0,2022-01-07 03:00:00+00:00,2022-01-07 03:31:00+00:00,2022-01-07 03:32:00+00:00,0.5166666666666667,False,target,5.000000000000033,4.7113580738595315,2022-01-07 00:01:00+00:00,2022-01-03 00:01:00+00:00,4286.169531405975,3366.9506461000205,0.0
19,1081545.0,1082652.0,-1.0,0.978,2941.73,2709.12,2988.36,2708.57,1.43850597,1.3247596799999999,-0.06720929868539999,227.49258000000012,224.79652364868554,9826.606178506878,10051.402702155565,0.29277777980893427,95.900398,110.3369086500001,2.0,0.0,0.0,46.0,2022-01-21 01:45:00+00:00,2022-01-21 20:12:00+00:00,2022-01-21 20:13:00+00:00,18.45,False,target,5.00021445421401,4.929300797004066,2022-01-21 00:01:00+00:00,2022-01-17 00:01:00+00:00,3689.373244398304,2982.5079946982974,14.436510650000102
20,1086600.0,1086603.0,-1.0,4.2780000000000005,2182.26,2191.81,2191.37,2136.71,4.667854140000001,4.688281590000001,0.0,-40.854899999998835,-50.21103572999884,10051.402702155565,10001.191666425566,0.9287965626924809,311.1902760000001,311.19027600000004,1.0,0.0,0.0,47.0,2022-01-24 14:00:00+00:00,2022-01-24 14:03:00+00:00,2022-01-24 14:04:00+00:00,0.05,False,stop,5.0000000000002,-1.2883682766191165,2022-01-24 00:01:00+00:00,2022-01-24 00:01:00+00:00,2876.6768505929017,2185.2757849606314,-5.684341886080802e-14
21,1102590.0,1105905.0,1.0,1.677,2943.12,3073.9,2916.84,3074.52,2.46780612,2.57746515,2.6110929227679662,219.31806000000034,211.66169580723238,10001.191666425566,10212.853362232798,0.493502414974114,164.520408,164.520408,2.0,0.0,0.0,48.0,2022-02-04 16:30:00+00:00,2022-02-06 23:45:00+00:00,2022-02-06 23:46:00+00:00,55.25,True,target,5.0000000000000515,4.802682178875321,2022-02-04 00:01:00+00:00,2022-01-31 00:01:00+00:00,2923.0371378047494,2269.884379386713,0.0
22,1138425.0,1138473.0,1.0,2.669,2993.21,2977.07,2977.67,3070.91,3.994438745,3.9728999150000006,0.0,-43.07765999999966,-51.04499865999966,10212.853362232798,10161.808363572798,0.7822375595387401,266.2959163333333,266.29591633333337,1.0,0.0,0.0,49.0,2022-03-01 13:45:00+00:00,2022-03-01 14:33:00+00:00,2022-03-01 14:34:00+00:00,0.8,False,stop,5.0,-1.2307039897039844,2022-03-01 00:01:00+00:00,2022-02-28 00:01:00+00:00,2984.2278615473515,2235.2642362729234,5.684341886080802e-14
23,1139265.0,1139367.0,1.0,2.179,2997.25,2976.93,2977.53,3095.85,3.265503875,3.2433652349999997,0.0,-44.27728000000035,-50.78614911000035,10161.808363572798,10111.022214462797,0.6427013299534177,217.70025833333332,217.70025833333332,1.0,0.0,0.0,50.0,2022-03-02 03:45:00+00:00,2022-03-02 05:27:00+00:00,2022-03-02 05:28:00+00:00,1.7,False,stop,5.000000000000046,-1.1819011156186814,2022-03-02 00:01:00+00:00,2022-02-28 00:01:00+00:00,2984.2278615473515,2235.2642362729234,0.0
24,1139550.0,1139571.0,1.0,2.437,2994.68,2976.93,2977.53,3080.4300000000003,3.6490175799999998,3.6273892049999996,0.0,-43.25675,-50.533156784999996,10111.022214462797,10060.489057677796,0.7217900431037424,243.26783866666665,243.26783866666665,1.0,0.0,0.0,51.0,2022-03-02 08:30:00+00:00,2022-03-02 08:51:00+00:00,2022-03-02 08:52:00+00:00,0.35,False,stop,5.000000000000132,-1.2090848396501714,2022-03-02 00:01:00+00:00,2022-02-28 00:01:00+00:00,2984.2278615473515,2235.2642362729234,0.0
25,1139820.0,1139828.0,1.0,3.791,2987.21,2976.93,2977.53,3035.61,5.662256555,5.6427708149999996,0.0,-38.97148000000076,-50.27650737000076,10060.489057677796,10010.212550307795,1.12564240615694,377.4837703333333,377.4837703333333,1.0,0.0,0.0,53.0,2022-03-02 13:00:00+00:00,2022-03-02 13:08:00+00:00,2022-03-02 13:09:00+00:00,0.13333333333333333,False,stop,5.000000000000094,-1.3700485537190519,2022-03-02 00:01:00+00:00,2022-02-28 00:01:00+00:00,2984.2278615473515,2235.2642362729234,0.0
26,1139925.0,1139947.0,1.0,0.963,3025.87,2976.93,2977.53,3267.57,1.456956405,1.433391795,0.0,-47.12922000000005,-50.01956820000005,10010.212550307795,9960.192982107796,0.2910939997882865,97.130427,112.1144582249997,1.0,0.0,0.0,54.0,2022-03-02 14:45:00+00:00,2022-03-02 15:07:00+00:00,2022-03-02 15:08:00+00:00,0.36666666666666664,False,stop,5.000000000000037,-1.0745014480761355,2022-03-02 00:01:00+00:00,2022-02-28 00:01:00+00:00,2984.2278615473515,2235.2642362729234,14.984031224999697
27,1163025.0,1165686.0,1.0,1.993,2892.25,2870.16,2870.7400000000002,2999.8,2.8821271250000002,2.86011444,3.2720165251389925,-44.025370000000294,-53.03962809013928,9960.192982107796,9907.153354017655,0.578729173255452,192.14180833333333,192.14180833333333,1.0,0.0,0.0,55.0,2022-03-18 15:45:00+00:00,2022-03-20 12:06:00+00:00,2022-03-20 12:07:00+00:00,44.35,True,stop,5.000000000000063,-1.2372366063682176,2022-03-18 00:01:00+00:00,2022-03-14 00:01:00+00:00,2876.8451926819157,2132.591125242977,0.0
28,1165785.0,1165801.0,1.0,3.0500000000000003,2883.44,2870.08,2870.66,2947.35,4.397246,4.3768720000000005,0.0,-40.748000000000395,-49.5221180000004,9907.153354017655,9857.631236017654,0.8876911142627628,293.14973333333336,293.14973333333336,1.0,0.0,0.0,57.0,2022-03-20 13:45:00+00:00,2022-03-20 14:01:00+00:00,2022-03-20 14:02:00+00:00,0.26666666666666666,False,stop,5.000782472613369,-1.2704820031298807,2022-03-20 00:01:00+00:00,2022-03-14 00:01:00+00:00,2876.8451926819157,2132.591125242977,0.0
29,1166175.0,1166217.0,1.0,1.226,2907.37,2870.08,2870.66,3090.92,1.78221781,1.7593590399999999,0.0,-45.71753999999996,-49.259116849999955,9857.631236017654,9808.372119167654,0.36159149542704766,118.81452066666665,125.20626145000003,1.0,0.0,0.0,59.0,2022-03-20 20:15:00+00:00,2022-03-20 20:57:00+00:00,2022-03-20 20:58:00+00:00,0.7,False,stop,5.0,-1.0944899210024495,2022-03-20 00:01:00+00:00,2022-03-14 00:01:00+00:00,2876.8451926819157,2132.591125242977,6.3917407833333755
30,1176285.0,1176513.0,1.0,2.4050000000000002,3230.65,3312.54,3214.14,3313.21,3.8848566250000003,3.9833293500000004,0.7924885560099302,196.9454499999997,188.28477546898978,9808.372119167654,9996.656894636644,0.7921511496098645,258.9904416666667,258.9904416666667,2.0,0.0,0.0,61.0,2022-03-27 20:45:00+00:00,2022-03-28 00:33:00+00:00,2022-03-28 00:34:00+00:00,3.8,True,target,5.0006056935190095,4.741907203445963,2022-03-27 00:01:00+00:00,2022-03-21 00:01:00+00:00,3220.001486153448,2470.942241904836,0.0
31,1240620.0,1240626.0,-1.0,1.354,2172.39,2207.1,2206.65,2001.0800000000002,1.47070803,1.4942066999999999,0.0,-46.99734000000005,-49.96225473000005,9996.656894636644,9946.694639906646,0.29423997352335995,98.047202,112.5699013500003,1.0,0.0,0.0,62.0,2022-05-11 13:00:00+00:00,2022-05-11 13:06:00+00:00,2022-05-11 13:07:00+00:00,0.1,False,stop,5.000291885580812,-1.0770503502626911,2022-05-11 00:01:00+00:00,2022-05-09 00:01:00+00:00,2798.7389986437365,2201.2831468658537,14.522699350000295
