trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,initial_stop,initial_target,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,equity_before,equity_after,entry_exposure,initial_margin_30x,allocated_collateral,reason,exit_at_open,missing_mark_minutes,signal_row,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,hold_hours,overnight,reason_text,target_price_R,net_realized_R,daily_iv_available_utc,weekly_iv_available_utc,signal_upper_wall,signal_lower_wall,additional_collateral
1,884160.0,886469.0,-1.0,6.043,3951.76,3645.54,4013.15,3644.81,11.940242840000002,11.014999110000002,-49.8766052063707,1850.4874600000016,1877.4088232563722,10000.0,11877.408823256372,2.3880485680000003,796.0161893333334,908.2906977999992,2.0,0.0,0.0,0.0,2021-09-06 00:00:00+00:00,2021-09-07 14:29:00+00:00,2021-09-07 14:30:00+00:00,38.483333333333334,True,target,5.000000000000015,5.060677090980934,2021-09-05 00:01:00+00:00,2021-08-30 00:01:00+00:00,3966.3669878082933,2622.968765340793,112.2745084666658
2,988200.0,990243.0,1.0,3.319,4175.85,4036.82,4037.63,4866.96,6.929823075000001,6.69910279,6.957990777542381,-461.44057000000066,-482.027486642543,11877.408823256372,11395.38133661383,1.1668913949364395,461.988205,770.5942183750009,1.0,0.0,0.0,7.0,2021-11-17 06:00:00+00:00,2021-11-18 16:03:00+00:00,2021-11-18 16:04:00+00:00,34.05,True,stop,5.000072348430027,-1.0507361221532334,2021-11-17 00:01:00+00:00,2021-11-15 00:01:00+00:00,5153.441838074487,4158.718655803761,308.6060133750009
3,997380.0,998084.0,1.0,6.311,4313.4400000000005,4245.51,4246.36,4648.85,13.611059920000002,13.396706805,5.4355627205548025,-428.7062300000018,-461.14955944555663,11395.38133661383,10934.231777168272,2.388873091287802,907.4039946666668,1035.8395764000054,1.0,0.0,0.0,14.0,2021-11-23 15:00:00+00:00,2021-11-24 02:44:00+00:00,2021-11-24 02:45:00+00:00,11.733333333333333,True,stop,5.000149075730406,-1.0893076759746776,2021-11-23 00:01:00+00:00,2021-11-22 00:01:00+00:00,4270.322279202876,3910.72459477633,128.4355817333386
4,1012620.0,1014148.0,-1.0,2.229,4017.3,4209.33,4208.4800000000005,3061.39,4.4772808500000005,4.691298285,-2.388427365013303,-428.03486999999944,-434.8150217699862,10934.231777168272,10499.416755398284,0.8189474928360295,298.48539,627.6178582500007,1.0,0.0,0.0,15.0,2021-12-04 05:00:00+00:00,2021-12-05 06:28:00+00:00,2021-12-05 06:29:00+00:00,25.466666666666665,True,stop,5.000052306726639,-1.020356683933719,2021-12-04 00:01:00+00:00,2021-11-29 00:01:00+00:00,4394.216701443152,4040.5223050945374,329.1324682500007
5,1053300.0,1053420.0,-1.0,6.08,3690.02,3721.92,3721.17,3534.26,11.217660799999999,11.3146368,0.0,-193.95200000000057,-216.48429760000056,10499.416755398284,10282.932457798282,2.1368159891800524,747.8440533333334,747.8440533333332,1.0,0.0,0.0,17.0,2022-01-01 11:00:00+00:00,2022-01-01 13:00:00+00:00,2022-01-01 13:01:00+00:00,2.0,False,stop,5.000321027287297,-1.143048796147672,2022-01-01 00:01:00+00:00,2021-12-27 00:01:00+00:00,4453.708073298163,3705.1808394302116,-1.1368683772161603e-13
6,1085940.0,1085993.0,-1.0,14.067,2434.46,2461.25,2460.75,2303.01,17.12277441,17.311201875,0.0,-376.8549299999995,-411.2889062849995,10282.932457798282,9871.643551513283,3.330329063284779,1141.5182940000002,1141.518294,1.0,0.0,0.0,18.0,2022-01-24 03:00:00+00:00,2022-01-24 03:53:00+00:00,2022-01-24 03:54:00+00:00,0.8833333333333333,False,stop,5.0,-1.1121283758082923,2022-01-24 00:01:00+00:00,2022-01-24 00:01:00+00:00,2631.5568726640645,2448.5601641498547,-2.2737367544323206e-13
7,1086060.0,1086366.0,-1.0,5.59,2436.46,2315.48,2460.75,2315.01,6.809905700000001,6.4717666000000005,1.5698277513749999,676.2782000000001,661.4266999486251,9871.643551513283,10533.070251461908,1.3796903554030917,453.99371333333335,453.99371333333335,2.0,0.0,0.0,21.0,2022-01-24 05:00:00+00:00,2022-01-24 10:06:00+00:00,2022-01-24 10:07:00+00:00,5.1,False,target,5.0,4.871272216447107,2022-01-24 00:01:00+00:00,2022-01-24 00:01:00+00:00,2631.5568726640645,2448.5601641498547,0.0
8,1090245.0,1091338.0,1.0,11.437,2376.67,2342.2000000000003,2342.67,2546.67,13.590987395,13.3938707,-3.26040435063586,-394.2333899999977,-417.95784374436187,10533.070251461908,10115.112407717546,2.580631681083429,906.0658263333333,1000.452432775,1.0,0.0,0.0,22.0,2022-01-27 02:45:00+00:00,2022-01-27 20:58:00+00:00,2022-01-27 20:59:00+00:00,18.216666666666665,False,stop,5.0,-1.074834113595096,2022-01-27 00:01:00+00:00,2022-01-24 00:01:00+00:00,2555.979186006657,2370.7250142232647,94.38660644166669
9,1100790.0,1100795.0,-1.0,19.561,2585.44,2600.4500000000003,2599.93,2512.9900000000002,25.28689592,25.433701225000004,0.0,-293.61061000000427,-344.33120714500427,10115.112407717546,9770.781200572541,4.99982499466972,1685.7930613333333,1685.7930613333335,1.0,0.0,0.0,26.0,2022-02-03 10:30:00+00:00,2022-02-03 10:35:00+00:00,2022-02-03 10:36:00+00:00,0.08333333333333333,False,stop,5.000000000000063,-1.2148340234644914,2022-02-03 00:01:00+00:00,2022-01-31 00:01:00+00:00,2771.466935752216,2587.685210126276,2.2737367544323206e-13
10,1100910.0,1100920.0,-1.0,17.784,2582.14,2600.4500000000003,2599.93,2493.19,22.96038888,23.123201400000003,0.0,-325.6250400000071,-371.7086302800071,9770.781200572541,9399.072570292534,4.699806168754364,1530.6925919999999,1530.6925919999999,1.0,0.0,0.0,28.0,2022-02-03 12:30:00+00:00,2022-02-03 12:40:00+00:00,2022-02-03 12:41:00+00:00,0.16666666666666666,False,stop,5.0,-1.1748901068015989,2022-02-03 00:01:00+00:00,2022-01-31 00:01:00+00:00,2771.466935752216,2587.685210126276,0.0
