trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,initial_stop,initial_target,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,equity_before,equity_after,entry_exposure,initial_margin_30x,allocated_collateral,reason,exit_at_open,missing_mark_minutes,signal_row,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,hold_hours,overnight,reason_text,target_price_R,net_realized_R,daily_iv_available_utc,weekly_iv_available_utc,signal_upper_wall,signal_lower_wall,additional_collateral
1,883980.0,884007.0,1.0,5.34,3977.15,3943.67,3944.46,4140.6,10.6189905,10.5295989,0.0,-178.78320000000008,-199.93178940000007,10000.0,9800.0682106,2.1237981,707.9327,707.9327,1.0,0.0,0.0,0.0,2021-09-05 21:00:00+00:00,2021-09-05 21:27:00+00:00,2021-09-05 21:28:00+00:00,0.45,False,stop,5.0,-1.145316916488221,2021-09-05 00:01:00+00:00,2021-08-30 00:01:00+00:00,3966.3669878082933,2622.968765340793,0.0
2,884160.0,886469.0,-1.0,2.961,3951.76,3645.54,4013.15,3644.81,5.85058068,5.3972219699999995,-24.438958797958566,906.7174200000007,919.9085761479593,9800.0682106,10719.97678674796,1.193987746671368,390.038712,445.05192059999956,2.0,0.0,0.0,3.0,2021-09-06 00:00:00+00:00,2021-09-07 14:29:00+00:00,2021-09-07 14:30:00+00:00,38.483333333333334,True,target,5.000000000000015,5.060677090980935,2021-09-05 00:01:00+00:00,2021-08-30 00:01:00+00:00,3966.3669878082933,2622.968765340793,55.01320859999959
3,887205.0,887535.0,-1.0,3.5660000000000003,3506.32,3227.7200000000003,3562.17,3227.07,6.25176856,5.755024760000001,-1.1625449550534621,993.4875999999997,982.6433516350532,10719.97678674796,11702.620138383014,1.1663772570344442,416.7845706666667,480.49068519999975,2.0,0.0,0.0,20.0,2021-09-08 02:45:00+00:00,2021-09-08 08:15:00+00:00,2021-09-08 08:16:00+00:00,5.5,False,target,5.000000000000008,4.933912052278556,2021-09-08 00:01:00+00:00,2021-09-06 00:01:00+00:00,4427.313793932994,3528.7154425350964,63.70611453333305
4,888465.0,891218.0,-1.0,3.541,3509.64,3201.13,3571.4700000000003,3200.48,6.21381762,5.667600665,-7.313435222027909,1092.433909999999,1087.8659269370269,11702.620138383014,12790.48606532004,1.0619532286824414,414.254508,498.5618229000013,2.0,0.0,0.0,24.0,2021-09-08 23:45:00+00:00,2021-09-10 21:38:00+00:00,2021-09-10 21:39:00+00:00,45.88333333333333,True,target,5.000161733786155,4.968784954204218,2021-09-08 00:01:00+00:00,2021-09-06 00:01:00+00:00,4427.313793932994,3528.7154425350964,84.3073149000013
5,894060.0,898024.0,-1.0,1.829,3321.2400000000002,3457.67,3456.9700000000003,2642.59,3.03727398,3.162039215,-4.871554837190543,-249.5304699999997,-250.85822835780917,12790.48606532004,12539.62783696223,0.47492706133119145,202.484932,384.9274991,1.0,0.0,0.0,33.0,2021-09-12 21:00:00+00:00,2021-09-15 15:04:00+00:00,2021-09-15 15:05:00+00:00,66.06666666666666,True,stop,5.0,-1.0105057666538926,2021-09-12 00:01:00+00:00,2021-09-06 00:01:00+00:00,3404.825092564807,3135.1953720650095,182.4425671
6,902085.0,903587.0,-1.0,4.17,3526.2000000000003,3340.2200000000003,3563.53,3339.55,7.352127,6.964358700000001,-4.31652708049953,775.5366,765.5366413804995,12539.62783696223,13305.164478342731,1.1726228394639628,490.14180000000005,490.14180000000005,2.0,0.0,0.0,37.0,2021-09-18 10:45:00+00:00,2021-09-19 11:47:00+00:00,2021-09-19 11:48:00+00:00,25.033333333333335,True,target,5.000000000000012,4.91781217221027,2021-09-18 00:01:00+00:00,2021-09-13 00:01:00+00:00,3535.102728595175,3271.9651642758727,0.0
7,906660.0,906694.0,-1.0,6.7700000000000005,2990.39,3026.68,3026.07,2811.98,10.122470150000002,10.2453118,0.0,-245.68329999999978,-266.0510819499998,13305.164478342731,13039.113396392731,1.5215851207967688,674.8313433333334,697.064756750002,1.0,0.0,0.0,39.0,2021-09-21 15:00:00+00:00,2021-09-21 15:34:00+00:00,2021-09-21 15:35:00+00:00,0.5666666666666667,False,stop,5.000280269058251,-1.1014163396860888,2021-09-21 00:01:00+00:00,2021-09-20 00:01:00+00:00,3681.480114100933,3009.7614261067324,22.233413416668554
8,907410.0,907597.0,-1.0,5.872,2867.66,2909.18,2908.59,2663.0,8.41944976,8.54135248,0.0,-243.8054399999999,-260.7662422399999,13039.113396392731,12778.34715415273,1.291414454962749,561.2966506666667,619.2161992000016,1.0,0.0,0.0,40.0,2021-09-22 03:30:00+00:00,2021-09-22 06:37:00+00:00,2021-09-22 06:38:00+00:00,3.1166666666666667,False,stop,5.000244319569958,-1.084984607867082,2021-09-22 00:01:00+00:00,2021-09-20 00:01:00+00:00,2888.888133731522,2647.343641001903,57.91954853333493
9,907980.0,910637.0,1.0,4.398,2920.1,2896.57,2865.4700000000003,3193.25,6.421299899999999,6.36955743,5.544480760518621,-103.48493999999887,-121.82027809051749,12778.34715415273,12656.526876062215,1.005028243877878,428.08665999999994,529.2212354999984,5.0,1.0,0.0,41.0,2021-09-22 13:00:00+00:00,2021-09-24 09:17:00+00:00,2021-09-24 09:17:00+00:00,44.28333333333333,True,daily_risk,5.000000000000033,-0.5070294215845464,2021-09-22 00:01:00+00:00,2021-09-20 00:01:00+00:00,2888.888133731522,2647.343641001903,101.1345754999985
10,917715.0,917881.0,-1.0,6.535,2916.64,2946.69,2946.1,2769.33,9.5301212,9.628309575000001,0.4034029627021564,-196.37675000000118,-215.93858373770334,12656.526876062215,12440.588292324512,1.505961515876001,635.3414133333333,635.3414133333333,1.0,0.0,0.0,42.0,2021-09-29 07:15:00+00:00,2021-09-29 10:01:00+00:00,2021-09-29 10:02:00+00:00,2.7666666666666666,False,stop,5.000339443312959,-1.1216359336078128,2021-09-29 00:01:00+00:00,2021-09-27 00:01:00+00:00,2926.9496907433254,2685.2570356287815,0.0
11,917955.0,918791.0,-1.0,6.355,2918.4900000000002,2954.7000000000003,2954.1,2740.44,9.273501975000002,9.388559250000002,0.5269446106637967,-230.11455000000024,-249.30355583566404,12440.588292324512,12191.28473648885,1.490846213554304,618.233465,643.6091388749979,1.0,0.0,0.0,47.0,2021-09-29 11:15:00+00:00,2021-09-30 01:11:00+00:00,2021-09-30 01:12:00+00:00,13.933333333333334,True,stop,5.0000000000000515,-1.1016431652176766,2021-09-29 00:01:00+00:00,2021-09-27 00:01:00+00:00,2926.9496907433254,2685.2570356287815,25.375673874997915
12,918870.0,919378.0,1.0,4.899,2975.8,2951.61,2952.21,3093.76,7.289222100000001,7.229968695000001,1.47056076096264,-118.50681000000027,-134.4965615559629,12191.28473648885,12056.788174932886,1.1958086875262883,485.9481400000001,485.94814,1.0,0.0,0.0,53.0,2021-09-30 02:30:00+00:00,2021-09-30 10:58:00+00:00,2021-09-30 10:59:00+00:00,8.466666666666667,False,stop,5.0004239084357485,-1.1637931624145774,2021-09-30 00:01:00+00:00,2021-09-27 00:01:00+00:00,2967.7997985207767,2733.765474491861,-5.684341886080802e-14
13,919455.0,920792.0,1.0,3.54,2973.9500000000003,3193.07,2930.0,3193.71,5.263891500000001,5.6517339,1.7714520705465033,775.6847999999997,762.9977225294532,12056.788174932886,12819.785897462338,0.8731830440455262,350.9261,392.458117500001,2.0,0.0,0.0,59.0,2021-09-30 12:15:00+00:00,2021-10-01 10:32:00+00:00,2021-10-01 10:33:00+00:00,22.283333333333335,True,target,5.000227531285516,4.904120132208844,2021-09-30 00:01:00+00:00,2021-09-27 00:01:00+00:00,2967.7997985207767,2733.765474491861,41.53201750000096
14,928035.0,930762.0,1.0,4.436,3397.98,3665.94,3344.2400000000002,3666.6800000000003,7.53671964,8.13105492,19.054135938976998,1188.6705600000003,1153.9486495010233,12819.785897462338,13973.734546963362,1.175794931410186,502.44797600000004,577.5430237999991,2.0,0.0,0.0,69.0,2021-10-06 11:15:00+00:00,2021-10-08 08:42:00+00:00,2021-10-08 08:43:00+00:00,45.45,True,target,5.000000000000026,4.840578680022957,2021-10-06 00:01:00+00:00,2021-10-04 00:01:00+00:00,3659.784775700563,3381.0160782559637,75.09504779999907
15,940260.0,940353.0,1.0,7.362,3786.69,3763.03,3763.79,3901.2000000000003,13.93880589,13.851713430000002,11.540447384157,-174.18491999999893,-213.51588670415592,13973.734546963362,13760.218660259205,1.9950008128684606,929.253726,929.253726,1.0,0.0,0.0,71.0,2021-10-14 23:00:00+00:00,2021-10-15 00:33:00+00:00,2021-10-15 00:34:00+00:00,1.55,True,stop,5.0004366812226975,-1.2664816418558837,2021-10-14 00:01:00+00:00,2021-10-11 00:01:00+00:00,3782.882103175558,3082.9121770171046,0.0
16,940470.0,940853.0,1.0,6.821,3798.28,3761.7200000000003,3762.48,3977.29,12.95403394,12.82934606,10.182024581791401,-249.37575999999962,-285.34116458179096,13760.218660259205,13474.877495677416,1.8828238503814563,863.6022626666667,863.6022626666667,1.0,0.0,0.0,73.0,2021-10-15 02:30:00+00:00,2021-10-15 08:53:00+00:00,2021-10-15 08:54:00+00:00,6.383333333333334,False,stop,5.000279329608906,-1.1685124749552995,2021-10-15 00:01:00+00:00,2021-10-11 00:01:00+00:00,3782.882103175558,3082.9121770171046,0.0
17,940980.0,941546.0,1.0,7.5680000000000005,3786.31,3904.67,3762.48,3905.46,14.327397040000003,14.775271280000002,6.614628666050754,895.748480000001,860.0311830139502,13474.877495677416,14334.908678691365,2.1265346634277105,955.1598026666668,955.1598026666668,2.0,0.0,0.0,74.0,2021-10-15 11:00:00+00:00,2021-10-15 20:26:00+00:00,2021-10-15 20:27:00+00:00,9.433333333333334,False,target,5.000000000000019,4.768799161287099,2021-10-15 00:01:00+00:00,2021-10-11 00:01:00+00:00,3782.882103175558,3082.9121770171046,0.0
18,944160.0,944401.0,1.0,4.627,3790.94,3732.75,3733.5,4078.14,8.770339689999998,8.635717125,9.4172413475154,-269.24513000000024,-296.06842816251566,14334.908678691365,14038.84025052885,1.2236338419144563,584.6893126666666,660.4401660500001,1.0,0.0,0.0,75.0,2021-10-17 16:00:00+00:00,2021-10-17 20:01:00+00:00,2021-10-17 20:02:00+00:00,4.016666666666667,False,stop,4.999999999999992,-1.1139819841608636,2021-10-17 00:01:00+00:00,2021-10-11 00:01:00+00:00,3782.882103175558,3082.9121770171046,75.75085338333349
19,944520.0,948840.0,1.0,1.793,3767.98,4120.1,3615.82,4528.78,3.3779940699999997,3.6936696500000004,20.88290766352363,631.3511600000006,603.3965886164771,14038.84025052885,14642.236839145326,0.4812354880771222,225.19960466666666,424.8326131499997,3.0,1.0,0.0,77.0,2021-10-17 22:00:00+00:00,2021-10-20 22:00:00+00:00,2021-10-20 22:00:00+00:00,72.0,True,max_hold,5.000000000000003,2.211678832129027,2021-10-17 00:01:00+00:00,2021-10-11 00:01:00+00:00,3974.664903932632,3696.9629503763213,199.63300848333304
20,958245.0,959027.0,1.0,3.463,4019.4500000000003,3938.89,3939.6800000000003,4418.3,6.959677675000001,6.820188035,1.7155815756087003,-278.9792800000014,-294.47472728561013,14642.236839145326,14347.762111859714,0.9506303922626949,463.97851166666675,589.429005375,1.0,0.0,0.0,81.0,2021-10-27 10:45:00+00:00,2021-10-27 23:47:00+00:00,2021-10-27 23:48:00+00:00,13.033333333333333,False,stop,5.0,-1.0659969071693673,2021-10-27 00:01:00+00:00,2021-10-25 00:01:00+00:00,4304.250633161778,3969.3118148071035,125.45049370833323
21,959550.0,960065.0,1.0,10.129,4096.17,4212.43,4072.75,4213.28,20.745052965,21.333851735,4.207657502999999,1177.5975400000023,1131.3109777970021,14347.762111859714,15479.073089656717,2.891747549654778,1383.0035309999998,1383.003531,2.0,0.0,0.0,84.0,2021-10-28 08:30:00+00:00,2021-10-28 17:05:00+00:00,2021-10-28 17:06:00+00:00,8.583333333333334,False,target,5.000426985482464,4.7690133646455966,2021-10-28 00:01:00+00:00,2021-10-25 00:01:00+00:00,4095.135110058518,3759.1925861220293,2.2737367544323206e-13
22,976290.0,976324.0,1.0,4.918,4811.41,4782.83,4783.79,4949.51,11.83125719,11.76097897,2.36752753636967,-140.55643999999964,-166.5162036963693,15479.073089656717,15312.556885960346,1.5286777343154705,788.7504793333334,788.7504793333334,1.0,0.0,0.0,86.0,2021-11-08 23:30:00+00:00,2021-11-09 00:04:00+00:00,2021-11-09 00:05:00+00:00,0.5666666666666667,True,stop,5.000000000000033,-1.2258696768669464,2021-11-08 00:01:00+00:00,2021-11-08 00:01:00+00:00,4808.916310931813,4431.782728585353,0.0
23,988080.0,988559.0,-1.0,2.254,4122.87,4254.55,4253.6900000000005,3468.76,4.64647449,4.79487785,-0.9429072957123541,-296.80672000000067,-305.3051650442883,15312.556885960346,15007.251720916058,0.6068842094242565,309.76496599999996,503.95963205000135,1.0,0.0,0.0,87.0,2021-11-17 04:00:00+00:00,2021-11-17 11:59:00+00:00,2021-11-17 12:00:00+00:00,7.983333333333333,False,stop,5.000076440911149,-1.0353950755377515,2021-11-17 00:01:00+00:00,2021-11-15 00:01:00+00:00,5153.441838074487,4158.718655803761,194.1946660500014
24,990090.0,990096.0,-1.0,9.52,4156.83,4184.18,4183.34,4024.27,19.786510800000002,19.9166968,0.0,-260.3720000000034,-300.07520760000347,15007.251720916058,14707.176513316053,2.6369266229369557,1319.10072,1319.10072,1.0,0.0,0.0,99.0,2021-11-18 13:30:00+00:00,2021-11-18 13:36:00+00:00,2021-11-18 13:37:00+00:00,0.1,False,stop,5.000377216144808,-1.1890043379856698,2021-11-18 00:01:00+00:00,2021-11-15 00:01:00+00:00,5153.441838074487,4158.718655803761,0.0
25,990180.0,991526.0,-1.0,6.171,4140.6900000000005,4184.18,4183.34,3927.44,12.776098995000002,12.910287390000002,-7.485544178921128,-268.37678999999866,-286.5776322060775,14707.176513316053,14420.598881109976,1.73739656737408,851.7399330000002,851.7399330000002,1.0,0.0,0.0,102.0,2021-11-18 15:00:00+00:00,2021-11-19 13:26:00+00:00,2021-11-19 13:27:00+00:00,22.433333333333334,True,stop,5.000000000000053,-1.088849129265256,2021-11-18 00:01:00+00:00,2021-11-15 00:01:00+00:00,5153.441838074487,4158.718655803761,0.0
26,997380.0,998084.0,1.0,3.993,4313.4400000000005,4245.51,4246.36,4648.85,8.611782960000001,8.476160715,3.4391066301973257,-271.2444900000012,-291.7715403051985,14420.598881109976,14128.827340804779,1.19437244333602,574.118864,655.3806732000033,1.0,0.0,0.0,112.0,2021-11-23 15:00:00+00:00,2021-11-24 02:44:00+00:00,2021-11-24 02:45:00+00:00,11.733333333333333,True,stop,5.000149075730406,-1.0893076759746778,2021-11-23 00:01:00+00:00,2021-11-22 00:01:00+00:00,4270.322279202876,3910.72459477633,81.26180920000331
27,1001295.0,1001524.0,-1.0,3.843,4299.22,3958.51,4367.52,3957.71,8.26095123,7.606276965,0.0,1309.3485300000002,1293.4813018050002,14128.827340804779,15422.308642609778,1.1693753530616018,550.730082,634.2197053500007,2.0,0.0,0.0,113.0,2021-11-26 08:15:00+00:00,2021-11-26 12:04:00+00:00,2021-11-26 12:05:00+00:00,3.816666666666667,False,target,5.000146412884324,4.9279814787701195,2021-11-26 00:01:00+00:00,2021-11-22 00:01:00+00:00,4721.398346934485,4342.255127214853,83.48962335000067
