trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,initial_stop,initial_target,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,equity_before,equity_after,entry_exposure,initial_margin_30x,allocated_collateral,reason,exit_at_open,missing_mark_minutes,signal_row,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,hold_hours,overnight,reason_text,target_price_R,net_realized_R,daily_iv_available_utc,weekly_iv_available_utc,signal_upper_wall,signal_lower_wall,additional_collateral
1,891255.0,891439.0,-1.0,3.958,3173.61,3271.44,3270.78,2687.75,6.28057419,6.47417976,-1.2706445044996342,-387.2111399999997,-398.6952494455001,10000.0,9601.304750554502,1.256114838,418.704946,667.2246985500002,1.0,0.0,0.0,28.0,2021-09-10 22:15:00+00:00,2021-09-11 01:19:00+00:00,2021-09-11 01:20:00+00:00,3.066666666666667,True,stop,5.000102912421527,-1.036652187282874,2021-09-10 00:01:00+00:00,2021-09-06 00:01:00+00:00,3667.196728628381,3181.8990751981923,248.5197525500002
2,905340.0,905773.0,-1.0,6.48,3090.63,2886.01,3131.67,2885.43,10.013641200000002,9.350672400000002,-1.9299772800000004,1325.9375999999993,1308.5032636799995,9601.304750554502,10909.808014234502,2.085891753289403,667.5760800000002,716.5530539999999,2.0,0.0,0.0,30.0,2021-09-20 17:00:00+00:00,2021-09-21 00:13:00+00:00,2021-09-21 00:14:00+00:00,7.216666666666667,True,target,5.000000000000011,4.920309844054582,2021-09-20 00:01:00+00:00,2021-09-20 00:01:00+00:00,3534.430914801684,3111.1687109731893,48.9769739999997
3,907125.0,907273.0,-1.0,4.789,2755.42,2843.7200000000003,2843.15,2316.77,6.59785319,6.809287540000001,-1.323946281192644,-422.86870000000084,-434.9518944488082,10909.808014234502,10474.856119785694,1.2095269103528665,439.8568793333333,717.04236355,1.0,0.0,0.0,32.0,2021-09-21 22:45:00+00:00,2021-09-22 01:13:00+00:00,2021-09-22 01:14:00+00:00,2.466666666666667,True,stop,5.0,-1.035257201798748,2021-09-21 00:01:00+00:00,2021-09-20 00:01:00+00:00,3177.1529425481253,2768.6566890554536,277.1854842166667
4,911340.0,911345.0,-1.0,5.1770000000000005,2941.8,2958.66,2958.06,2860.5,7.614849300000001,7.658491410000001,0.0,-87.28421999999831,-102.55756070999831,10474.856119785694,10372.298559075696,1.4539291447863425,507.65662000000003,507.65662000000003,1.0,0.0,0.0,33.0,2021-09-24 21:00:00+00:00,2021-09-24 21:05:00+00:00,2021-09-24 21:06:00+00:00,0.08333333333333333,False,stop,5.0000000000000835,-1.2183413284132818,2021-09-24 00:01:00+00:00,2021-09-20 00:01:00+00:00,3347.1475049081055,2942.7323050515934,0.0
5,921015.0,921041.0,1.0,9.943,3225.65,3187.14,3187.78,3415.0,16.036318975,15.844866509999997,0.0,-382.90493000000214,-414.78611548500214,10372.298559075696,9957.512443590693,3.092143729505033,1069.0879316666667,1098.175763874999,1.0,0.0,0.0,34.0,2021-10-01 14:15:00+00:00,2021-10-01 14:41:00+00:00,2021-10-01 14:42:00+00:00,0.43333333333333335,False,stop,5.000000000000012,-1.1015683918669221,2021-10-01 00:01:00+00:00,2021-09-27 00:01:00+00:00,3197.321382250152,2790.8647730079133,29.087832208332202
6,987105.0,987118.0,-1.0,6.532,4262.4,4292.14,4291.28,4117.99,13.920998399999998,14.018129240000002,0.0,-194.2616800000045,-222.2008076400045,9957.512443590693,9735.311635950688,2.7960795387125956,928.0665599999999,928.0665599999999,1.0,0.0,0.0,36.0,2021-11-16 11:45:00+00:00,2021-11-16 11:58:00+00:00,2021-11-16 11:59:00+00:00,0.21666666666666667,False,stop,5.000346260387787,-1.177883310249327,2021-11-16 00:01:00+00:00,2021-11-15 00:01:00+00:00,4848.225784700754,4275.026454859395,0.0
7,987585.0,989298.0,-1.0,7.54,4258.71,4306.07,4305.2,4026.26,16.0553367,16.2338839,-12.70947902144596,-357.0943999999975,-376.67414157855154,9735.311635950688,9358.637494372137,3.298371392798694,1070.35578,1073.0247514999985,1.0,0.0,0.0,39.0,2021-11-16 19:45:00+00:00,2021-11-18 00:18:00+00:00,2021-11-18 00:19:00+00:00,28.55,True,stop,5.0000000000000195,-1.0745705033926845,2021-11-16 00:01:00+00:00,2021-11-15 00:01:00+00:00,4848.225784700754,4275.026454859395,2.668971499998406
8,990705.0,990721.0,-1.0,5.748,3971.6800000000003,4015.48,4014.67,3756.73,11.414608320000001,11.540489520000001,-2.2979553385873444,-251.76239999999845,-272.41954250141106,9358.637494372137,9086.217951870725,2.439373963755778,760.9738880000001,760.9738880000001,1.0,0.0,0.0,41.0,2021-11-18 23:45:00+00:00,2021-11-19 00:01:00+00:00,2021-11-19 00:02:00+00:00,0.26666666666666666,True,stop,5.000000000000032,-1.1024376957006736,2021-11-18 00:01:00+00:00,2021-11-15 00:01:00+00:00,4568.6282263228395,3995.6239388616873,0.0
9,1012860.0,1013203.0,-1.0,6.199,3937.9300000000003,3992.58,3991.78,3668.6800000000003,12.205614035,12.37500171,0.0,-338.77534999999773,-363.3559657449977,9086.217951870725,8722.861986125728,2.6866214523253946,813.7076023333334,883.0687815749993,1.0,0.0,0.0,42.0,2021-12-04 09:00:00+00:00,2021-12-04 14:43:00+00:00,2021-12-04 14:44:00+00:00,5.716666666666667,False,stop,5.000000000000009,-1.0884912720519913,2021-12-04 00:01:00+00:00,2021-11-29 00:01:00+00:00,4478.896915451556,3942.3800700215083,69.36117924166592
10,1047975.0,1048127.0,-1.0,7.284,3794.33,3837.75,3836.98,3581.07,13.818949859999998,13.9770855,0.0,-316.2712800000005,-344.06731536000046,8722.861986125728,8378.794670765728,3.1684439996826557,921.2633239999999,932.5153437000006,1.0,0.0,0.0,46.0,2021-12-28 18:15:00+00:00,2021-12-28 20:47:00+00:00,2021-12-28 20:48:00+00:00,2.533333333333333,False,stop,5.000234466588495,-1.1075273153575607,2021-12-28 00:01:00+00:00,2021-12-27 00:01:00+00:00,4240.863484758935,3821.0646182688542,11.252019700000687
11,1059660.0,1061491.0,-1.0,4.63,3591.59,3252.2000000000003,3659.6,3251.54,8.31453085,7.528843000000001,-3.4653054437643727,1571.3756999999994,1558.9976315937638,8378.794670765728,9937.792302359492,1.9846603662481552,554.3020566666668,689.0401882499988,2.0,0.0,0.0,48.0,2022-01-05 21:00:00+00:00,2022-01-07 03:31:00+00:00,2022-01-07 03:32:00+00:00,30.516666666666666,True,target,5.00000000000002,4.950985900605295,2022-01-05 00:01:00+00:00,2022-01-03 00:01:00+00:00,3947.8312965607447,3610.8329193906175,134.738131583332
12,1061625.0,1061786.0,-1.0,13.209,3228.01,3254.86,3254.2000000000003,3097.06,21.319392045,21.496722870000003,-4.229157629349408,-354.6616499999988,-393.2486072856494,9937.792302359492,9544.543695073844,4.290569051224429,1421.292803,1421.292803,1.0,0.0,0.0,53.0,2022-01-07 05:45:00+00:00,2022-01-07 08:26:00+00:00,2022-01-07 08:27:00+00:00,2.683333333333333,False,stop,5.0,-1.1367416025157637,2022-01-07 00:01:00+00:00,2022-01-03 00:01:00+00:00,3553.0144922559766,3243.4236858374643,0.0
13,1062060.0,1062232.0,-1.0,7.355,3240.3,3086.67,3271.15,3086.05,11.91620325,11.351228925000001,0.0,1129.948650000001,1106.6812178250009,9544.543695073844,10651.224912898844,2.4969665665945295,794.41355,794.4135500000001,2.0,0.0,0.0,55.0,2022-01-07 13:00:00+00:00,2022-01-07 15:52:00+00:00,2022-01-07 15:53:00+00:00,2.8666666666666667,False,target,5.000000000000015,4.877358670988673,2022-01-07 00:01:00+00:00,2022-01-03 00:01:00+00:00,3553.0144922559766,3243.4236858374643,1.1368683772161603e-13
14,1063860.0,1064021.0,-1.0,5.13,3007.51,3087.5,3086.88,2610.66,7.714263150000001,7.9194375,0.0,-410.34869999999887,-425.9824006499989,10651.224912898844,10225.242512248846,1.4485213133858201,514.28421,754.3099417499996,1.0,0.0,0.0,58.0,2022-01-08 19:00:00+00:00,2022-01-08 21:41:00+00:00,2022-01-08 21:42:00+00:00,2.683333333333333,False,stop,5.0000000000000115,-1.0462076981227153,2022-01-08 00:01:00+00:00,2022-01-03 00:01:00+00:00,3342.9020249426403,3038.0299350479777,240.02573174999952
15,1066515.0,1066578.0,-1.0,6.194,2988.35,3051.36,3050.7400000000002,2676.39,9.25491995,9.45006192,-0.29756038986342265,-390.28394000000134,-408.6913614801379,10225.242512248846,9816.551150768706,1.8102103571457608,616.9946633333333,802.915057750002,1.0,0.0,0.0,63.0,2022-01-10 15:15:00+00:00,2022-01-10 16:18:00+00:00,2022-01-10 16:19:00+00:00,1.05,False,stop,5.000160282096465,-1.0575703622104597,2022-01-10 00:01:00+00:00,2022-01-10 00:01:00+00:00,3293.102842010769,2994.639940383077,185.92039441666873
16,1077060.0,1077130.0,-1.0,3.208,3191.36,3223.1800000000003,3222.53,3035.5,5.11894144,5.169980720000001,-0.7770352442312001,-102.07856000000054,-111.59044691576933,9816.551150768706,9704.960703852938,1.042920545389131,341.2627626666667,341.26276266666673,1.0,0.0,0.0,64.0,2022-01-17 23:00:00+00:00,2022-01-18 00:10:00+00:00,2022-01-18 00:11:00+00:00,1.1666666666666667,True,stop,5.000320821302527,-1.1159785701347475,2022-01-17 00:01:00+00:00,2022-01-17 00:01:00+00:00,3471.5268347841115,3203.3735025205237,5.684341886080802e-14
17,1081740.0,1081909.0,-1.0,11.807,2860.33,2886.15,2885.57,2734.12,16.885958155,17.038386525000004,0.0,-304.85674000000193,-338.781084680002,9704.960703852938,9366.179619172935,3.479861211245535,1125.7305436666668,1125.7305436666666,1.0,0.0,0.0,65.0,2022-01-21 05:00:00+00:00,2022-01-21 07:49:00+00:00,2022-01-21 07:50:00+00:00,2.816666666666667,False,stop,5.000396196513425,-1.1368161648177455,2022-01-21 00:01:00+00:00,2022-01-17 00:01:00+00:00,3117.526913156762,2865.6592835262572,-2.2737367544323206e-13
