trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,initial_stop,initial_target,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,equity_before,equity_after,entry_exposure,initial_margin_30x,allocated_collateral,reason,exit_at_open,missing_mark_minutes,signal_row,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,hold_hours,overnight,reason_text,target_price_R,net_realized_R,daily_iv_available_utc,weekly_iv_available_utc,signal_upper_wall,signal_lower_wall,additional_collateral
1,883980.0,884007.0,1.0,16.906,3977.15,3943.67,3944.46,4140.6,16.98743238143862,16.84443067515885,0.0,-566.0128800000002,-599.8447430565976,10000.0,9400.155256943402,6.7237697899999995,2241.2565966666666,2241.256596666666,1.0,0.0,0.0,0.0,2021-09-05 21:00:00+00:00,2021-09-05 21:27:00+00:00,2021-09-05 21:28:00+00:00,0.45,False,stop,5.0,-1.0853831419903426,2021-09-05 00:01:00+00:00,2021-08-30 00:01:00+00:00,3966.3669878082933,2622.968765340793,-4.547473508864641e-13
2,884160.0,886469.0,-1.0,7.003,3951.76,3645.54,4013.15,3644.81,6.991809594377564,6.450017599420811,-57.800077157076615,2144.4586600000016,2188.8169099632796,9400.155256943402,11588.972166906682,2.944012574638971,922.4725093333334,1045.7378357543766,2.0,0.0,0.0,3.0,2021-09-06 00:00:00+00:00,2021-09-07 14:29:00+00:00,2021-09-07 14:30:00+00:00,38.483333333333334,True,target,5.000000000000015,5.091288128426388,2021-09-05 00:01:00+00:00,2021-08-30 00:01:00+00:00,3966.3669878082933,2622.968765340793,123.26532642104326
3,887205.0,887535.0,-1.0,9.19,3506.32,3227.7200000000003,3562.17,3227.07,8.141078937975255,7.4942171021702215,-2.99601462056683,2560.333999999999,2547.69471858042,11588.972166906682,14136.666885487102,2.78049514106314,1074.1026933333333,1230.3103565379743,2.0,0.0,0.0,20.0,2021-09-08 02:45:00+00:00,2021-09-08 08:15:00+00:00,2021-09-08 08:16:00+00:00,5.5,False,target,5.000000000000008,4.963736260328165,2021-09-08 00:01:00+00:00,2021-09-06 00:01:00+00:00,4427.313793932994,3528.7154425350964,156.207663204641
4,888465.0,891218.0,-1.0,9.003,3509.64,3201.13,3571.4700000000003,3200.48,7.982974220259252,7.28124202644673,-18.59442454219635,2777.515529999998,2780.8457382954884,14136.666885487102,16917.51262378259,2.2351300469871163,1053.242964,1259.7788204602625,2.0,0.0,0.0,24.0,2021-09-08 23:45:00+00:00,2021-09-10 21:38:00+00:00,2021-09-10 21:39:00+00:00,45.88333333333333,True,target,5.000161733786155,4.995631567911908,2021-09-08 00:01:00+00:00,2021-09-06 00:01:00+00:00,4427.313793932994,3528.7154425350964,206.5358564602625
5,894060.0,898024.0,-1.0,7.347,3321.2400000000002,3457.67,3456.9700000000003,2642.59,6.164888200475139,6.418129669682671,-19.56878807481625,-1002.3512099999989,-995.3654397953405,16917.51262378259,15922.14718398725,1.4423604002929447,813.3716760000001,1540.1985043604752,1.0,0.0,0.0,33.0,2021-09-12 21:00:00+00:00,2021-09-15 15:04:00+00:00,2021-09-15 15:05:00+00:00,66.06666666666666,True,stop,5.0,-0.998151970670341,2021-09-12 00:01:00+00:00,2021-09-06 00:01:00+00:00,3404.825092564807,3135.1953720650095,726.8268283604751
6,902085.0,903587.0,-1.0,4.17,3526.2000000000003,3340.2200000000003,3563.53,3339.55,3.7149921598445794,3.519054821665266,-4.31652708049953,775.5366,772.6190800989898,15922.14718398725,16694.76626408624,0.9235094883928675,490.14180000000005,490.14180000000005,2.0,0.0,0.0,37.0,2021-09-18 10:45:00+00:00,2021-09-19 11:47:00+00:00,2021-09-19 11:48:00+00:00,25.033333333333335,True,target,5.000000000000012,4.9633098028343445,2021-09-18 00:01:00+00:00,2021-09-13 00:01:00+00:00,3535.102728595175,3271.9651642758727,0.0
7,906660.0,906694.0,-1.0,24.553,2990.39,3026.68,3026.07,2811.98,18.550144673504718,18.775260711948363,0.0,-891.0283699999991,-928.3537753854522,16694.76626408624,15766.41248870079,4.397967872598945,2447.4348556666664,2509.908189413512,1.0,0.0,0.0,39.0,2021-09-21 15:00:00+00:00,2021-09-21 15:34:00+00:00,2021-09-21 15:35:00+00:00,0.5666666666666667,False,stop,5.000280269058251,-1.0597028403567041,2021-09-21 00:01:00+00:00,2021-09-20 00:01:00+00:00,3681.480114100933,3009.7614261067324,62.47333374684558
8,907410.0,907597.0,-1.0,12.376,2867.66,2909.18,2908.59,2663.0,8.966498181140535,9.096321453244254,0.0,-513.8515199999997,-531.9143396343845,15766.41248870079,15234.498149066405,2.2509978211869375,1183.0053386666666,1296.299701701144,1.0,0.0,0.0,40.0,2021-09-22 03:30:00+00:00,2021-09-22 06:37:00+00:00,2021-09-22 06:38:00+00:00,3.1166666666666667,False,stop,5.000244319569958,-1.050073389907937,2021-09-22 00:01:00+00:00,2021-09-20 00:01:00+00:00,2888.888133731522,2647.343641001903,113.29436303447733
9,907980.0,910626.0,1.0,9.274000000000001,2920.1,2975.36,2865.4700000000003,3193.25,6.841947246809871,6.971424321176747,11.691567660993563,512.4812400000021,486.97630077102195,15234.498149066405,15721.474449837428,1.7776107315789442,902.7002466666668,1109.2627300468066,5.0,1.0,0.0,41.0,2021-09-22 13:00:00+00:00,2021-09-24 09:06:00+00:00,2021-09-24 09:06:00+00:00,44.1,True,daily_risk,5.000000000000033,0.9611906426932574,2021-09-22 00:01:00+00:00,2021-09-20 00:01:00+00:00,2888.888133731522,2647.343641001903,206.56248338013984
10,917715.0,917881.0,-1.0,6.535,2916.64,2946.69,2946.1,2769.33,4.815521486553294,4.865135570112091,0.4034029627021564,-196.37675000000118,-206.46081001936875,15721.474449837428,15515.01363981806,1.2123698995800676,635.3414133333333,635.3414133333333,1.0,0.0,0.0,42.0,2021-09-29 07:15:00+00:00,2021-09-29 10:01:00+00:00,2021-09-29 10:02:00+00:00,2.7666666666666666,False,stop,5.000339443312959,-1.0724061415573072,2021-09-29 00:01:00+00:00,2021-09-27 00:01:00+00:00,2926.9496907433254,2685.2570356287815,0.0
11,917955.0,918791.0,-1.0,7.553,2918.4900000000002,2954.7000000000003,2954.1,2740.44,5.569197246607753,5.638294838958479,0.6262805105182778,-273.49413000000027,-285.32790259608475,15515.01363981806,15229.685737221975,1.4207757390188474,734.778499,759.4853365866052,1.0,0.0,0.0,47.0,2021-09-29 11:15:00+00:00,2021-09-30 01:11:00+00:00,2021-09-30 01:12:00+00:00,13.933333333333334,True,stop,5.0000000000000515,-1.060847080690026,2021-09-29 00:01:00+00:00,2021-09-27 00:01:00+00:00,2926.9496907433254,2685.2570356287815,24.70683758660516
12,918870.0,919378.0,1.0,4.899,2975.8,2951.61,2952.21,3093.76,3.6832066356941118,3.6532661932862074,1.47056076096264,-118.50681000000027,-127.31384358994323,15229.685737221975,15102.371893632031,0.9572386752780911,485.9481400000001,485.94814,1.0,0.0,0.0,53.0,2021-09-30 02:30:00+00:00,2021-09-30 10:58:00+00:00,2021-09-30 10:59:00+00:00,8.466666666666667,False,stop,5.0004239084357485,-1.1016414021041263,2021-09-30 00:01:00+00:00,2021-09-27 00:01:00+00:00,2967.7997985207767,2733.765474491861,-5.684341886080802e-14
13,919455.0,920792.0,1.0,5.117,2973.9500000000003,3193.07,2930.0,3193.71,3.844713521549614,4.127991191598523,2.5605989392617112,1121.2370399999995,1110.7037363475895,15102.371893632031,16213.075629979621,1.007636565777896,507.2567383333334,563.5263108215511,2.0,0.0,0.0,59.0,2021-09-30 12:15:00+00:00,2021-10-01 10:32:00+00:00,2021-10-01 10:33:00+00:00,22.283333333333335,True,target,5.000227531285516,4.9388283955112815,2021-09-30 00:01:00+00:00,2021-09-27 00:01:00+00:00,2967.7997985207767,2733.765474491861,56.269572488217705
14,928035.0,928897.0,1.0,16.297,3397.98,3481.77,3344.2400000000002,3666.6800000000003,13.990827093952106,14.33582365137806,27.087624880669374,1365.5256299999994,1310.111354374,16213.075629979621,17523.18698435362,3.4155690952062505,1845.8960020000002,2108.0829684139485,5.0,1.0,0.0,69.0,2021-10-06 11:15:00+00:00,2021-10-07 01:37:00+00:00,2021-10-07 01:37:00+00:00,14.366666666666667,True,daily_risk,5.000000000000026,1.495901104785503,2021-10-06 00:01:00+00:00,2021-10-04 00:01:00+00:00,3659.784775700563,3381.0160782559637,262.1869664139483
15,940260.0,940353.0,1.0,7.362,3786.69,3763.03,3763.79,3901.2000000000003,7.043207305715127,6.999199931239473,11.540447384157,-174.18491999999893,-199.76777462111053,17523.18698435362,17323.41920973251,1.5908984938009167,929.253726,929.253726,1.0,0.0,0.0,71.0,2021-10-14 23:00:00+00:00,2021-10-15 00:33:00+00:00,2021-10-15 00:34:00+00:00,1.55,True,stop,5.0004366812226975,-1.1849339320712744,2021-10-14 00:01:00+00:00,2021-10-11 00:01:00+00:00,3782.882103175558,3082.9121770171046,0.0
16,940470.0,940853.0,1.0,24.074,3798.28,3761.7200000000003,3762.48,3977.29,23.10202972912556,22.879663235108055,35.936381730251604,-880.1454399999988,-962.063514694484,17323.41920973251,16361.355695038028,5.278391731617741,3047.9930906666673,3047.993090666667,1.0,0.0,0.0,73.0,2021-10-15 02:30:00+00:00,2021-10-15 08:53:00+00:00,2021-10-15 08:54:00+00:00,6.383333333333334,False,stop,5.000279329608906,-1.1162782476267066,2021-10-15 00:01:00+00:00,2021-10-11 00:01:00+00:00,3782.882103175558,3082.9121770171046,-4.547473508864641e-13
17,940980.0,941546.0,1.0,5.908,3786.31,3904.67,3762.48,3905.46,5.651601875735457,5.828270874843309,5.163745528412772,699.2708800000008,682.6272617210094,16361.355695038028,17043.98295675904,1.367216745173757,745.6506493333334,745.6506493333334,2.0,0.0,0.0,74.0,2021-10-15 11:00:00+00:00,2021-10-15 20:26:00+00:00,2021-10-15 20:27:00+00:00,9.433333333333334,False,target,5.000000000000019,4.8486306164448205,2021-10-15 00:01:00+00:00,2021-10-11 00:01:00+00:00,3782.882103175558,3082.9121770171046,0.0
18,944160.0,944401.0,1.0,17.016000000000002,3790.94,3732.75,3733.5,4078.14,16.297436335876384,16.047274681937083,34.63232737612321,-990.161040000001,-1057.1380783939376,17043.98295675904,15986.8448783651,3.7847160023367055,2150.2211680000005,2412.842447215877,1.0,0.0,0.0,75.0,2021-10-17 16:00:00+00:00,2021-10-17 20:01:00+00:00,2021-10-17 20:02:00+00:00,4.016666666666667,False,stop,4.999999999999992,-1.081582890028147,2021-10-17 00:01:00+00:00,2021-10-11 00:01:00+00:00,3782.882103175558,3082.9121770171046,262.6212792158767
