trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
1,877955.0,878397.0,1.0,0.559,3667.71,3833.2000000000003,1.025124945,1.0713794000000003,0.0,92.50891000000014,90.41240565500014,10090.412405655,2.0,10000.0,0.20502498900000002,1630540680.0,2021-09-01 16:35:00+00:00,2021-09-01 16:35:00+00:00,2021-09-01 23:57:00+00:00,2021-09-01 23:58:00+00:00,3583.4836265426784,3833.9727469146433,2021-09-06 00:00:00+00:00,1.973998643060303,1.920295726396855,target,minute interval; not exact exchange fill
2,907030.0,907063.0,-1.0,0.491,2729.78,2829.08,0.6701609900000001,0.6945391399999999,0.0,-48.75629999999987,-50.12100012999987,10040.291405525002,1.0,10090.412405655,0.13283123881525788,1632260640.0,2021-09-21 21:10:00+00:00,2021-09-21 21:10:00+00:00,2021-09-21 21:43:00+00:00,2021-09-21 21:44:00+00:00,2828.5071545063497,2533.9756909873004,2021-09-26 00:00:00+00:00,1.983287272805041,-1.0339549489743942,stop,minute interval; not exact exchange fill
3,907140.0,907269.0,-1.0,0.457,2722.7200000000003,2829.08,0.6221415200000001,0.64644478,-0.126340248591572,-48.606519999999854,-49.74876605140828,9990.542639473593,1.0,10040.291405525002,0.12392897673421037,1632273000.0,2021-09-21 23:00:00+00:00,2021-09-21 23:00:00+00:00,2021-09-22 01:09:00+00:00,2021-09-22 01:10:00+00:00,2828.5071545063497,2512.885690987301,2021-09-26 00:00:00+00:00,1.9835518782207593,-1.029042182123065,stop,minute interval; not exact exchange fill
4,910645.0,913549.0,-1.0,0.46,2904.87,3009.78,0.6681201,0.6922494,-0.02985346026197635,-48.25860000000014,-49.58911603973817,9940.953523433856,1.0,9990.542639473593,0.13375051268190244,1632649800.0,2021-09-24 09:25:00+00:00,2021-09-24 09:25:00+00:00,2021-09-26 09:49:00+00:00,2021-09-26 09:50:00+00:00,3009.1742360776075,2698.9315278447857,2021-09-29 00:00:00+00:00,1.974401806672412,-1.0335383319727631,stop,minute interval; not exact exchange fill
5,939805.0,944401.0,1.0,0.555,3814.37,3729.56,1.058487675,1.0349529,7.839407557286981,-47.06954999999997,-57.002398132286956,9883.95112530157,1.0,9940.953523433856,0.21295495899962155,1634500920.0,2021-10-14 15:25:00+00:00,2021-10-14 15:25:00+00:00,2021-10-17 20:01:00+00:00,2021-10-17 20:02:00+00:00,3730.312760393937,3980.174479212126,2021-10-19 00:00:00+00:00,1.972518726396134,-1.2218700512069895,stop,minute interval; not exact exchange fill
6,948495.0,949028.0,1.0,0.647,4092.14,4229.84,1.32380729,1.3683532400000002,1.364013628035781,89.09190000000018,85.03572584196439,9968.986851143534,2.0,9883.95112530157,0.2678700599016993,1634778540.0,2021-10-20 16:15:00+00:00,2021-10-20 16:15:00+00:00,2021-10-21 01:08:00+00:00,2021-10-21 01:09:00+00:00,4021.6209535667463,4230.688092866507,2021-10-25 00:00:00+00:00,1.9646903903847164,1.8637631098314458,target,minute interval; not exact exchange fill
7,949650.0,949654.0,1.0,0.511,4371.49,4279.4,1.1169156949999999,1.0933867,0.0,-47.057990000000075,-49.268292395000074,9919.718558748535,1.0,9968.986851143534,0.22407807567162744,1634816100.0,2021-10-21 11:30:00+00:00,2021-10-21 11:30:00+00:00,2021-10-21 11:34:00+00:00,2021-10-21 11:35:00+00:00,4280.261820643558,4550.346358712884,2021-10-26 00:00:00+00:00,1.9605385087656553,-1.0568603438120927,stop,minute interval; not exact exchange fill
8,953250.0,953540.0,1.0,0.721,4177.5,4113.78,1.50598875,1.4830176899999998,0.5701454591931,-45.94212000000018,-49.50127189919328,9870.217286849342,1.0,9919.718558748535,0.3036353785807396,1635049260.0,2021-10-23 23:30:00+00:00,2021-10-23 23:30:00+00:00,2021-10-24 04:20:00+00:00,2021-10-24 04:21:00+00:00,4114.604061913486,4300.801876173029,2021-10-28 00:00:00+00:00,1.9604107979664005,-1.0915873503096845,stop,minute interval; not exact exchange fill
9,959565.0,960240.0,1.0,0.5690000000000001,4116.5,4273.7,1.17114425,1.21586765,0.236366583,89.44679999999991,86.8234215169999,9957.040708366341,2.0,9870.217286849342,0.2373087067820448,1635451260.0,2021-10-28 08:45:00+00:00,2021-10-28 08:45:00+00:00,2021-10-28 20:00:00+00:00,2021-10-28 20:01:00+00:00,4035.6544751510305,4274.561049697939,2021-11-02 00:00:00+00:00,1.955099555519227,1.8874204018720626,target,minute interval; not exact exchange fill
10,967640.0,968501.0,1.0,0.554,4574.14,4489.85,1.2670367800000002,1.24368845,1.3947469999355742,-46.69665999999999,-50.60213222993556,9906.438576136405,1.0,9957.040708366341,0.2545006728626469,1635946920.0,2021-11-02 23:20:00+00:00,2021-11-02 23:20:00+00:00,2021-11-03 13:41:00+00:00,2021-11-03 13:42:00+00:00,4490.754194767657,4738.121610464686,2021-11-07 00:00:00+00:00,1.966541067844498,-1.0953853429632825,stop,minute interval; not exact exchange fill
11,1000170.0,1001253.0,1.0,0.537,4470.14,4383.31,1.2002325900000002,1.1769187350000003,1.4797905774308688,-46.627709999999965,-50.484651902430834,9855.953924233972,1.0,9906.438576136405,0.2423136389077781,1637912040.0,2021-11-25 13:30:00+00:00,2021-11-25 13:30:00+00:00,2021-11-26 07:33:00+00:00,2021-11-26 07:34:00+00:00,4384.190797996932,4638.5884040061355,2021-11-30 00:00:00+00:00,1.959860011267138,-1.0938133800475354,stop,minute interval; not exact exchange fill
12,1012625.0,1012646.0,-1.0,0.274,3919.01,3572.84,0.5369043700000001,0.48947908000000007,0.0,94.85058000000002,93.82419655000002,9949.778120783973,2.0,9855.953924233972,0.1089502597368787,1638595620.0,2021-12-04 05:05:00+00:00,2021-12-04 05:05:00+00:00,2021-12-04 05:26:00+00:00,2021-12-04 05:27:00+00:00,4092.994421062725,3572.1211578745497,2021-12-09 00:00:00+00:00,1.9937925476694855,1.9681306688749418,target,minute interval; not exact exchange fill
