trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
1,877985.0,878394.0,-1.0,0.623,3730.29,3805.9500000000003,1.161985335,1.1855534250000002,0.0,-47.136180000000195,-49.483718760000194,9950.51628124,1.0,10000.0,0.232397067,1630540500.0,2021-09-01 17:05:00+00:00,2021-09-01 17:05:00+00:00,2021-09-01 23:54:00+00:00,2021-09-01 23:55:00+00:00,3805.1850789263976,3105.362385772841,2021-09-06 00:00:00+00:00,8.344041066320253,-1.0605252192611672,stop,minute interval; not exact exchange fill
2,887545.0,894240.0,1.0,0.462,3234.3,3404.96,0.7471233000000002,0.7865457600000001,2.1830000088180905,78.84491999999993,75.12825093118185,10025.64453217118,4.0,9950.51628124,0.1501677458502477,1631491200.0,2021-09-08 08:25:00+00:00,2021-09-08 08:25:00+00:00,2021-09-13 00:00:00+00:00,2021-09-13 00:00:00+00:00,3131.3345705442152,3862.742832789939,2021-09-13 00:00:00+00:00,6.103435260859106,1.5793190259613743,timeout,minute interval; not exact exchange fill
3,895110.0,901440.0,1.0,0.536,3166.46,3400.31,0.8486112800000001,0.91128308,2.5908007309704084,125.34359999999995,120.99290490902953,10146.637437080208,4.0,10025.64453217118,0.16928812452444345,1631923200.0,2021-09-13 14:30:00+00:00,2021-09-13 14:30:00+00:00,2021-09-18 00:00:00+00:00,2021-09-18 00:00:00+00:00,3077.5511546918583,3859.235764836818,2021-09-18 00:00:00+00:00,7.79197797964628,2.5389265912108927,timeout,minute interval; not exact exchange fill
4,904780.0,905024.0,1.0,0.43,3130.98,3016.9700000000003,0.6731607000000001,0.64864855,0.13448570138052998,-49.0242999999999,-50.48059495138042,10096.156842128827,1.0,10146.637437080208,0.13268645976054674,1632138300.0,2021-09-20 07:40:00+00:00,2021-09-20 07:40:00+00:00,2021-09-20 11:44:00+00:00,2021-09-20 11:45:00+00:00,3017.581339645437,3722.6032673794502,2021-09-25 00:00:00+00:00,5.217198029761763,-1.0352567841454812,stop,minute interval; not exact exchange fill
5,905315.0,905455.0,1.0,0.538,3107.04,3016.9700000000003,0.83579376,0.8115649300000002,0.0,-48.45765999999985,-50.10501868999985,10046.051823438827,1.0,10096.156842128827,0.16556671475475387,1632164160.0,2021-09-20 16:35:00+00:00,2021-09-20 16:35:00+00:00,2021-09-20 18:55:00+00:00,2021-09-20 18:56:00+00:00,3017.581339645437,3722.6032673794502,2021-09-25 00:00:00+00:00,6.880980163795305,-1.0410619232489908,stop,minute interval; not exact exchange fill
6,907015.0,907039.0,1.0,0.531,2773.69,2682.5,0.7364146950000001,0.71220375,0.0,-48.42189000000003,-49.870508445000034,9996.181314993826,1.0,10046.051823438827,0.14660778342429864,1632259200.0,2021-09-21 20:55:00+00:00,2021-09-21 20:55:00+00:00,2021-09-21 21:19:00+00:00,2021-09-21 21:20:00+00:00,2683.0400562005084,3315.6671161210998,2021-09-26 00:00:00+00:00,5.978791529312994,-1.0360524349329683,stop,minute interval; not exact exchange fill
7,907700.0,908172.0,-1.0,0.557,2940.16,3026.33,0.81883456,0.8428329050000001,-0.16747547847237604,-47.996690000000044,-49.49088198652767,9946.6904330073,1.0,9996.181314993826,0.16382947331533187,1632327180.0,2021-09-22 08:20:00+00:00,2021-09-22 08:20:00+00:00,2021-09-22 16:12:00+00:00,2021-09-22 16:13:00+00:00,3025.718422883427,2511.8283417640405,2021-09-27 00:00:00+00:00,5.006306144978363,-1.0385017383091908,stop,minute interval; not exact exchange fill
8,911325.0,912021.0,1.0,0.47500000000000003,2946.9500000000003,2845.85,0.6999006250000002,0.675889375,-0.037642826197399504,-48.02250000000018,-49.360647173802775,9897.329785833495,1.0,9946.6904330073,0.1407303524149974,1632558120.0,2021-09-24 20:45:00+00:00,2021-09-24 20:45:00+00:00,2021-09-25 08:21:00+00:00,2021-09-25 08:22:00+00:00,2846.42444550779,3483.2178187344575,2021-09-29 00:00:00+00:00,5.3346417380469475,-1.0337386594858384,stop,minute interval; not exact exchange fill
9,913435.0,920160.0,1.0,0.466,2761.08,2998.85,0.64333164,0.69873205,0.714410039282119,110.80082,108.74434627071788,10006.074132104215,4.0,9897.329785833495,0.1300010515807668,1633046400.0,2021-09-26 07:55:00+00:00,2021-09-26 07:55:00+00:00,2021-10-01 00:00:00+00:00,2021-10-01 00:00:00+00:00,2658.8048407547117,3256.6953067275,2021-10-01 00:00:00+00:00,4.845901100372353,2.2816583026432813,timeout,minute interval; not exact exchange fill
10,921290.0,922497.0,-1.0,0.528,3285.7400000000002,3376.41,0.8674353600000001,0.89137224,-0.34783003200000007,-47.8737599999998,-49.284737567999805,9956.789394536216,1.0,10006.074132104215,0.17338175762996946,1633186680.0,2021-10-01 18:50:00+00:00,2021-10-01 18:50:00+00:00,2021-10-02 14:57:00+00:00,2021-10-02 14:58:00+00:00,3375.7307610166263,2688.8485114896175,2021-10-06 00:00:00+00:00,6.63280854353599,-1.0372432119198811,stop,minute interval; not exact exchange fill
11,958095.0,964800.0,1.0,0.278,4039.4900000000002,4288.01,0.5614891100000001,0.5960333900000001,3.6739583629542696,69.08856,64.25707913704574,10021.046473673261,4.0,9956.789394536216,0.11278517356370257,1635724800.0,2021-10-27 08:15:00+00:00,2021-10-27 08:15:00+00:00,2021-11-01 00:00:00+00:00,2021-11-01 00:00:00+00:00,3866.659069458936,4666.0585513117985,2021-11-01 00:00:00+00:00,3.625326493066161,1.337379667585008,timeout,minute interval; not exact exchange fill
12,979050.0,984960.0,1.0,0.294,4581.0,4628.82,0.673407,0.68043654,2.1335434056390037,14.059079999999915,10.57169305436091,10031.618166727623,4.0,10021.046473673261,0.13439853846983696,1636934400.0,2021-11-10 21:30:00+00:00,2021-11-10 21:30:00+00:00,2021-11-15 00:00:00+00:00,2021-11-15 00:00:00+00:00,4417.026726778482,5335.167791695051,2021-11-15 00:00:00+00:00,4.599333640648962,0.21929268675454264,timeout,minute interval; not exact exchange fill
13,987035.0,987959.0,1.0,0.5670000000000001,4211.9,4128.55,1.19407365,1.1704439250000003,0.48165891039428405,-47.259449999999696,-50.105626485393984,9981.512540242229,1.0,10031.618166727623,0.23806202153117126,1637114400.0,2021-11-16 10:35:00+00:00,2021-11-16 10:35:00+00:00,2021-11-17 01:59:00+00:00,2021-11-17 02:00:00+00:00,4129.376454386252,5096.44366328391,2021-11-21 00:00:00+00:00,10.718682246446644,-1.0708423996718044,stop,minute interval; not exact exchange fill
14,1012065.0,1012099.0,1.0,0.28400000000000003,4242.06,4072.06,0.6023725200000002,0.57823252,0.0,-48.280000000000136,-49.46060504000014,9932.05193520223,1.0,9981.512540242229,0.12069764328230397,1638562800.0,2021-12-03 19:45:00+00:00,2021-12-03 19:45:00+00:00,2021-12-03 20:19:00+00:00,2021-12-03 20:20:00+00:00,4072.8813790526738,4924.790489122302,2021-12-08 00:00:00+00:00,4.035560080223539,-1.029427116882717,stop,minute interval; not exact exchange fill
15,1012130.0,1012552.0,1.0,0.404,4189.79,4072.06,0.84633758,0.8225561200000001,0.17033615449435202,-47.56292000000001,-49.40214985449436,9882.649785347734,1.0,9932.05193520223,0.17042552445790599,1638589980.0,2021-12-03 20:50:00+00:00,2021-12-03 20:50:00+00:00,2021-12-04 03:52:00+00:00,2021-12-04 03:53:00+00:00,4072.8813790526738,4924.790489122302,2021-12-08 00:00:00+00:00,6.28696569308999,-1.0459669111988164,stop,minute interval; not exact exchange fill
16,1013180.0,1019520.0,1.0,0.424,3967.63,4434.81,0.8411375600000001,0.9401797200000002,2.464617033024416,198.0843200000001,193.8383856869757,10076.488171034707,4.0,9882.649785347734,0.17022510728794454,1639008000.0,2021-12-04 14:20:00+00:00,2021-12-04 14:20:00+00:00,2021-12-09 00:00:00+00:00,2021-12-09 00:00:00+00:00,3856.8487358412285,4648.578245022713,2021-12-09 00:00:00+00:00,6.146781680039135,4.1267447835177835,timeout,minute interval; not exact exchange fill
17,1026240.0,1026451.0,1.0,0.433,3807.05,3695.4300000000003,0.8242263250000001,0.800060595,0.06862722509263913,-48.33145999999995,-50.02437414509259,10026.463796889615,1.0,10076.488171034707,0.16359396468489362,1639423920.0,2021-12-13 16:00:00+00:00,2021-12-13 16:00:00+00:00,2021-12-13 19:31:00+00:00,2021-12-13 19:32:00+00:00,3696.175001084472,4582.574801924297,2021-12-18 00:00:00+00:00,6.994586782500385,-1.0419818134539207,stop,minute interval; not exact exchange fill
18,1026635.0,1027109.0,1.0,0.423,3809.15,3695.4300000000003,0.805635225,0.781583445,-0.0842335477398,-48.103559999999916,-49.60654512226012,9976.857251767353,1.0,10026.463796889615,0.16070176710754636,1639463400.0,2021-12-13 22:35:00+00:00,2021-12-13 22:35:00+00:00,2021-12-14 06:29:00+00:00,2021-12-14 06:30:00+00:00,3696.175001084472,4582.574801924297,2021-12-18 00:00:00+00:00,6.845981937141608,-1.0380452086136827,stop,minute interval; not exact exchange fill
19,1048045.0,1049128.0,1.0,0.535,3789.56,3700.9500000000003,1.0137073,0.9900041250000001,0.366654799376,-47.406349999999826,-49.776716224375825,9927.080535542977,1.0,9976.857251767353,0.20321174783179877,1640784540.0,2021-12-28 19:25:00+00:00,2021-12-28 19:25:00+00:00,2021-12-29 13:28:00+00:00,2021-12-29 13:29:00+00:00,3701.691179777133,4440.228958295104,2022-01-02 00:00:00+00:00,7.405003921126683,-1.0588578614987134,stop,minute interval; not exact exchange fill
20,1059615.0,1059691.0,1.0,0.8260000000000001,3628.91,3573.2200000000003,1.49873983,1.4757398600000002,0.0,-45.999939999999675,-48.97441968999967,9878.106115852977,1.0,9927.080535542977,0.3019497675341513,1641418320.0,2022-01-05 20:15:00+00:00,2022-01-05 20:15:00+00:00,2022-01-05 21:31:00+00:00,2022-01-05 21:32:00+00:00,3573.9430124173746,4130.640929138709,2022-01-10 00:00:00+00:00,9.127859306179317,-1.0786668072517973,stop,minute interval; not exact exchange fill
21,1061570.0,1061683.0,1.0,0.833,3209.9700000000003,3154.6,1.336952505,1.3138908999999999,0.0,-46.123210000000284,-48.77405340500028,9829.332062447977,1.0,9878.106115852977,0.27069004712439326,1641537840.0,2022-01-07 04:50:00+00:00,2022-01-07 04:50:00+00:00,2022-01-07 06:43:00+00:00,2022-01-07 06:44:00+00:00,3155.238984254353,3661.0364376092375,2022-01-12 00:00:00+00:00,8.241514093315734,-1.0698190815992117,stop,minute interval; not exact exchange fill
22,1061765.0,1062098.0,1.0,0.761,3215.29,3154.6,1.223417845,1.2003253,0.0,-46.185090000000045,-48.60883314500005,9780.723229302977,1.0,9829.332062447977,0.2489320407993847,1641562740.0,2022-01-07 08:05:00+00:00,2022-01-07 08:05:00+00:00,2022-01-07 13:38:00+00:00,2022-01-07 13:39:00+00:00,3155.238984254353,3661.0364376092375,2022-01-12 00:00:00+00:00,7.422795968968256,-1.0636780112188242,stop,minute interval; not exact exchange fill
23,1062140.0,1062217.0,1.0,0.802,3211.66,3154.6,1.2878756599999999,1.2649946,0.0,-45.76211999999996,-48.31499025999996,9732.408239042978,1.0,9780.723229302977,0.26334978095311673,1641569880.0,2022-01-07 14:20:00+00:00,2022-01-07 14:20:00+00:00,2022-01-07 15:37:00+00:00,2022-01-07 15:38:00+00:00,3155.238984254353,3661.0364376092375,2022-01-12 00:00:00+00:00,7.964699530314804,-1.0677427409599232,stop,minute interval; not exact exchange fill
24,1063815.0,1066458.0,1.0,0.854,3033.76,2980.4900000000002,1.29541552,1.27266923,-0.34976929329172773,-45.49257999999998,-47.71089545670825,9684.69734358627,1.0,9732.408239042978,0.26620657255277297,1641824340.0,2022-01-08 18:15:00+00:00,2022-01-08 18:15:00+00:00,2022-01-10 14:18:00+00:00,2022-01-10 14:19:00+00:00,2981.0872211866317,3445.921253336835,2022-01-13 00:00:00+00:00,7.824938471486663,-1.0606533458344372,stop,minute interval; not exact exchange fill
