trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
1,876965.0,877011.0,-1.0,0.34900000000000003,3424.04,3395.51,1.1949899600000002,1.1850329900000003,0.0,9.956969999999911,7.5769470499999105,10007.57694705,2.0,10000.0,0.11949899600000001,1630457520.0,2021-09-01 00:05:00+00:00,2021-09-01 00:05:00+00:00,2021-09-01 00:51:00+00:00,2021-09-01 00:52:00+00:00,3987.4476571983428,3394.1509709580187,2021-09-06 00:00:00+00:00,0.05305044874720105,0.038534176315528426,target,minute interval; not exact exchange fill
2,878405.0,878463.0,-1.0,0.23700000000000002,3807.59,3772.79,0.9023988300000001,0.8941512300000001,0.0,8.247600000000043,6.4510499400000425,10014.02799699,2.0,10007.57694705,0.09017156048607812,1630544640.0,2021-09-02 00:05:00+00:00,2021-09-02 00:05:00+00:00,2021-09-02 01:03:00+00:00,2021-09-02 01:04:00+00:00,4639.875384972351,3771.281451880153,2021-09-07 00:00:00+00:00,0.04362511798888969,0.032704671368108236,target,minute interval; not exact exchange fill
3,879845.0,879880.0,-1.0,0.305,3797.0,3763.2000000000003,1.158085,1.1477760000000001,0.0,10.308999999999916,8.003138999999916,10022.03113599,2.0,10014.02799699,0.11564627144522617,1630629660.0,2021-09-03 00:05:00+00:00,2021-09-03 00:05:00+00:00,2021-09-03 00:40:00+00:00,2021-09-03 00:41:00+00:00,4441.983135783613,3761.6914253358896,2021-09-08 00:00:00+00:00,0.05474340754849784,0.04068292416377687,target,minute interval; not exact exchange fill
4,881285.0,881292.0,-1.0,0.271,3940.63,3921.62,1.0679107300000001,1.0627590199999999,0.0,5.151710000000059,3.021040250000059,10025.05217624,2.0,10022.03113599,0.10655631732823481,1630714380.0,2021-09-04 00:05:00+00:00,2021-09-04 00:05:00+00:00,2021-09-04 00:12:00+00:00,2021-09-04 00:13:00+00:00,4667.643581380229,3920.051223243034,2021-09-09 00:00:00+00:00,0.028305904159173036,0.015333620011384535,target,minute interval; not exact exchange fill
5,882725.0,882927.0,-1.0,0.268,3889.07,3853.77,1.04227076,1.03281036,0.0,9.46040000000005,7.385318880000049,10032.43749512,2.0,10025.05217624,0.10396661699878698,1630812480.0,2021-09-05 00:05:00+00:00,2021-09-05 00:05:00+00:00,2021-09-05 03:27:00+00:00,2021-09-05 03:28:00+00:00,4624.610970005726,3852.2278985945504,2021-09-10 00:00:00+00:00,0.050088442259257085,0.037465159826223775,target,minute interval; not exact exchange fill
6,884165.0,884183.0,-1.0,0.268,3953.1,3944.9500000000003,1.0594308000000001,1.0572466000000003,0.0,2.1841999999999024,0.06752259999990207,10032.505017720001,2.0,10032.43749512,0.1056005383054049,1630887840.0,2021-09-06 00:05:00+00:00,2021-09-06 00:05:00+00:00,2021-09-06 00:23:00+00:00,2021-09-06 00:24:00+00:00,4689.806871649967,3943.37082960636,2021-09-11 00:00:00+00:00,0.013206297875096334,0.0003419949096380139,target,minute interval; not exact exchange fill
7,885605.0,886030.0,-1.0,0.275,3929.16,3892.34,1.080519,1.0703935000000002,0.0,10.12549999999992,7.97458749999992,10040.479605220002,2.0,10032.505017720001,0.10770181505930211,1630998660.0,2021-09-07 00:05:00+00:00,2021-09-07 00:05:00+00:00,2021-09-07 07:10:00+00:00,2021-09-07 07:11:00+00:00,4647.542564880243,3890.7794580410664,2021-09-12 00:00:00+00:00,0.05342632719006987,0.040366374989674006,target,minute interval; not exact exchange fill
8,887045.0,887047.0,-1.0,0.254,3409.37,3390.32,0.86597998,0.8611412800000001,0.0,4.838699999999931,3.111578739999931,10043.591183960001,2.0,10040.479605220002,0.0862488659953834,1631059680.0,2021-09-08 00:05:00+00:00,2021-09-08 00:05:00+00:00,2021-09-08 00:07:00+00:00,2021-09-08 00:08:00+00:00,4188.555198768199,3388.9636544905475,2021-09-13 00:00:00+00:00,0.02618933925042784,0.01572194905571363,target,minute interval; not exact exchange fill
9,888485.0,888664.0,-1.0,0.249,3513.2200000000003,3439.62,0.87479178,0.85646538,0.0,18.326400000000092,16.595142840000094,10060.186326800002,2.0,10043.591183960001,0.08709950096306945,1631156700.0,2021-09-09 00:05:00+00:00,2021-09-09 00:05:00+00:00,2021-09-09 03:04:00+00:00,2021-09-09 03:05:00+00:00,4308.633454507952,3438.236041383697,2021-09-14 00:00:00+00:00,0.09427041771966134,0.08378932946417005,target,minute interval; not exact exchange fill
10,889925.0,890356.0,-1.0,0.28600000000000003,3439.0,3398.77,0.9835540000000002,0.9720482200000001,0.0,11.505780000000007,9.550177780000007,10069.736504580002,2.0,10060.186326800002,0.09776697648033068,1631258220.0,2021-09-10 00:05:00+00:00,2021-09-10 00:05:00+00:00,2021-09-10 07:16:00+00:00,2021-09-10 07:17:00+00:00,4132.1082944170585,3397.407240623653,2021-09-15 00:00:00+00:00,0.06000903424670305,0.04817750742412438,target,minute interval; not exact exchange fill
