origin_utc,open,high,low,close,volume,iv_daily_sigma,iv_available_ms
2020-01-01 00:00:00+00:00,129.12,132.96,128.62,130.62,466063.929,,
2020-01-02 00:00:00+00:00,130.63,130.75,126.25,127.11,523582.92400000006,,
2020-01-03 00:00:00+00:00,127.11,135.07,125.78,134.29,951123.5970000001,,
2020-01-04 00:00:00+00:00,134.31,135.8,132.41,134.14,509778.108,,
2020-01-05 00:00:00+00:00,134.14,138.17,134.12,135.33,669677.687,,
2020-01-06 00:00:00+00:00,135.32,144.38,134.82,144.04,1095147.166,,
2020-01-07 00:00:00+00:00,144.11,145.25,138.7,142.86,963331.505,,
2020-01-08 00:00:00+00:00,142.86,147.94,137.15,140.75,1208133.7659999998,,
2020-01-09 00:00:00+00:00,140.76,141.52,135.33,137.73,956864.213,,
2020-01-10 00:00:00+00:00,137.73,145.15,135.22,144.8,908378.2490000001,,
2020-01-11 00:00:00+00:00,144.8,148.03,142.0,142.4,832163.204,,
2020-01-12 00:00:00+00:00,142.4,146.6,141.71,146.57,630256.9110000001,,
2020-01-13 00:00:00+00:00,146.57,147.0,142.32,143.58,558655.672,,
2020-01-14 00:00:00+00:00,143.57,171.0,143.49,165.77,2169559.414,,
2020-01-15 00:00:00+00:00,165.75,172.18,159.35,166.6,1391999.279,,
2020-01-16 00:00:00+00:00,166.61,167.63,158.43,164.37,784199.474,,
2020-01-17 00:00:00+00:00,164.39,174.79,162.27,170.06,946707.348,,
2020-01-18 00:00:00+00:00,170.06,179.57,165.08,174.43,819444.3570000001,,
2020-01-19 00:00:00+00:00,174.37,178.42,161.81,167.04,742371.819,,
2020-01-20 00:00:00+00:00,167.04,169.48,161.5,167.03,390055.86899999995,,
2020-01-21 00:00:00+00:00,167.01,170.34,165.02,169.52,351565.999,,
2020-01-22 00:00:00+00:00,169.62,171.61,166.12,168.19,334378.174,,
2020-01-23 00:00:00+00:00,168.24,168.38,159.41,162.97,481102.22,,
2020-01-24 00:00:00+00:00,162.97,164.65,155.72,162.63,472568.424,,
2020-01-25 00:00:00+00:00,162.66,163.0,157.8,160.52,282785.555,,
2020-01-26 00:00:00+00:00,160.5,168.16,159.5,167.9,326188.863,,
2020-01-27 00:00:00+00:00,167.98,172.26,165.28,170.21,418039.792,,
2020-01-28 00:00:00+00:00,170.25,176.7,170.22,175.88,525282.459,,
2020-01-29 00:00:00+00:00,175.89,178.85,173.3,173.8,401619.605,,
2020-01-30 00:00:00+00:00,173.86,187.4,171.07,185.14,653770.608,,
2020-01-31 00:00:00+00:00,185.16,186.34,175.5,180.14,672522.049,,
2020-02-01 00:00:00+00:00,180.14,184.58,179.41,183.82,526688.0190000001,,
2020-02-02 00:00:00+00:00,183.8,193.7,179.0,188.59,907342.798,,
2020-02-03 00:00:00+00:00,188.64,195.45,186.65,189.92,652054.5380000001,,
2020-02-04 00:00:00+00:00,189.89,191.76,184.71,189.01,614290.379,,
2020-02-05 00:00:00+00:00,189.0,208.18,188.26,204.1,902811.6150000001,,
2020-02-06 00:00:00+00:00,204.1,216.7,201.28,213.27,1254989.3169999998,,
2020-02-07 00:00:00+00:00,213.3,225.36,213.3,223.57,1054174.736,,
2020-02-08 00:00:00+00:00,223.57,228.02,213.35,223.57,1090545.108,,
2020-02-09 00:00:00+00:00,223.57,230.9,223.5,228.64,969021.7869999999,,
2020-02-10 00:00:00+00:00,228.71,229.96,217.32,223.03,1175671.024,,
2020-02-11 00:00:00+00:00,223.04,239.98,218.64,237.16,1194286.448,,
2020-02-12 00:00:00+00:00,237.17,277.97,237.17,266.24,2223807.477,,
2020-02-13 00:00:00+00:00,266.26,278.8,256.2,268.48,2386998.02,,
2020-02-14 00:00:00+00:00,268.48,287.58,260.53,285.4,1447161.1750000003,,
2020-02-15 00:00:00+00:00,285.4,289.0,262.41,265.08,1925220.413,,
2020-02-16 00:00:00+00:00,265.16,274.3,237.86,258.87,2297491.4009999996,,
2020-02-17 00:00:00+00:00,258.87,268.81,242.32,268.0,2129022.892,,
2020-02-18 00:00:00+00:00,267.99,286.48,258.78,282.96,1885124.3830000001,,
2020-02-19 00:00:00+00:00,282.96,286.7,250.0,258.43,1677778.697,,
2020-02-20 00:00:00+00:00,258.39,264.32,245.91,257.11,1618473.989,,
2020-02-21 00:00:00+00:00,257.18,268.5,253.89,265.44,985301.2949999999,,
2020-02-22 00:00:00+00:00,265.45,267.16,256.23,261.83,752957.4180000001,,
2020-02-23 00:00:00+00:00,261.82,275.84,261.5,274.67,940831.98,,
2020-02-24 00:00:00+00:00,274.66,277.26,257.5,265.7,1483265.023,,
2020-02-25 00:00:00+00:00,265.69,266.4,244.57,247.03,1563901.6570000001,,
2020-02-26 00:00:00+00:00,247.03,250.54,215.75,224.1,2729291.802,,
2020-02-27 00:00:00+00:00,224.13,238.58,210.01,227.92,2374539.334,,
2020-02-28 00:00:00+00:00,227.93,234.93,214.25,227.09,2026863.1860000002,,
2020-02-29 00:00:00+00:00,227.04,233.33,217.14,217.31,1309444.25,,
2020-03-01 00:00:00+00:00,217.37,228.0,212.33,218.01,1775078.523,,
2020-03-02 00:00:00+00:00,218.01,234.5,216.24,232.22,1604040.3960000002,,
2020-03-03 00:00:00+00:00,232.24,232.67,220.21,224.1,1544830.6509999998,,
2020-03-04 00:00:00+00:00,224.1,229.0,220.45,224.47,1027175.5119999999,,
2020-03-05 00:00:00+00:00,224.43,234.26,224.43,228.64,1142530.928,,
2020-03-06 00:00:00+00:00,228.63,245.38,227.6,244.94,1307956.3399999999,,
2020-03-07 00:00:00+00:00,244.97,251.8,236.3,237.34,1637057.9530000002,,
2020-03-08 00:00:00+00:00,237.36,237.38,195.35,199.54,3150036.792,,
2020-03-09 00:00:00+00:00,199.54,208.65,190.02,203.02,3885205.704,,
2020-03-10 00:00:00+00:00,202.95,206.32,195.66,200.95,2008333.356,,
2020-03-11 00:00:00+00:00,200.9,203.26,181.88,194.81,2125322.09,,
