trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
1,832325.0,832363.0,-1.0,215.0,1.1837,1.1749,0.12724775,0.12630175000000002,0.0,1.8919999999999826,1.6384504999999825,10001.638450499999,2.0,10000.0,0.025449549999999998,1630457040.0,2021-09-01 00:05:00+00:00,2021-09-01 00:05:00+00:00,2021-09-01 00:43:00+00:00,2021-09-01 00:44:00+00:00,1.6461585095436277,1.1746182582960065,2021-09-06 00:00:00+00:00,0.019637959982519666,0.016478667475532723,target,minute interval; not exact exchange fill
2,833765.0,835243.0,-1.0,176.0,1.2297,1.2212,0.10821360000000001,0.10746560000000001,-0.5629583156075648,1.4959999999999916,1.8432791156075563,10003.481729615605,2.0,10001.638450499999,0.021639174528367444,1630629840.0,2021-09-02 00:05:00+00:00,2021-09-02 00:05:00+00:00,2021-09-03 00:43:00+00:00,2021-09-03 00:44:00+00:00,1.7932174748132708,1.220891133775087,2021-09-07 00:00:00+00:00,0.015631930895899898,0.018585362941398016,target,minute interval; not exact exchange fill
3,836645.0,836715.0,-1.0,183.0,1.2932000000000001,1.2802,0.11832780000000001,0.1171383,0.0,2.3790000000000227,2.1435339000000226,10005.625263515605,2.0,10003.481729615605,0.023657323159732884,1630718160.0,2021-09-04 00:05:00+00:00,2021-09-04 00:05:00+00:00,2021-09-04 01:15:00+00:00,2021-09-04 01:16:00+00:00,1.8371571797667383,1.2799191033321011,2021-09-09 00:00:00+00:00,0.024415334812924367,0.021533496450994664,target,minute interval; not exact exchange fill
4,838085.0,841829.0,-1.0,302.0,1.2568000000000001,1.2347000000000001,0.18977680000000002,0.1864397,-1.5550497324898604,6.674200000000003,7.853033232489863,10013.478296748095,2.0,10005.625263515605,0.037934021113503004,1631025000.0,2021-09-05 00:05:00+00:00,2021-09-05 00:05:00+00:00,2021-09-07 14:29:00+00:00,2021-09-07 14:30:00+00:00,1.5853660824126936,1.234403712301043,2021-09-10 00:00:00+00:00,0.06816372382231,0.07914213514885528,target,minute interval; not exact exchange fill
5,843845.0,843937.0,-1.0,213.0,1.1089,1.0868,0.11809784999999999,0.11574419999999999,0.0,4.707300000000002,4.473457950000002,10017.951754698095,2.0,10013.478296748095,0.02358777769326221,1631151480.0,2021-09-09 00:05:00+00:00,2021-09-09 00:05:00+00:00,2021-09-09 01:37:00+00:00,2021-09-09 01:38:00+00:00,1.5751723904857007,1.0865008572866317,2021-09-14 00:00:00+00:00,0.04803874981753871,0.04504266267647277,target,minute interval; not exact exchange fill
6,845285.0,845793.0,-1.0,206.0,1.0941,1.0734000000000001,0.11269230000000001,0.11056020000000001,-0.022628231710000002,4.264199999999988,4.063575731709988,10022.015330429807,2.0,10017.951754698095,0.022498072013004248,1631262840.0,2021-09-10 00:05:00+00:00,2021-09-10 00:05:00+00:00,2021-09-10 08:33:00+00:00,2021-09-10 08:34:00+00:00,1.5771453004388611,1.0731261403878607,2021-09-15 00:00:00+00:00,0.0434200676273716,0.04083694793651484,target,minute interval; not exact exchange fill
7,846725.0,850050.0,-1.0,178.0,1.0546,1.0439,0.0938594,0.0929071,-0.116729565884,1.9045999999999879,1.834563065883988,10023.849893495692,2.0,10022.015330429807,0.018730643868606955,1631518260.0,2021-09-11 00:05:00+00:00,2021-09-11 00:05:00+00:00,2021-09-13 07:30:00+00:00,2021-09-13 07:31:00+00:00,1.6130453946640728,1.043622635521037,2021-09-16 00:00:00+00:00,0.019657006009632057,0.018455759822676526,target,minute interval; not exact exchange fill
8,851045.0,856088.0,-1.0,242.0,1.0632000000000001,1.0517,0.12864720000000002,0.1272557,-0.3058689364326002,2.783000000000016,2.832966036432616,10026.682859532124,2.0,10023.849893495692,0.02566822156494523,1631880540.0,2021-09-14 00:05:00+00:00,2021-09-14 00:05:00+00:00,2021-09-17 12:08:00+00:00,2021-09-17 12:09:00+00:00,1.4752939076914395,1.051455622005512,2021-09-19 00:00:00+00:00,0.028499275954552292,0.02840729019875134,target,minute interval; not exact exchange fill
9,856805.0,858948.0,-1.0,210.0,1.0631000000000002,1.0570000000000002,0.11162550000000002,0.11098500000000001,-0.09351656538,1.2809999999999988,1.1519060653799988,10027.834765597505,2.0,10026.682859532124,0.022265688775402,1632052140.0,2021-09-18 00:05:00+00:00,2021-09-18 00:05:00+00:00,2021-09-19 11:48:00+00:00,2021-09-19 11:49:00+00:00,1.5374645275224423,1.056765348259347,2021-09-23 00:00:00+00:00,0.013353974365955033,0.011563400422558972,target,minute interval; not exact exchange fill
10,859685.0,859692.0,-1.0,282.0,1.0438,1.0386,0.14717580000000002,0.1464426,0.0,1.4664000000000263,1.1727816000000262,10029.007547197505,2.0,10027.834765597505,0.029353455345099234,1632096780.0,2021-09-20 00:05:00+00:00,2021-09-20 00:05:00+00:00,2021-09-20 00:12:00+00:00,2021-09-20 00:13:00+00:00,1.3968923948866194,1.0383035744454348,2021-09-25 00:00:00+00:00,0.015566536221575243,0.011778220262533593,target,minute interval; not exact exchange fill
11,861125.0,861125.0,-1.0,300.0,0.9142,0.912,0.13713,0.1368,0.0,0.6599999999999939,0.3860699999999939,10029.393617197506,2.0,10029.007547197505,0.027346674006306727,1632182760.0,2021-09-21 00:05:00+00:00,2021-09-21 00:05:00+00:00,2021-09-21 00:05:00+00:00,2021-09-21 00:06:00+00:00,1.246302603541796,0.9117837792728185,2021-09-26 00:00:00+00:00,0.007275524796894341,0.003875007260634199,target,minute interval; not exact exchange fill
12,862565.0,869760.0,-1.0,366.0,0.8816,0.9436,0.16133280000000003,0.1726788,-0.5226732679080001,-22.69199999999998,-22.503338332091978,10006.890278865412,4.0,10029.393617197506,0.03217199486983161,1632700800.0,2021-09-22 00:05:00+00:00,2021-09-22 00:05:00+00:00,2021-09-27 00:00:00+00:00,2021-09-27 00:00:00+00:00,1.153991086693018,0.8659136307959875,2021-09-27 00:00:00+00:00,0.057587674378240354,-0.2257215230808649,timeout,minute interval; not exact exchange fill
