trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
1,832325.0,832332.0,-1.0,301.0,1.1837,1.1799,0.17814685,0.17757495,0.0,1.1438000000000077,0.7880782000000077,10000.788078200001,2.0,10000.0,0.03562937,1630455180.0,2021-09-01 00:05:00+00:00,2021-09-01 00:05:00+00:00,2021-09-01 00:12:00+00:00,2021-09-01 00:13:00+00:00,1.3476500597504635,1.17963162812594,2021-09-02 00:00:00+00:00,0.024814701990667917,0.01596949707725022,target,minute interval; not exact exchange fill
2,833765.0,833765.0,-1.0,286.0,1.2297,1.2295,0.1758471,0.17581850000000002,0.0,0.0571999999999937,-0.2944656000000063,10000.493612600001,2.0,10000.788078200001,0.03516664859308767,1630541160.0,2021-09-02 00:05:00+00:00,2021-09-02 00:05:00+00:00,2021-09-02 00:05:00+00:00,2021-09-02 00:06:00+00:00,1.4022610673700417,1.2291989802340442,2021-09-03 00:00:00+00:00,0.0029034345556141804,-0.0059665833996734455,target,minute interval; not exact exchange fill
3,835205.0,835231.0,-1.0,322.0,1.2570000000000001,1.2471,0.202377,0.20078310000000002,0.0,3.1878000000000064,2.7846399000000064,10003.278252500002,2.0,10000.493612600001,0.040473402181871815,1630629120.0,2021-09-03 00:05:00+00:00,2021-09-03 00:05:00+00:00,2021-09-03 00:31:00+00:00,2021-09-03 00:32:00+00:00,1.410322500295489,1.2467984284020834,2021-09-04 00:00:00+00:00,0.06653668951560167,0.05640365884546216,target,minute interval; not exact exchange fill
4,836645.0,836652.0,-1.0,365.0,1.2932000000000001,1.2859,0.23600900000000002,0.23467675,0.0,2.6645000000000305,2.19381425000003,10005.472066750002,2.0,10003.278252500002,0.04718633112920098,1630714380.0,2021-09-04 00:05:00+00:00,2021-09-04 00:05:00+00:00,2021-09-04 00:12:00+00:00,2021-09-04 00:13:00+00:00,1.427871872311146,1.2856030965585585,2021-09-05 00:00:00+00:00,0.05641046872720165,0.04463032923544372,target,minute interval; not exact exchange fill
5,838085.0,838091.0,-1.0,374.0,1.2568000000000001,1.2495,0.23502160000000005,0.23365650000000002,0.0,2.7302000000000315,2.2615219000000315,10007.733588650002,2.0,10005.472066750002,0.04697861298938996,1630800720.0,2021-09-05 00:05:00+00:00,2021-09-05 00:05:00+00:00,2021-09-05 00:11:00+00:00,2021-09-05 00:12:00+00:00,1.3884003006578463,1.249247400819706,2021-09-06 00:00:00+00:00,0.057390440162674194,0.04594860323094229,target,minute interval; not exact exchange fill
6,839525.0,840960.0,-1.0,384.0,1.3135000000000001,1.3909,0.252192,0.2670528,-1.011909229340659,-29.721599999999967,-29.228935570659306,9978.50465307934,4.0,10007.733588650002,0.05039942315930885,1630972800.0,2021-09-06 00:05:00+00:00,2021-09-06 00:05:00+00:00,2021-09-07 00:00:00+00:00,2021-09-07 00:00:00+00:00,1.4414669363007493,1.3026493358554256,2021-09-07 00:00:00+00:00,0.08479271644882655,-0.594817864017371,timeout,minute interval; not exact exchange fill
7,843845.0,843919.0,-1.0,370.0,1.1089,1.0958,0.2051465,0.20272300000000001,0.0,4.846999999999959,4.439130499999959,9982.94378357934,2.0,9978.50465307934,0.041117683887974606,1631150400.0,2021-09-09 00:05:00+00:00,2021-09-09 00:05:00+00:00,2021-09-09 01:19:00+00:00,2021-09-09 01:20:00+00:00,1.2419523042453668,1.0954958083983382,2021-09-10 00:00:00+00:00,0.10074377649967382,0.09017243307469944,target,minute interval; not exact exchange fill
8,845285.0,845380.0,-1.0,369.0,1.0941,1.2276,0.20186145000000003,0.2264922,0.0,-49.261499999999984,-49.68985364999999,9933.25392992934,1.0,9982.94378357934,0.04044126750108243,1631238060.0,2021-09-10 00:05:00+00:00,2021-09-10 00:05:00+00:00,2021-09-10 01:40:00+00:00,2021-09-10 01:41:00+00:00,1.2272806814933892,1.0831698531393328,2021-09-11 00:00:00+00:00,0.08207006255039957,-1.0111139880800528,stop,minute interval; not exact exchange fill
9,846725.0,846943.0,-1.0,360.0,1.0546,1.0514000000000001,0.189828,0.189252,0.0,1.151999999999953,0.7729199999999531,9934.02684992934,2.0,9933.25392992934,0.03822070820681221,1631331840.0,2021-09-11 00:05:00+00:00,2021-09-11 00:05:00+00:00,2021-09-11 03:43:00+00:00,2021-09-11 03:44:00+00:00,1.1906318645942169,1.0511168985561214,2021-09-12 00:00:00+00:00,0.025605040806201004,0.01578306675722171,target,minute interval; not exact exchange fill
10,848165.0,848185.0,-1.0,349.0,1.0776000000000001,1.0755000000000001,0.18804120000000005,0.18767475000000003,0.0,0.7328999999999968,0.35718404999999676,9934.38403397934,2.0,9934.02684992934,0.03785800115918502,1631406360.0,2021-09-12 00:05:00+00:00,2021-09-12 00:05:00+00:00,2021-09-12 00:25:00+00:00,2021-09-12 00:26:00+00:00,1.2181025049671537,1.075251430734214,2021-09-13 00:00:00+00:00,0.01671549746629163,0.0072842117671798896,target,minute interval; not exact exchange fill
11,849605.0,849633.0,-1.0,354.0,1.1255,1.1149,0.1992135,0.1973373,0.0,3.7523999999999798,3.3558491999999798,9937.73988317934,2.0,9934.38403397934,0.040105858464624417,1631493240.0,2021-09-13 00:05:00+00:00,2021-09-13 00:05:00+00:00,2021-09-13 00:33:00+00:00,2021-09-13 00:34:00+00:00,1.2638402956252726,1.1146652365546676,2021-09-14 00:00:00+00:00,0.0783196493571245,0.06852522583642745,target,minute interval; not exact exchange fill
