trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,initial_stop_price,absolute_target,target_R_at_fill,timestamp_precision
1,887580.0,889020.0,1.0,0.061,45997.3,46269.4,1.40291765,1.4112167,0.84442315457705,16.59809999999991,12.93954249542286,10012.939542495422,4.0,10000.0,0.28058353,1631178000.0,2021-09-08T09:00:00Z,2021-09-08T09:00:00Z,2021-09-09T09:00:00Z,2021-09-09T09:00:00Z,timeout,45247.94218660708,47486.41260779715,1.9871850018548203,"simulated minute open / intraminute exit interval, not exact tick"
2,890865.0,891218.0,1.0,0.063,45415.5,44686.700000000004,1.43058825,1.4076310500000002,0.31818883775855045,-45.91439999999972,-49.07080813775827,9963.868734357664,1.0,10012.939542495422,0.28574790528366045,1631309940.0,2021-09-10T15:45:00Z,2021-09-10T15:45:00Z,2021-09-10T21:38:00Z,2021-09-10T21:39:00Z,stop,44695.66250671268,46843.3929716602,1.9836323961667595,"simulated minute open / intraminute exit interval, not exact tick"
3,894405.0,894556.0,1.0,0.061,45099.100000000006,44349.4,1.3755225500000001,1.3526567,0.0,-45.73170000000027,-48.45987925000026,9915.408855107662,1.0,9963.868734357664,0.2761021018385938,1631510220.0,2021-09-13T02:45:00Z,2021-09-13T02:45:00Z,2021-09-13T05:16:00Z,2021-09-13T05:17:00Z,stop,44358.34390012285,46571.21326338933,1.9873116989970807,"simulated minute open / intraminute exit interval, not exact tick"
4,895500.0,896235.0,1.0,0.061,45209.100000000006,45855.4,1.3788775500000001,1.3985897,0.553285053510521,39.42429999999973,36.09354769648921,9951.502402804152,3.0,9915.408855107662,0.2781282285278045,1631610900.0,2021-09-13T21:00:00Z,2021-09-13T21:00:00Z,2021-09-14T09:15:00Z,2021-09-14T09:15:00Z,opposite,44466.537141872985,46684.83710839056,1.9873564806524673,"simulated minute open / intraminute exit interval, not exact tick"
5,896385.0,896489.0,-1.0,0.059000000000000004,45890.8,46677.100000000006,1.3537786,1.3769744500000003,0.0,-46.39170000000018,-49.122453050000175,9902.379949754151,1.0,9951.502402804152,0.272075219439937,1631626200.0,2021-09-14T11:45:00Z,2021-09-14T11:45:00Z,2021-09-14T13:29:00Z,2021-09-14T13:30:00Z,stop,46667.6934951497,44346.355599409304,1.9879744266530466,"simulated minute open / intraminute exit interval, not exact tick"
6,904290.0,904473.0,1.0,0.059000000000000004,47227.5,46446.600000000006,1.39321125,1.3701747000000002,0.27877143232622703,-46.07309999999966,-49.115257382325886,9853.264692371826,1.0,9902.379949754151,0.2813891725159646,1632105240.0,2021-09-19T23:30:00Z,2021-09-19T23:30:00Z,2021-09-20T02:33:00Z,2021-09-20T02:34:00Z,stop,46455.923847346,48760.89352781005,1.9873521525200202,"simulated minute open / intraminute exit interval, not exact tick"
7,909735.0,910647.0,-1.0,0.055,44486.5,42847.100000000006,1.2233787500000002,1.1782952500000001,0.40402358337973643,90.16699999999967,87.36130241661994,9940.625994788445,2.0,9853.264692371826,0.24831947343241723,1632475680.0,2021-09-23T18:15:00Z,2021-09-23T18:15:00Z,2021-09-24T09:27:00Z,2021-09-24T09:28:00Z,target,45316.44500642273,42838.460673743546,1.9857211182701304,"simulated minute open / intraminute exit interval, not exact tick"
8,918045.0,918790.0,-1.0,0.063,42021.5,42758.100000000006,1.32367725,1.3468801500000003,-0.4101447298977,-46.40580000000037,-48.66621267010267,9891.959782118342,1.0,9940.625994788445,0.2663166787874249,1632964260.0,2021-09-29T12:45:00Z,2021-09-29T12:45:00Z,2021-09-30T01:10:00Z,2021-09-30T01:11:00Z,stop,42749.452526564324,40573.790796641086,1.9887412304090568,"simulated minute open / intraminute exit interval, not exact tick"
9,925395.0,925552.0,1.0,0.053,47511.700000000004,49206.4,1.25906005,1.3039695999999998,0.253134173390975,89.81909999999985,87.00293617660887,9978.96271829495,2.0,9891.959782118342,0.2545623067081203,1633369980.0,2021-10-04T15:15:00Z,2021-10-04T15:15:00Z,2021-10-04T17:52:00Z,2021-10-04T17:53:00Z,target,46654.47879894745,49216.28923721637,1.9885056915570465,"simulated minute open / intraminute exit interval, not exact tick"
10,929565.0,931005.0,1.0,0.043000000000000003,54243.200000000004,54990.9,1.1662288,1.1823043500000001,2.0809506114822,32.15109999999988,27.72161623851768,10006.684334533467,4.0,9978.96271829495,0.23373748012143433,1633697100.0,2021-10-07T12:45:00Z,2021-10-07T12:45:00Z,2021-10-08T12:45:00Z,2021-10-08T12:45:00Z,timeout,53174.95719279695,56368.366688230264,1.9894041634546746,"simulated minute open / intraminute exit interval, not exact tick"
