trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,initial_stop_price,absolute_target,target_R_at_fill,timestamp_precision
1,887435.0,887448.0,1.0,0.246,45894.100000000006,45137.3,5.644974300000001,5.5518879000000005,0.0,-186.1728000000007,-197.3696622000007,9802.6303378,1.0,10000.0,1.1289948600000002,1631083740.0,2021-09-08T06:35:00Z,2021-09-08T06:35:00Z,2021-09-08T06:48:00Z,2021-09-08T06:49:00Z,stop,45146.42345325408,47380.17017513611,1.9875843124996386,"simulated minute open / intraminute exit interval, not exact tick"
2,887570.0,889010.0,1.0,0.199,45837.200000000004,46301.200000000004,4.560801400000001,4.6069694000000005,2.7547575042759505,92.336,80.41347169572404,9883.043809495723,4.0,9802.6303378,0.9305260410388135,1631177400.0,2021-09-08T08:50:00Z,2021-09-08T08:50:00Z,2021-09-09T08:50:00Z,2021-09-09T08:50:00Z,timeout,45090.450430698016,47321.189052057096,1.9872646909515155,"simulated minute open / intraminute exit interval, not exact tick"
3,890770.0,890792.0,1.0,0.25,45806.9,45071.8,5.725862500000001,5.633975,0.0,-183.77499999999964,-195.13483749999963,9687.908971995723,1.0,9883.043809495723,1.1587245003403783,1631284380.0,2021-09-10T14:10:00Z,2021-09-10T14:10:00Z,2021-09-10T14:32:00Z,2021-09-10T14:33:00Z,stop,45080.85880104231,47249.78995020192,1.9873389447779886,"simulated minute open / intraminute exit interval, not exact tick"
4,890865.0,891218.0,1.0,0.20400000000000001,45415.5,44686.700000000004,4.6323810000000005,4.558043400000001,1.0303257603610205,-148.6751999999991,-158.89595016036014,9529.013021835362,1.0,9687.908971995723,0.9563221564922948,1631309940.0,2021-09-10T15:45:00Z,2021-09-10T15:45:00Z,2021-09-10T21:38:00Z,2021-09-10T21:39:00Z,stop,44695.66250671268,46843.3929716602,1.9836323961667595,"simulated minute open / intraminute exit interval, not exact tick"
5,892365.0,893805.0,-1.0,0.233,45939.200000000004,46011.600000000006,5.351916800000001,5.360351400000002,-3.1794733750953323,-16.86920000000034,-24.40199482490501,9504.611027010458,4.0,9529.013021835362,1.1232887997395515,1631465100.0,2021-09-11T16:45:00Z,2021-09-11T16:45:00Z,2021-09-12T16:45:00Z,2021-09-12T16:45:00Z,timeout,46689.48363319697,44447.52254959811,1.9881513928883703,"simulated minute open / intraminute exit interval, not exact tick"
6,894395.0,894555.0,1.0,0.23600000000000002,45149.3,44398.8,5.327617400000001,5.239058400000001,0.0,-177.11800000000002,-187.68467580000004,9316.926351210457,1.0,9504.611027010458,1.121059533075017,1631510160.0,2021-09-13T02:35:00Z,2021-09-13T02:35:00Z,2021-09-13T05:15:00Z,2021-09-13T05:16:00Z,stop,44407.71936135791,46623.062340919205,1.9873258066955521,"simulated minute open / intraminute exit interval, not exact tick"
7,895055.0,895066.0,1.0,0.19,45396.9,46869.4,4.3127055,4.452593,0.0,279.775,271.0097015,9587.936052710456,2.0,9316.926351210457,0.9257785963800589,1631540820.0,2021-09-13T13:35:00Z,2021-09-13T13:35:00Z,2021-09-13T13:46:00Z,2021-09-13T13:47:00Z,target,44651.25251278821,46878.7857095571,1.9873810815058681,"simulated minute open / intraminute exit interval, not exact tick"
8,895495.0,896375.0,1.0,0.23900000000000002,44997.4,45984.200000000004,5.377189300000001,5.495111900000001,2.167788980147779,235.84520000000072,222.80510981985293,9810.741162530308,3.0,9587.936052710456,1.1216573140326482,1631619300.0,2021-09-13T20:55:00Z,2021-09-13T20:55:00Z,2021-09-14T11:35:00Z,2021-09-14T11:35:00Z,opposite,44258.31433025022,46466.255031146575,1.9873948193906381,"simulated minute open / intraminute exit interval, not exact tick"
9,903640.0,904473.0,1.0,0.234,47258.5,46477.100000000006,5.529244500000001,5.437820700000001,2.2208005242430024,-182.84759999999864,-196.03546572424165,9614.705696806068,1.0,9810.741162530308,1.127181811934368,1632105240.0,2021-09-19T12:40:00Z,2021-09-19T12:40:00Z,2021-09-20T02:33:00Z,2021-09-20T02:34:00Z,stop,46486.4173868996,48792.854814959464,1.9872935731554144,"simulated minute open / intraminute exit interval, not exact tick"
10,907275.0,907656.0,-1.0,0.23800000000000002,41750.4,42506.600000000006,4.9682976000000005,5.058285400000001,0.0,-179.97560000000107,-190.00218300000105,9424.703513806067,1.0,9614.705696806068,1.0334788721927144,1632296220.0,2021-09-22T01:15:00Z,2021-09-22T01:15:00Z,2021-09-22T07:36:00Z,2021-09-22T07:37:00Z,stop,42498.03336355522,40263.81094303059,1.9883931475452499,"simulated minute open / intraminute exit interval, not exact tick"
11,909725.0,910636.0,-1.0,0.21,44724.0,43072.600000000006,4.69602,4.522623,1.5426355001771754,346.7939999999988,336.0327214998216,9760.73623530589,2.0,9424.703513806067,0.9965342661699416,1632475020.0,2021-09-23T18:05:00Z,2021-09-23T18:05:00Z,2021-09-24T09:16:00Z,2021-09-24T09:17:00Z,target,45558.37583238174,43063.922152146915,1.9896044245605349,"simulated minute open / intraminute exit interval, not exact tick"
12,917600.0,918790.0,-1.0,0.248,41970.9,42706.600000000006,5.2043916,5.2956184,-2.0099207881486914,-182.45360000000107,-190.9436892118524,9569.79254609404,1.0,9760.73623530589,1.0663932462748082,1632964260.0,2021-09-29T05:20:00Z,2021-09-29T05:20:00Z,2021-09-30T01:10:00Z,2021-09-30T01:11:00Z,stop,42697.97596580747,40524.84738282182,1.9888604288717464,"simulated minute open / intraminute exit interval, not exact tick"
13,920655.0,920787.0,-1.0,0.226,44779.200000000004,45568.9,5.0600496,5.1492857,0.0,-178.47219999999936,-188.68153529999938,9381.11101079404,1.0,9569.79254609404,1.0575045541745385,1633084080.0,2021-10-01T08:15:00Z,2021-10-01T08:15:00Z,2021-10-01T10:27:00Z,2021-10-01T10:28:00Z,stop,45559.6994826991,43226.91624959766,1.9888337978576023,"simulated minute open / intraminute exit interval, not exact tick"
14,929555.0,930758.0,1.0,0.164,53978.700000000004,56082.200000000004,4.4262534,4.5987404000000005,7.936648843792576,344.974,328.0123573562074,9709.123368150247,2.0,9381.11101079404,0.9436522806109191,1633682340.0,2021-10-07T12:35:00Z,2021-10-07T12:35:00Z,2021-10-08T08:38:00Z,2021-10-08T08:39:00Z,target,52915.66614474863,56093.44878432691,1.9893522429977855,"simulated minute open / intraminute exit interval, not exact tick"
15,937005.0,937207.0,1.0,0.17300000000000001,55980.8,54926.8,4.8423392000000005,4.751168200000001,0.0,-182.342,-191.9355074,9517.187860750248,1.0,9709.123368150247,0.9974822682518963,1634069280.0,2021-10-12T16:45:00Z,2021-10-12T16:45:00Z,2021-10-12T20:07:00Z,2021-10-12T20:08:00Z,stop,54937.8148956108,58055.1424990272,1.988851509285912,"simulated minute open / intraminute exit interval, not exact tick"
16,937310.0,937799.0,1.0,0.139,56061.600000000006,55006.100000000006,3.896281200000001,3.8229239500000007,0.7786660460000001,-146.71450000000002,-155.21237119600002,9361.975489554246,1.0,9517.187860750248,0.8187883347493056,1634104800.0,2021-10-12T21:50:00Z,2021-10-12T21:50:00Z,2021-10-13T05:59:00Z,2021-10-13T06:00:00Z,stop,55017.10950096773,58138.911797823595,1.9888278541051654,"simulated minute open / intraminute exit interval, not exact tick"
