trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,initial_stop_price,absolute_target,target_R_at_fill,timestamp_precision
1,886490.0,886499.0,-1.0,0.15,48712.5,47545.8,3.6534375,3.565935,0.0,175.00499999999957,167.78562749999958,10167.785627500001,2.0,10000.0,0.7306875,1631026800.0,2021-09-07T14:50:00Z,2021-09-07T14:50:00Z,2021-09-07T14:59:00Z,2021-09-07T15:00:00Z,target,49307.670441152535,47536.207238635034,1.9763964740706854,"simulated minute open / intraminute exit interval, not exact tick"
2,904775.0,904839.0,-1.0,0.182,44615.9,45119.5,4.0600469,4.1058745,-0.81613925903874,-91.65519999999974,-99.004982140961,10068.78064535904,1.0,10167.785627500001,0.7986098544444356,1632127200.0,2021-09-20T07:35:00Z,2021-09-20T07:35:00Z,2021-09-20T08:39:00Z,2021-09-20T08:40:00Z,stop,45110.40039728863,43641.05822721754,1.9713670163412857,"simulated minute open / intraminute exit interval, not exact tick"
3,904930.0,904937.0,-1.0,0.18,44695.200000000004,45199.700000000004,4.022568000000001,4.067973,0.0,-90.81,-98.900541,9969.88010435904,1.0,10068.78064535904,0.7990179032957889,1632133080.0,2021-09-20T10:10:00Z,2021-09-20T10:10:00Z,2021-09-20T10:17:00Z,2021-09-20T10:18:00Z,stop,45190.57931896241,43713.22230238716,1.9822743098554099,"simulated minute open / intraminute exit interval, not exact tick"
4,904955.0,905009.0,-1.0,0.178,44679.5,43707.3,3.9764755000000003,3.8899497000000003,0.0,173.05159999999947,165.1851747999995,10135.065279159038,2.0,9969.88010435904,0.7976977573203518,1632137400.0,2021-09-20T10:35:00Z,2021-09-20T10:35:00Z,2021-09-20T11:29:00Z,2021-09-20T11:30:00Z,target,45174.7053079879,43698.46680246427,1.981063574463357,"simulated minute open / intraminute exit interval, not exact tick"
5,905785.0,905787.0,-1.0,0.198,40543.8,41006.8,4.013836200000001,4.059673200000001,0.0,-91.674,-99.74750940000001,10035.317769759038,1.0,10135.065279159038,0.7920691361019138,1632184080.0,2021-09-21T00:25:00Z,2021-09-21T00:25:00Z,2021-09-21T00:27:00Z,2021-09-21T00:28:00Z,stop,40998.578777265044,39642.20960878294,1.9824812332692052,"simulated minute open / intraminute exit interval, not exact tick"
6,907030.0,907038.0,-1.0,0.196,40460.9,39569.200000000004,3.9651682000000004,3.877781600000001,0.0,174.77319999999943,166.93025019999945,10202.248019959037,2.0,10035.317769759038,0.7902426791005761,1632259140.0,2021-09-21T21:10:00Z,2021-09-21T21:10:00Z,2021-09-21T21:18:00Z,2021-09-21T21:19:00Z,target,40914.74889006564,39561.18893450277,1.9824022602922258,"simulated minute open / intraminute exit interval, not exact tick"
7,907140.0,907151.0,-1.0,0.199,40511.200000000004,40973.9,4.030864400000001,4.07690305,0.0,-92.07729999999943,-100.18506744999942,10102.062952509039,1.0,10202.248019959037,0.7901914150909233,1632265920.0,2021-09-21T23:00:00Z,2021-09-21T23:00:00Z,2021-09-21T23:11:00Z,2021-09-21T23:12:00Z,stop,40965.6131038911,39610.36050685186,1.9824241102079914,"simulated minute open / intraminute exit interval, not exact tick"
8,908175.0,909058.0,1.0,0.17300000000000001,43318.9,44341.4,3.7470848500000007,3.8355311000000007,0.357216330772911,176.8925,168.95266771922712,10271.015620228267,2.0,10102.062952509039,0.7418454760409785,1632380340.0,2021-09-22T16:15:00Z,2021-09-22T16:15:00Z,2021-09-23T06:58:00Z,2021-09-23T06:59:00Z,target,42798.75503202688,44350.2912482939,1.9828919086018828,"simulated minute open / intraminute exit interval, not exact tick"
9,910715.0,910752.0,-1.0,0.186,42215.700000000004,41250.700000000004,3.926060100000001,3.8363151,0.0,179.49,171.7276248,10442.743245028267,2.0,10271.015620228267,0.7644930638149972,1632481980.0,2021-09-24T10:35:00Z,2021-09-24T10:35:00Z,2021-09-24T11:12:00Z,2021-09-24T11:13:00Z,target,42705.86020943584,41242.45145600348,1.985572319541614,"simulated minute open / intraminute exit interval, not exact tick"
10,910985.0,911317.0,-1.0,0.189,42273.5,42772.9,3.99484575,4.0420390500000005,-0.31536204237094595,-94.38660000000027,-102.10812275762932,10340.635122270638,1.0,10442.743245028267,0.7650950820613012,1632515880.0,2021-09-24T15:05:00Z,2021-09-24T15:05:00Z,2021-09-24T20:37:00Z,2021-09-24T20:38:00Z,stop,42764.331316633055,41300.1497500471,1.9830646842784447,"simulated minute open / intraminute exit interval, not exact tick"
