trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,initial_stop_price,absolute_target,target_R_at_fill,timestamp_precision
1,878825.0,879879.0,1.0,0.078,50238.4,49032.600000000006,1.9592976000000002,1.9122714000000003,5.955627851004284,-94.05239999999966,-103.87959685100394,9896.120403148996,1.0,10000.0,0.39185952,1630629600.0,2021-09-02T07:05:00Z,2021-09-02T07:05:00Z,2021-09-03T00:39:00Z,2021-09-03T00:40:00Z,stop,49042.45442764116,52619.65789495019,1.9911089183209998,"simulated minute open / intraminute exit interval, not exact tick"
2,886490.0,886507.0,-1.0,0.079,48712.5,46387.0,1.92414375,1.8322865,0.0,183.71450000000002,179.95806975,10076.078472898995,2.0,9896.120403148996,0.3888682982045626,1631027280.0,2021-09-07T14:50:00Z,2021-09-07T14:50:00Z,2021-09-07T15:07:00Z,2021-09-07T15:08:00Z,target,49886.74909129704,46377.70757313947,1.9883280678391526,"simulated minute open / intraminute exit interval, not exact tick"
3,904570.0,905030.0,-1.0,0.092,45394.3,43355.100000000006,2.0881378,1.9943346000000002,-0.41255391116244,187.60639999999972,183.93648151116216,10260.014954410159,2.0,10076.078472898995,0.4144743027987198,1632138660.0,2021-09-20T04:10:00Z,2021-09-20T04:10:00Z,2021-09-20T11:50:00Z,2021-09-20T11:51:00Z,target,46422.61913591485,43346.42581825793,1.9914772663645648,"simulated minute open / intraminute exit interval, not exact tick"
4,905775.0,905782.0,-1.0,0.10200000000000001,42068.700000000004,40198.8,2.1455037000000003,2.0501388,0.0,190.72980000000015,186.53415750000013,10446.549111910159,2.0,10260.014954410159,0.41822623252177193,1632183780.0,2021-09-21T00:15:00Z,2021-09-21T00:15:00Z,2021-09-21T00:22:00Z,2021-09-21T00:23:00Z,target,43009.97501314072,40190.744728996804,1.9951185836083065,"simulated minute open / intraminute exit interval, not exact tick"
5,906030.0,906236.0,-1.0,0.10300000000000001,42337.700000000004,43293.700000000004,2.1803915500000004,2.22962555,0.0,-98.468,-102.8780171,10343.671094810159,1.0,10446.549111910159,0.4174376680073472,1632211020.0,2021-09-21T04:30:00Z,2021-09-21T04:30:00Z,2021-09-21T07:56:00Z,2021-09-21T07:57:00Z,stop,43284.99381045404,40452.65533236211,1.9899260892820465,"simulated minute open / intraminute exit interval, not exact tick"
6,907010.0,907064.0,-1.0,0.106,40844.5,41770.100000000006,2.1647585,2.2138153000000003,0.0,-98.11360000000062,-102.49217380000061,10241.17892101016,1.0,10343.671094810159,0.41856676999061726,1632260700.0,2021-09-21T20:50:00Z,2021-09-21T20:50:00Z,2021-09-21T21:44:00Z,2021-09-21T21:45:00Z,stop,41761.65632768106,39015.822377637014,1.9938559732631511,"simulated minute open / intraminute exit interval, not exact tick"
7,907235.0,907269.0,-1.0,0.105,40729.4,41652.4,2.1382935,2.186751,0.0,-96.91499999999999,-101.2400445,10139.93887651016,1.0,10241.17892101016,0.4175873728000614,1632273000.0,2021-09-22T00:35:00Z,2021-09-22T00:35:00Z,2021-09-22T01:09:00Z,2021-09-22T01:10:00Z,stop,41643.97177668115,38908.12639102973,1.9913949406785978,"simulated minute open / intraminute exit interval, not exact tick"
8,910715.0,912155.0,-1.0,0.096,42215.700000000004,42752.5,2.0263536,2.05212,-0.7999443846169835,-51.53279999999958,-54.8113292153826,10085.127547294776,4.0,10139.93887651016,0.39967767551226224,1632566100.0,2021-09-24T10:35:00Z,2021-09-24T10:35:00Z,2021-09-25T10:35:00Z,2021-09-25T10:35:00Z,timeout,43203.10345069638,40247.794418875164,1.9930106378876427,"simulated minute open / intraminute exit interval, not exact tick"
9,914290.0,914338.0,1.0,0.093,43873.600000000006,42849.600000000006,2.0401224000000004,1.9925064000000003,0.0,-95.232,-99.2646288,9985.862918494777,1.0,10085.127547294776,0.4045803864022008,1632697140.0,2021-09-26T22:10:00Z,2021-09-26T22:10:00Z,2021-09-26T22:58:00Z,2021-09-26T22:59:00Z,stop,42858.23431237665,45895.134521722306,1.990942323897173,"simulated minute open / intraminute exit interval, not exact tick"
10,914455.0,915603.0,1.0,0.093,43723.700000000004,42703.200000000004,2.03315205,1.9856988000000002,0.8085910281392491,-94.9065,-99.73394187813923,9886.128976616637,1.0,9985.862918494777,0.40720608055502294,1632773040.0,2021-09-27T00:55:00Z,2021-09-27T00:55:00Z,2021-09-27T20:03:00Z,2021-09-27T20:04:00Z,stop,42711.80344453299,45738.27533169056,1.9908905913419055,"simulated minute open / intraminute exit interval, not exact tick"
