trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,initial_stop_price,absolute_target,target_R_at_fill,timestamp_precision
1,886190.0,886486.0,1.0,0.151,50931.3,49676.8,3.84531315,3.7505984000000003,0.0,-189.4295,-197.02541155,9802.97458845,1.0,10000.0,0.76906263,1631026020.0,2021-09-07T09:50:00Z,2021-09-07T09:50:00Z,2021-09-07T14:46:00Z,2021-09-07T14:47:00Z,stop,49686.74041921593,53409.699688791465,1.9913869348304427,"simulated minute open / intraminute exit interval, not exact tick"
2,887455.0,888895.0,1.0,0.168,45258.5,46172.8,3.8017140000000005,3.8785152000000003,2.3057959733098086,153.6024000000005,143.61637482669067,9946.59096327669,4.0,9802.97458845,0.775624575111973,1631170500.0,2021-09-08T06:55:00Z,2021-09-08T06:55:00Z,2021-09-09T06:55:00Z,2021-09-09T06:55:00Z,timeout,44158.6020122865,47449.15213855866,1.9916866500616608,"simulated minute open / intraminute exit interval, not exact tick"
3,891270.0,892710.0,1.0,0.17300000000000001,44787.0,45176.100000000006,3.8740755000000004,3.9077326500000007,2.34391173731565,67.31430000000101,57.18858011268536,10003.779543389377,4.0,9946.59096327669,0.7789755332863852,1631399400.0,2021-09-10T22:30:00Z,2021-09-10T22:30:00Z,2021-09-11T22:30:00Z,2021-09-11T22:30:00Z,timeout,43705.00738681253,46941.55037101429,1.991280111115685,"simulated minute open / intraminute exit interval, not exact tick"
4,894550.0,895066.0,1.0,0.18,44686.200000000004,46759.8,4.021758,4.208382,0.80085852,373.2479999999997,364.2170014799997,10367.996544869375,2.0,10003.779543389377,0.8040477066805473,1631540820.0,2021-09-13T05:10:00Z,2021-09-13T05:10:00Z,2021-09-13T13:46:00Z,2021-09-13T13:47:00Z,target,43639.97307900992,46769.22194418809,1.9909848450629122,"simulated minute open / intraminute exit interval, not exact tick"
5,895090.0,895098.0,1.0,0.187,44673.3,43618.600000000006,4.17695355,4.078339100000001,0.0,-197.22889999999944,-205.48419264999944,10162.512352219375,1.0,10367.996544869375,0.8057397650401368,1631542740.0,2021-09-13T14:10:00Z,2021-09-13T14:10:00Z,2021-09-13T14:18:00Z,2021-09-13T14:19:00Z,stop,43627.37510351146,46765.36962633295,2.000210180823311,"simulated minute open / intraminute exit interval, not exact tick"
6,895175.0,896435.0,1.0,0.183,44530.200000000004,46596.700000000004,4.0745133000000004,4.263598050000001,2.471679394531563,378.16949999999997,367.35970925546843,10529.872061474844,2.0,10162.512352219375,0.8018712615114655,1631622960.0,2021-09-13T15:35:00Z,2021-09-13T15:35:00Z,2021-09-14T12:35:00Z,2021-09-14T12:36:00Z,target,43487.62546833089,46606.02184809657,1.9910536705450348,"simulated minute open / intraminute exit interval, not exact tick"
7,896505.0,897752.0,-1.0,0.177,46588.700000000004,47721.600000000006,4.12309995,4.2233616000000005,-2.496066442137828,-200.52330000000023,-206.37369510786243,10323.498366366981,1.0,10529.872061474844,0.7831244151740447,1631701980.0,2021-09-14T13:45:00Z,2021-09-14T13:45:00Z,2021-09-15T10:32:00Z,2021-09-15T10:33:00Z,stop,47712.02451131608,44350.94057411832,1.9920863502390311,"simulated minute open / intraminute exit interval, not exact tick"
8,904600.0,904774.0,1.0,0.191,45746.4,44723.3,4.368781200000001,4.271075150000001,0.0,-195.41209999999973,-204.05195634999973,10119.44641001698,1.0,10323.498366366981,0.8463761110735664,1632123300.0,2021-09-20T04:40:00Z,2021-09-20T04:40:00Z,2021-09-20T07:34:00Z,2021-09-20T07:35:00Z,stop,44732.339408393666,47764.94464037541,1.9905562419873881,"simulated minute open / intraminute exit interval, not exact tick"
9,907315.0,908152.0,-1.0,0.188,42176.5,43198.0,3.964591,4.060612,-0.799723612,-192.042,-199.267479388,9920.178930628981,1.0,10119.44641001698,0.7835588705871406,1632325980.0,2021-09-22T01:55:00Z,2021-09-22T01:55:00Z,2021-09-22T15:52:00Z,2021-09-22T15:53:00Z,stop,43189.35555458327,40158.433214918994,1.9924527006334334,"simulated minute open / intraminute exit interval, not exact tick"
10,917725.0,918898.0,-1.0,0.189,42328.4,43325.8,4.000033800000001,4.0942881,-1.531754149032672,-188.50860000000029,-195.07116775096762,9725.107762878011,1.0,9920.178930628981,0.8064438812993026,1632970740.0,2021-09-29T07:25:00Z,2021-09-29T07:25:00Z,2021-09-30T02:58:00Z,2021-09-30T02:59:00Z,stop,43317.09798598668,40359.14507692996,1.991765889059443,"simulated minute open / intraminute exit interval, not exact tick"
11,919220.0,919845.0,-1.0,0.039,43001.9,44049.200000000004,0.83853705,0.8589594,-0.15534754071312287,-40.84470000000012,-42.386848909286996,9682.720913968724,1.0,9725.107762878011,0.17244786802276968,1633027560.0,2021-09-30T08:20:00Z,2021-09-30T08:20:00Z,2021-09-30T18:45:00Z,2021-09-30T18:46:00Z,stop,44040.316876263154,40933.28896722278,1.9920814848669728,"simulated minute open / intraminute exit interval, not exact tick"
12,937285.0,937986.0,1.0,0.14,55681.700000000004,54370.5,3.8977190000000004,3.8059350000000003,1.5491989800000003,-183.56800000000064,-192.82085298000064,9489.900060988723,1.0,9682.720913968724,0.8050875440139925,1634116020.0,2021-10-12T21:25:00Z,2021-10-12T21:25:00Z,2021-10-13T09:06:00Z,2021-10-13T09:07:00Z,stop,54381.38985415263,58270.62859554219,1.991008532702826,"simulated minute open / intraminute exit interval, not exact tick"
13,949835.0,949889.0,1.0,0.114,63748.600000000006,62165.3,3.6336702000000005,3.5434221000000004,0.0,-180.49620000000033,-187.67329230000033,9302.22676868872,1.0,9489.900060988723,0.765797358591239,1634830200.0,2021-10-21T14:35:00Z,2021-10-21T14:35:00Z,2021-10-21T15:29:00Z,2021-10-21T15:30:00Z,stop,62177.82294756281,66877.39485566868,1.9918771100036659,"simulated minute open / intraminute exit interval, not exact tick"
14,951380.0,952820.0,1.0,0.11800000000000001,60753.700000000004,61505.0,3.5844683000000006,3.628795,4.205953205378921,88.6533999999995,77.23418349462058,9379.46095218334,4.0,9302.22676868872,0.7706688708267819,1635006000.0,2021-10-22T16:20:00Z,2021-10-22T16:20:00Z,2021-10-23T16:20:00Z,2021-10-23T16:20:00Z,timeout,59274.366792787776,63702.267439570736,1.9931732926669319,"simulated minute open / intraminute exit interval, not exact tick"
15,958095.0,959535.0,1.0,0.135,58900.8,59339.0,3.9758040000000006,4.0053825000000005,3.854604779162319,59.15699999999961,47.32120872083729,9426.782160904178,4.0,9379.46095218334,0.847768122340659,1635408900.0,2021-10-27T08:15:00Z,2021-10-27T08:15:00Z,2021-10-28T08:15:00Z,2021-10-28T08:15:00Z,timeout,57598.9995435021,61492.0584317597,1.9905189146504756,"simulated minute open / intraminute exit interval, not exact tick"
