trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,initial_stop_price,absolute_target,target_R_at_fill,timestamp_precision
1,887580.0,889020.0,1.0,0.245,45997.3,46269.4,5.63466925,5.668001500000001,3.39153562084225,66.66449999999965,51.970293629157396,10051.970293629156,4.0,10000.0,1.12693385,1631178000.0,2021-09-08T09:00:00Z,2021-09-08T09:00:00Z,2021-09-09T09:00:00Z,2021-09-09T09:00:00Z,timeout,45247.94218660708,47486.41260779715,1.9871850018548203,"simulated minute open / intraminute exit interval, not exact tick"
2,890865.0,891218.0,1.0,0.256,45415.5,44686.700000000004,5.813184000000001,5.7198976,1.2929578169236335,-186.5727999999989,-199.39883941692253,9852.571454212233,1.0,10051.970293629156,1.1566257818498213,1631309940.0,2021-09-10T15:45:00Z,2021-09-10T15:45:00Z,2021-09-10T21:38:00Z,2021-09-10T21:39:00Z,stop,44695.66250671268,46843.3929716602,1.9836323961667595,"simulated minute open / intraminute exit interval, not exact tick"
3,894405.0,894556.0,1.0,0.245,45099.100000000006,44349.4,5.52463975,5.432801500000001,0.0,-183.67650000000106,-194.63394125000107,9657.937512962233,1.0,9852.571454212233,1.121461493717576,1631510220.0,2021-09-13T02:45:00Z,2021-09-13T02:45:00Z,2021-09-13T05:16:00Z,2021-09-13T05:17:00Z,stop,44358.34390012285,46571.21326338933,1.9873116989970807,"simulated minute open / intraminute exit interval, not exact tick"
4,895500.0,896235.0,1.0,0.197,45209.100000000006,45855.4,4.453096350000001,4.516756900000001,1.786838615435617,127.32109999999915,116.56440813456354,9774.501921096795,3.0,9657.937512962233,0.922163007168633,1631610900.0,2021-09-13T21:00:00Z,2021-09-13T21:00:00Z,2021-09-14T09:15:00Z,2021-09-14T09:15:00Z,opposite,44466.537141872985,46684.83710839056,1.9873564806524673,"simulated minute open / intraminute exit interval, not exact tick"
5,896385.0,896489.0,-1.0,0.232,45890.8,46677.100000000006,5.323332800000001,5.414543600000001,0.0,-182.4216000000007,-193.1594764000007,9581.342444696793,1.0,9774.501921096795,1.0892284523491444,1631626200.0,2021-09-14T11:45:00Z,2021-09-14T11:45:00Z,2021-09-14T13:29:00Z,2021-09-14T13:30:00Z,stop,46667.6934951497,44346.355599409304,1.9879744266530466,"simulated minute open / intraminute exit interval, not exact tick"
6,904290.0,904473.0,1.0,0.228,47227.5,46446.600000000006,5.383935,5.294912400000001,1.0772862130572842,-178.0451999999987,-189.801333613056,9391.541111083736,1.0,9581.342444696793,1.1238372975553068,1632105240.0,2021-09-19T23:30:00Z,2021-09-19T23:30:00Z,2021-09-20T02:33:00Z,2021-09-20T02:34:00Z,stop,46455.923847346,48760.89352781005,1.9873521525200202,"simulated minute open / intraminute exit interval, not exact tick"
7,909735.0,910647.0,-1.0,0.21,44486.5,42847.100000000006,4.6710825,4.4989455000000005,1.5426355001771754,344.27399999999875,333.56133649982155,9725.102447583558,2.0,9391.541111083736,0.9947424910885537,1632475680.0,2021-09-23T18:15:00Z,2021-09-23T18:15:00Z,2021-09-24T09:27:00Z,2021-09-24T09:28:00Z,target,45316.44500642273,42838.460673743546,1.9857211182701304,"simulated minute open / intraminute exit interval, not exact tick"
8,918045.0,918790.0,-1.0,0.247,42021.5,42758.100000000006,5.1896552499999995,5.28062535,-1.6080277505513,-181.94020000000143,-190.80245284945013,9534.299994734109,1.0,9725.102447583558,1.0672700422378578,1632964260.0,2021-09-29T12:45:00Z,2021-09-29T12:45:00Z,2021-09-30T01:10:00Z,2021-09-30T01:11:00Z,stop,42749.452526564324,40573.790796641086,1.9887412304090568,"simulated minute open / intraminute exit interval, not exact tick"
9,925395.0,925552.0,1.0,0.20600000000000002,47511.700000000004,49206.4,4.893705100000001,5.068259200000001,0.9838799946894502,349.10819999999944,338.16235570531,9872.462350439419,2.0,9534.299994734109,1.0265473296839505,1633369980.0,2021-10-04T15:15:00Z,2021-10-04T15:15:00Z,2021-10-04T17:52:00Z,2021-10-04T17:53:00Z,target,46654.47879894745,49216.28923721637,1.9885056915570465,"simulated minute open / intraminute exit interval, not exact tick"
10,929565.0,931005.0,1.0,0.17200000000000001,54243.200000000004,54990.9,4.6649152,4.7292174000000005,8.3238024459288,128.60439999999952,110.88646495407072,9983.348815393489,4.0,9872.462350439419,0.9450358045259838,1633697100.0,2021-10-07T12:45:00Z,2021-10-07T12:45:00Z,2021-10-08T12:45:00Z,2021-10-08T12:45:00Z,timeout,53174.95719279695,56368.366688230264,1.9894041634546746,"simulated minute open / intraminute exit interval, not exact tick"
11,937080.0,937207.0,1.0,0.178,55971.200000000004,54917.4,4.981436800000001,4.8876485999999995,0.0,-187.57640000000052,-197.44548540000054,9785.903329993487,1.0,9983.348815393489,0.9979490634082707,1634069280.0,2021-10-12T18:00:00Z,2021-10-12T18:00:00Z,2021-10-12T20:07:00Z,2021-10-12T20:08:00Z,stop,54928.393754380275,58045.1951541107,1.9888595439684318,"simulated minute open / intraminute exit interval, not exact tick"
12,937320.0,937799.0,1.0,0.14300000000000002,56086.4,55030.4,4.0101776000000005,3.9346736000000004,0.801073702,-151.008,-159.753924902,9626.149405091488,1.0,9785.903329993487,0.819582508588437,1634104800.0,2021-10-12T22:00:00Z,2021-10-12T22:00:00Z,2021-10-13T05:59:00Z,2021-10-13T06:00:00Z,stop,55041.44744914659,58164.646274088314,1.9888427205532049,"simulated minute open / intraminute exit interval, not exact tick"
13,937935.0,938444.0,1.0,0.177,54816.200000000004,56810.600000000006,4.8512337,5.0277381000000005,0.994100588634393,353.00880000000024,342.1357276113658,9968.285132702855,2.0,9626.149405091488,1.007928195553265,1634143500.0,2021-10-13T08:15:00Z,2021-10-13T08:15:00Z,2021-10-13T16:44:00Z,2021-10-13T16:45:00Z,target,53807.57743333295,56821.99885952688,1.9886515787118832,"simulated minute open / intraminute exit interval, not exact tick"
14,949380.0,949824.0,1.0,0.155,64760.0,63557.200000000004,5.0188999999999995,4.925683,5.766714527432,-186.43399999999932,-202.1452975274313,9766.139835175425,1.0,9968.285132702855,1.0069736034204206,1634826300.0,2021-10-21T07:00:00Z,2021-10-21T07:00:00Z,2021-10-21T14:24:00Z,2021-10-21T14:25:00Z,stop,63569.99093441449,67126.50926093863,1.9886480946884715,"simulated minute open / intraminute exit interval, not exact tick"
15,951390.0,951707.0,1.0,0.167,61289.0,60195.4,5.117631500000001,5.026315900000001,0.0,-182.63119999999978,-192.77514739999978,9573.364687775425,1.0,9766.139835175425,1.048035679679181,1634939280.0,2021-10-22T16:30:00Z,2021-10-22T16:30:00Z,2021-10-22T21:47:00Z,2021-10-22T21:48:00Z,stop,60207.51210540027,63439.18994017278,1.9881775384722,"simulated minute open / intraminute exit interval, not exact tick"
16,951750.0,953190.0,1.0,0.137,60650.4,61257.700000000004,4.154552400000001,4.1961524500000005,4.8831829587873905,83.2001000000004,69.96621219121302,9643.330899966639,4.0,9573.364687775425,0.8679398592858576,1635028200.0,2021-10-22T22:30:00Z,2021-10-22T22:30:00Z,2021-10-23T22:30:00Z,2021-10-23T22:30:00Z,timeout,59580.18065553963,62778.21848652112,1.9882078356507478,"simulated minute open / intraminute exit interval, not exact tick"
