trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,initial_stop_price,absolute_target,target_R_at_fill,timestamp_precision
1,985925.0,986223.0,1.0,0.20700000000000002,64401.8,63514.5,6.665586300000001,6.57375075,0.0,-183.67110000000062,-196.9104370500006,9803.08956295,1.0,10000.0,1.33311726,1637010240.0,2021-11-15T16:05:00Z,2021-11-15T16:05:00Z,2021-11-15T21:03:00Z,2021-11-15T21:04:00Z,stop,63527.22985775108,65568.38,1.33388958031449,"simulated minute open / intraminute exit interval, not exact tick"
2,988040.0,988302.0,1.0,0.213,58987.8,60094.0,6.282200700000001,6.400010999999999,0.0,235.62059999999937,222.93838829999936,10026.027951249998,2.0,9803.08956295,1.2816777118395573,1637134980.0,2021-11-17T03:20:00Z,2021-11-17T03:20:00Z,2021-11-17T07:42:00Z,2021-11-17T07:43:00Z,target,58154.35936205866,60106.03,1.3417032348723734,"simulated minute open / intraminute exit interval, not exact tick"
3,988480.0,988490.0,1.0,0.217,59368.0,60094.0,6.441428,6.520199,0.0,157.542,144.580373,10170.608324249999,2.0,10026.027951249998,1.2849411614091726,1637146260.0,2021-11-17T10:40:00Z,2021-11-17T10:40:00Z,2021-11-17T10:50:00Z,2021-11-17T10:51:00Z,target,58529.187503292174,60106.03,0.8798509832610077,"simulated minute open / intraminute exit interval, not exact tick"
4,989880.0,990197.0,1.0,0.229,59325.200000000004,58511.200000000004,6.792735400000001,6.699532400000001,0.0,-186.406,-199.8982678,9970.710056449998,1.0,10170.608324249999,1.3357579376651318,1637248680.0,2021-11-18T10:00:00Z,2021-11-18T10:00:00Z,2021-11-18T15:17:00Z,2021-11-18T15:18:00Z,stop,58522.98944234439,60366.97,1.2986241455665584,"simulated minute open / intraminute exit interval, not exact tick"
5,991750.0,993190.0,-1.0,0.214,58164.3,57805.3,6.2235801,6.185167100000001,-3.7257834329015767,76.826,68.14303623290157,10038.853092682899,4.0,9970.710056449998,1.248372495993703,1637428200.0,2021-11-19T17:10:00Z,2021-11-19T17:10:00Z,2021-11-20T17:10:00Z,2021-11-20T17:10:00Z,timeout,59013.25229558592,56921.04,1.464463912123532,"simulated minute open / intraminute exit interval, not exact tick"
6,993275.0,994620.0,-1.0,0.209,59109.3,59998.9,6.17692185,6.26988505,-3.7183426206508123,-185.9263999999997,-194.65486427934889,9844.19822840355,1.0,10038.853092682899,1.2306030963840329,1637514060.0,2021-11-20T18:35:00Z,2021-11-20T18:35:00Z,2021-11-21T17:00:00Z,2021-11-21T17:01:00Z,stop,59986.841673491916,58069.52,1.184878201695552,"simulated minute open / intraminute exit interval, not exact tick"
7,997110.0,997144.0,-1.0,0.20600000000000002,57382.9,56279.600000000006,5.910438700000001,5.796798800000001,0.0,227.2797999999991,215.5725624999991,10059.770790903547,2.0,9844.19822840355,1.2007963600217966,1637665500.0,2021-11-23T10:30:00Z,2021-11-23T10:30:00Z,2021-11-23T11:04:00Z,2021-11-23T11:05:00Z,target,58255.604984954654,56268.31,1.277166991383596,"simulated minute open / intraminute exit interval, not exact tick"
8,997385.0,998084.0,-1.0,0.21,57415.9,56279.600000000006,6.0286695,5.909358,-2.40429610786281,238.62299999999908,229.0892686078619,10288.86005951141,2.0,10059.770790903547,1.1985699525979991,1637721900.0,2021-11-23T15:05:00Z,2021-11-23T15:05:00Z,2021-11-24T02:44:00Z,2021-11-24T02:45:00Z,target,58289.10686381584,56268.31,1.3142246672055828,"simulated minute open / intraminute exit interval, not exact tick"
9,999980.0,1000265.0,-1.0,0.211,58084.200000000004,58989.100000000006,6.1278831,6.2233500500000005,0.0,-190.9339000000003,-203.2851331500003,10085.574926361409,1.0,10288.86005951141,1.191168519069351,1637852760.0,2021-11-25T10:20:00Z,2021-11-25T10:20:00Z,2021-11-25T15:05:00Z,2021-11-25T15:06:00Z,stop,58977.225100450996,57165.09,1.029209592805224,"simulated minute open / intraminute exit interval, not exact tick"
10,1001125.0,1001271.0,1.0,0.202,57703.200000000004,56776.9,5.8280232000000005,5.7344669,0.0,-187.1126000000006,-198.6750901000006,9886.89983626141,1.0,10085.574926361409,1.1557146206443556,1637913120.0,2021-11-26T05:25:00Z,2021-11-26T05:25:00Z,2021-11-26T07:51:00Z,2021-11-26T07:52:00Z,stop,56788.323145071845,58988.36,1.4047355041033471,"simulated minute open / intraminute exit interval, not exact tick"
11,1005035.0,1005070.0,-1.0,0.176,56236.8,57291.5,4.9488384,5.041652,0.0,-185.62719999999948,-195.61769039999947,9691.28214586141,1.0,9886.89983626141,1.001090024569589,1638141060.0,2021-11-28T22:35:00Z,2021-11-28T22:35:00Z,2021-11-28T23:10:00Z,2021-11-28T23:11:00Z,stop,57280.03342284083,54738.77,1.435949009302941,"simulated minute open / intraminute exit interval, not exact tick"
12,1006230.0,1006637.0,-1.0,0.17300000000000001,58651.8,57327.200000000004,5.0733807,4.958802800000001,-2.782179294174,229.15579999999977,221.90579579417377,9913.187941655586,2.0,9691.28214586141,1.0469988642661796,1638235080.0,2021-11-29T18:30:00Z,2021-11-29T18:30:00Z,2021-11-30T01:17:00Z,2021-11-30T01:18:00Z,target,59686.81812018661,57315.72,1.290875950808589,"simulated minute open / intraminute exit interval, not exact tick"
13,1008875.0,1009225.0,-1.0,0.179,58383.600000000006,56989.5,5.2253322,5.10056025,-1.049839475,249.54390000000103,240.26784702500103,10153.455788680587,2.0,9913.187941655586,1.0542183262849198,1638390360.0,2021-12-01T14:35:00Z,2021-12-01T14:35:00Z,2021-12-01T20:25:00Z,2021-12-01T20:26:00Z,target,59407.96641333858,56978.06,1.3721066814550553,"simulated minute open / intraminute exit interval, not exact tick"
14,1016570.0,1017542.0,-1.0,0.187,50661.200000000004,51682.8,4.736822200000001,4.8323418,-1.3216914535090942,-191.03919999999974,-199.28667254649065,9954.169116134095,1.0,10153.455788680587,0.9330463043490609,1638889380.0,2021-12-06T22:50:00Z,2021-12-06T22:50:00Z,2021-12-07T15:02:00Z,2021-12-07T15:03:00Z,stop,51672.3828141325,49373.83,1.2731327926142122,"simulated minute open / intraminute exit interval, not exact tick"
15,1017590.0,1017864.0,-1.0,0.125,51738.200000000004,50434.9,3.2336375000000004,3.15218125,-0.646420125,162.91250000000036,157.17310137500036,10111.342217509096,2.0,9954.169116134095,0.6497051561558861,1638908700.0,2021-12-07T15:50:00Z,2021-12-07T15:50:00Z,2021-12-07T20:24:00Z,2021-12-07T20:25:00Z,target,52750.80727870369,50424.72,1.297126761404965,"simulated minute open / intraminute exit interval, not exact tick"
16,1021705.0,1021775.0,-1.0,0.199,48829.8,49782.700000000004,4.858565100000001,4.95337865,0.0,-189.6271000000003,-199.43904375000028,9911.903173759096,1.0,10111.342217509096,0.961012889384115,1639143360.0,2021-12-10T12:25:00Z,2021-12-10T12:25:00Z,2021-12-10T13:35:00Z,2021-12-10T13:36:00Z,stop,49772.707038583016,47539.34,1.3685972712000283,"simulated minute open / intraminute exit interval, not exact tick"
17,1021850.0,1021928.0,-1.0,0.163,48455.4,47548.9,3.9491151000000007,3.8752353500000005,-0.7820345540000001,147.7595,140.717184104,10052.620357863096,2.0,9911.903173759096,0.7968429535217697,1639152540.0,2021-12-10T14:50:00Z,2021-12-10T14:50:00Z,2021-12-10T16:08:00Z,2021-12-10T16:09:00Z,target,49391.077346975726,47539.34,0.9790340686999374,"simulated minute open / intraminute exit interval, not exact tick"
18,1022605.0,1023792.0,-1.0,0.20500000000000002,48441.8,49361.9,4.965284500000001,5.0595947500000005,-1.9839762932883602,-188.6204999999997,-196.66140295671136,9855.958954906384,1.0,10052.620357863096,0.9878587518957058,1639264380.0,2021-12-11T03:25:00Z,2021-12-11T03:25:00Z,2021-12-11T23:12:00Z,2021-12-11T23:13:00Z,stop,49352.021539089095,47132.31,1.4386497613652172,"simulated minute open / intraminute exit interval, not exact tick"
19,1028000.0,1029114.0,-1.0,0.186,48100.5,46689.3,4.4733465,4.342104900000001,-1.79547206127357,262.48319999999944,255.463220661273,10111.422175567657,2.0,9855.958954906384,0.9077445473275085,1639583700.0,2021-12-14T21:20:00Z,2021-12-14T21:20:00Z,2021-12-15T15:54:00Z,2021-12-15T15:55:00Z,target,49088.737589044256,46679.93,1.4374782094393503,"simulated minute open / intraminute exit interval, not exact tick"
20,1050530.0,1051714.0,-1.0,0.245,47545.4,48310.700000000004,5.8243115,5.91806075,-1.9526901508079517,-187.49850000000072,-197.28818209919277,9914.133993468466,1.0,10111.422175567657,1.1520261737410884,1640939700.0,2021-12-30T12:50:00Z,2021-12-30T12:50:00Z,2021-12-31T08:34:00Z,2021-12-31T08:35:00Z,stop,48301.00705980809,46436.53,1.4675220216730502,"simulated minute open / intraminute exit interval, not exact tick"
