trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,initial_stop_price,absolute_target,target_R_at_fill,timestamp_precision
1,887431.0,887535.0,1.0,0.20700000000000002,45631.3,44724.100000000006,4.722839550000001,4.628944350000001,0.933579522,-187.7903999999994,-198.07576342199943,9801.924236578001,1.0,10000.0,0.9445679100000001,1631088960.0,2021-09-08T06:30:00Z,2021-09-08T06:31:00Z,2021-09-08T08:15:00Z,2021-09-08T08:16:00Z,stop,44733.119233597215,46864.38,1.3728639558142417,"simulated minute open / intraminute exit interval, not exact tick"
2,887556.0,888996.0,1.0,0.167,45705.5,46416.9,3.8164092500000004,3.8758111500000005,2.3117814231863503,118.80380000000025,108.7997981768139,9910.724034754818,4.0,9801.924236578001,0.7787061311407087,1631176560.0,2021-09-08T08:35:00Z,2021-09-08T08:36:00Z,2021-09-09T08:36:00Z,2021-09-09T08:36:00Z,timeout,44805.85872265698,46864.38,1.2881578793523227,"simulated minute open / intraminute exit interval, not exact tick"
3,890796.0,891218.0,1.0,0.223,45442.9,44612.100000000006,5.06688335,4.97424915,1.1262874733358212,-185.26839999999902,-196.43581997333484,9714.288214781482,1.0,9910.724034754818,1.022505183724521,1631309940.0,2021-09-10T14:35:00Z,2021-09-10T14:36:00Z,2021-09-10T21:38:00Z,2021-09-10T21:39:00Z,stop,44621.024792581644,46413.88,1.1814202341618216,"simulated minute open / intraminute exit interval, not exact tick"
4,894586.0,895060.0,1.0,0.217,44850.4,46038.8,4.8662684,4.9952098000000005,0.965479438,257.8828000000003,247.05584236200033,9961.344057143482,2.0,9714.288214781482,1.0018785303477769,1631540460.0,2021-09-13T05:45:00Z,2021-09-13T05:46:00Z,2021-09-13T13:40:00Z,2021-09-13T13:41:00Z,target,44018.53423424508,46048.02,1.4396793921590838,"simulated minute open / intraminute exit interval, not exact tick"
5,895446.0,896201.0,1.0,0.222,44887.100000000006,46038.8,4.982468100000001,5.1103068,2.0135947849071423,255.67739999999935,243.5710303150922,10204.915087458576,2.0,9961.344057143482,1.0003606082508458,1631608920.0,2021-09-13T20:05:00Z,2021-09-13T20:06:00Z,2021-09-14T08:41:00Z,2021-09-14T08:42:00Z,target,44054.55353856337,46048.02,1.3944206765310316,"simulated minute open / intraminute exit interval, not exact tick"
6,904251.0,904474.0,1.0,0.226,47132.9,46288.8,5.3260177,5.230634400000001,1.0678363339953783,-190.76659999999967,-202.39108843399507,10002.523999024581,1.0,10204.915087458576,1.043814211946841,1632105300.0,2021-09-19T22:50:00Z,2021-09-19T22:51:00Z,2021-09-20T02:34:00Z,2021-09-20T02:35:00Z,stop,46298.127869723605,48284.61,1.3796699221602677,"simulated minute open / intraminute exit interval, not exact tick"
7,904491.0,904503.0,1.0,0.171,46091.3,45281.4,3.9408061500000002,3.8715597,0.0,-138.49290000000025,-146.30526585000027,9856.21873317458,1.0,10002.523999024581,0.7879623483801282,1632107040.0,2021-09-20T02:50:00Z,2021-09-20T02:51:00Z,2021-09-20T03:03:00Z,2021-09-20T03:04:00Z,stop,45290.50911879617,47256.92,1.4555860054846288,"simulated minute open / intraminute exit interval, not exact tick"
8,907301.0,908128.0,-1.0,0.214,41909.600000000006,42776.200000000004,4.484327200000001,4.5770534000000005,-0.9103236859999999,-185.4523999999997,-193.6034569139997,9662.61527626058,1.0,9856.21873317458,0.9099487991082048,1632324540.0,2021-09-22T01:40:00Z,2021-09-22T01:41:00Z,2021-09-22T15:28:00Z,2021-09-22T15:29:00Z,stop,42767.6025039024,40727.83,1.377350292831362,"simulated minute open / intraminute exit interval, not exact tick"
9,917596.0,918496.0,-1.0,0.231,42066.0,41011.200000000004,4.858623000000001,4.736793600000001,-0.9135006589288215,243.658799999999,234.97688405892782,9897.592160319507,2.0,9662.61527626058,1.0056538237503505,1632946620.0,2021-09-29T05:15:00Z,2021-09-29T05:16:00Z,2021-09-29T20:16:00Z,2021-09-29T20:17:00Z,target,42840.749446546535,41002.96,1.3721081115172509,"simulated minute open / intraminute exit interval, not exact tick"
10,937006.0,937207.0,1.0,0.176,55919.9,54866.600000000006,4.920951199999999,4.8282608,0.0,-185.38079999999923,-195.13001199999923,9702.462148319508,1.0,9897.592160319507,0.9943734032058045,1634069280.0,2021-10-12T16:45:00Z,2021-10-12T16:46:00Z,2021-10-12T20:07:00Z,2021-10-12T20:08:00Z,stop,54877.64957704373,57500.01,1.5160559930675142,"simulated minute open / intraminute exit interval, not exact tick"
