trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,initial_stop_price,absolute_target,target_R_at_fill,timestamp_precision
1,877955.0,877966.0,1.0,1.286,3667.71,3811.31,2.3583375300000005,2.4506723299999997,0.0,184.6695999999999,179.86059013999989,10179.860590139999,2.0,10000.0,0.47166750600000007,1630514820.0,2021-09-01T16:35:00Z,2021-09-01T16:35:00Z,2021-09-01T16:46:00Z,2021-09-01T16:47:00Z,target,3595.1447174600726,3812.081679123084,1.9895420243647066,"simulated minute open / intraminute exit interval, not exact tick"
2,880710.0,881067.0,1.0,1.151,3995.44,3911.89,2.29937572,2.251292695,2.9854703757781005,-96.16605000000021,-103.70218879077832,10076.158401349221,1.0,10179.860590139999,0.451749942868005,1630700880.0,2021-09-03T14:30:00Z,2021-09-03T14:30:00Z,2021-09-03T20:27:00Z,2021-09-03T20:28:00Z,stop,3912.678022648679,4160.130812129167,1.9899332688737197,"simulated minute open / intraminute exit interval, not exact tick"
3,907010.0,907063.0,-1.0,1.235,2754.53,2832.76,1.7009222750000004,1.7492293000000003,0.0,-96.61405000000003,-100.06420157500003,9976.094199774221,1.0,10076.158401349221,0.3376132464873206,1632260640.0,2021-09-21T20:50:00Z,2021-09-21T20:50:00Z,2021-09-21T21:43:00Z,2021-09-21T21:44:00Z,stop,2832.1837314551813,2599.694345807839,1.9939241977254785,"simulated minute open / intraminute exit interval, not exact tick"
4,907115.0,907277.0,-1.0,1.215,2773.14,2851.89,1.68468255,1.732523175,-0.33589365872814003,-95.68125,-98.76256206627187,9877.33163770795,1.0,9976.094199774221,0.33774391385320474,1632273480.0,2021-09-21T22:35:00Z,2021-09-21T22:35:00Z,2021-09-22T01:17:00Z,2021-09-22T01:18:00Z,stop,2851.318371209469,2617.387172740358,1.9922751631947015,"simulated minute open / intraminute exit interval, not exact tick"
5,910640.0,910752.0,-1.0,1.123,2923.82,2757.4,1.64172493,1.5482801,0.0,186.88966000000008,183.69965497000007,10061.031292677952,2.0,9877.33163770795,0.33242276157510187,1632481980.0,2021-09-24T09:20:00Z,2021-09-24T09:20:00Z,2021-09-24T11:12:00Z,2021-09-24T11:13:00Z,target,3007.5924087146077,2756.8408005327465,1.9932481592610227,"simulated minute open / intraminute exit interval, not exact tick"
6,911495.0,912935.0,-1.0,1.145,2922.41,2937.66,1.673079725,1.68181035,-0.0256726690794791,-17.46125,-20.79046740592052,10040.24082527203,4.0,10061.031292677952,0.3325861288628743,1632612900.0,2021-09-24T23:35:00Z,2021-09-24T23:35:00Z,2021-09-25T23:35:00Z,2021-09-25T23:35:00Z,timeout,3006.1420098199123,2755.492744390071,1.9934700715882487,"simulated minute open / intraminute exit interval, not exact tick"
7,939735.0,941175.0,1.0,1.237,3798.25,3826.57,2.349217625,2.3667335450000007,5.300534239068433,35.03184000000021,25.01535459093177,10065.256179862963,4.0,10040.24082527203,0.46796041367590413,1634307300.0,2021-10-14T14:15:00Z,2021-10-14T14:15:00Z,2021-10-15T14:15:00Z,2021-10-15T14:15:00Z,timeout,3722.42759067573,3949.1148749602667,1.9897135464933833,"simulated minute open / intraminute exit interval, not exact tick"
8,948395.0,948981.0,1.0,1.415,4051.48,4180.83,2.8664221000000003,2.9579372250000002,7.172778888819144,183.03024999999988,170.03311178618074,10235.289291649146,2.0,10065.256179862963,0.5695676391694238,1634775720.0,2021-10-20T14:35:00Z,2021-10-20T14:35:00Z,2021-10-21T00:21:00Z,2021-10-21T00:22:00Z,target,3986.0422009194854,4181.674278076817,1.9895882793464064,"simulated minute open / intraminute exit interval, not exact tick"
9,949645.0,949654.0,1.0,1.291,4347.99,4273.99,2.806627545,2.7588605449999997,0.0,-95.53399999999999,-101.09948809,10134.189803559146,1.0,10235.289291649146,0.5484217328942319,1634816100.0,2021-10-21T11:25:00Z,2021-10-21T11:25:00Z,2021-10-21T11:34:00Z,2021-10-21T11:35:00Z,stop,4274.853192025607,4493.364347701647,1.9877043000365466,"simulated minute open / intraminute exit interval, not exact tick"
10,952820.0,953820.0,1.0,1.52,4127.64,4065.9700000000003,3.1370064,3.0901372,4.0929564438197765,-93.73840000000011,-104.05850004381989,10030.131303515325,1.0,10134.189803559146,0.6190936741481352,1635066060.0,2021-10-23T16:20:00Z,2021-10-23T16:20:00Z,2021-10-24T09:00:00Z,2021-10-24T09:01:00Z,stop,4066.786360548242,4248.4825107274455,1.985789376217072,"simulated minute open / intraminute exit interval, not exact tick"
11,959555.0,960221.0,1.0,1.314,4098.83,4238.27,2.69293131,2.7845433900000005,0.545844798,183.22416000000067,177.20084050200066,10207.332144017326,2.0,10030.131303515325,0.5369683064978802,1635450120.0,2021-10-28T08:35:00Z,2021-10-28T08:35:00Z,2021-10-28T19:41:00Z,2021-10-28T19:42:00Z,target,4028.259764009287,4239.122235829395,1.987980256263538,"simulated minute open / intraminute exit interval, not exact tick"
12,967455.0,968895.0,1.0,1.125,4531.24,4637.4400000000005,2.5488225,2.6085600000000007,4.1399099098870416,119.47500000000082,110.17770759011378,10317.50985160744,4.0,10207.332144017326,0.49941012284858466,1635970500.0,2021-11-02T20:15:00Z,2021-11-02T20:15:00Z,2021-11-03T20:15:00Z,2021-11-03T20:15:00Z,timeout,4446.896748132144,4698.982626757576,1.9888090990419383,"simulated minute open / intraminute exit interval, not exact tick"
13,1000255.0,1001118.0,1.0,1.109,4485.83,4398.26,2.487392735,2.4388351700000004,3.056029330299504,-97.11512999999968,-105.0973872352992,10212.412464372139,1.0,10317.50985160744,0.4821691998893456,1637903940.0,2021-11-25T14:55:00Z,2021-11-25T14:55:00Z,2021-11-26T05:18:00Z,2021-11-26T05:19:00Z,stop,4399.144906804468,4658.275789308274,1.9893361470961948,"simulated minute open / intraminute exit interval, not exact tick"
14,1012060.0,1012615.0,-1.0,0.926,4202.36,3995.55,1.9456926799999998,1.8499396500000003,-0.39042395807368807,191.50605999999954,188.1008516280732,10400.513316000211,2.0,10212.412464372139,0.3810446722139168,1638593760.0,2021-12-03T19:40:00Z,2021-12-03T19:40:00Z,2021-12-04T04:55:00Z,2021-12-04T04:56:00Z,target,4306.671819793096,3994.7437373501093,1.9903426386549417,"simulated minute open / intraminute exit interval, not exact tick"
15,1012835.0,1013229.0,-1.0,0.964,3942.56,4045.64,1.9003139199999999,1.94999848,0.0,-99.36911999999992,-103.21943239999993,10297.293883600212,1.0,10400.513316000211,0.3654269481250595,1638630600.0,2021-12-04T08:35:00Z,2021-12-04T08:35:00Z,2021-12-04T15:09:00Z,2021-12-04T15:10:00Z,stop,4044.8274130365194,3738.4613097321244,1.9957353394183546,"simulated minute open / intraminute exit interval, not exact tick"
16,1020445.0,1021885.0,-1.0,0.99,4167.85,4069.69,2.0630857500000004,2.01449655,-1.22091662033055,97.17840000000031,94.32173432033086,10391.615617920543,4.0,10297.293883600212,0.4007044517367294,1639149900.0,2021-12-09T15:25:00Z,2021-12-09T15:25:00Z,2021-12-10T15:25:00Z,2021-12-10T15:25:00Z,timeout,4265.908297974141,3972.5338781713267,1.9918367528690186,"simulated minute open / intraminute exit interval, not exact tick"
