trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,initial_stop_price,absolute_target,target_R_at_fill,timestamp_precision
1,877965.0,879405.0,1.0,2.548,3703.88,3779.3,4.71874312,4.8148282,12.879445558397599,192.17016000000018,169.75714312160258,10169.757143121602,4.0,10000.0,0.943748624,1630601100.0,2021-09-01T16:45:00Z,2021-09-01T16:45:00Z,2021-09-02T16:45:00Z,2021-09-02T16:45:00Z,timeout,3630.599097558426,3849.6725232283397,1.9895022901031791,"simulated minute open / intraminute exit interval, not exact tick"
2,880710.0,881067.0,1.0,2.301,3995.44,3911.89,4.596753720000001,4.500629445,5.9683469458431,-192.24855000000042,-207.31428011084353,9962.44286301076,1.0,10169.757143121602,0.904004619836778,1630700880.0,2021-09-03T14:30:00Z,2021-09-03T14:30:00Z,2021-09-03T20:27:00Z,2021-09-03T20:28:00Z,stop,3912.678022648679,4160.130812129167,1.9899332688737197,"simulated minute open / intraminute exit interval, not exact tick"
3,907020.0,907063.0,-1.0,2.432,2767.94,2846.55,3.36581504,3.4614048000000004,0.0,-191.1795200000003,-198.0067398400003,9764.436123170759,1.0,9962.44286301076,0.6757007465501917,1632260640.0,2021-09-21T21:00:00Z,2021-09-21T21:00:00Z,2021-09-21T21:43:00Z,2021-09-21T21:44:00Z,stop,2845.9717765441123,2612.4426173736165,1.9927443602220094,"simulated minute open / intraminute exit interval, not exact tick"
4,907125.0,907269.0,-1.0,1.966,2755.42,2833.67,2.70857786,2.7854976099999997,-0.543511879061336,-153.8395,-158.79006359093864,9605.64605957982,1.0,9764.436123170759,0.5547842857146893,1632273000.0,2021-09-21T22:45:00Z,2021-09-21T22:45:00Z,2021-09-22T01:09:00Z,2021-09-22T01:10:00Z,stop,2833.0988216959827,2600.73232498788,1.9913751474955832,"simulated minute open / intraminute exit interval, not exact tick"
5,910650.0,911346.0,-1.0,2.218,2880.76,2963.9,3.1947628400000005,3.2869650999999998,0.7156265734156472,-184.4045199999997,-191.60187451341537,9414.044185066405,1.0,9605.64605957982,0.6651843759772571,1632517620.0,2021-09-24T09:30:00Z,2021-09-24T09:30:00Z,2021-09-24T21:06:00Z,2021-09-24T21:07:00Z,stop,2963.2986665829953,2716.2388578299383,1.993261449221872,"simulated minute open / intraminute exit interval, not exact tick"
6,911505.0,912945.0,-1.0,1.756,2917.88,2932.46,2.56189864,2.5746998800000003,-0.03937223310355048,-25.602479999999872,-30.699706286896323,9383.344478779509,4.0,9414.044185066405,0.5442716413130855,1632613500.0,2021-09-24T23:45:00Z,2021-09-24T23:45:00Z,2021-09-25T23:45:00Z,2021-09-25T23:45:00Z,timeout,3001.4822176263174,2751.231755743294,1.9933471741334117,"simulated minute open / intraminute exit interval, not exact tick"
7,939735.0,941175.0,1.0,2.312,3798.25,3826.57,4.390777,4.42351492,9.906899887410038,65.47584000000037,46.75464819259034,9430.099126972098,4.0,9383.344478779509,0.9358660997536155,1634307300.0,2021-10-14T14:15:00Z,2021-10-14T14:15:00Z,2021-10-15T14:15:00Z,2021-10-15T14:15:00Z,timeout,3722.42759067573,3949.1148749602667,1.9897135464933833,"simulated minute open / intraminute exit interval, not exact tick"
8,948405.0,948981.0,1.0,2.648,4056.71,4186.07,5.37108404,5.54235668,13.422981270383811,342.54527999999914,318.2088580096153,9748.307984981711,2.0,9430.099126972098,1.1391362842915518,1634775720.0,2021-10-20T14:45:00Z,2021-10-20T14:45:00Z,2021-10-21T00:21:00Z,2021-10-21T00:22:00Z,target,3991.1877281615816,4186.9080550873605,1.9870809029399394,"simulated minute open / intraminute exit interval, not exact tick"
9,949650.0,949654.0,1.0,2.447,4371.49,4297.09,5.348518015,5.257489615000001,0.0,-182.05679999999913,-192.66280762999912,9555.645177351713,1.0,9748.307984981711,1.0973223298319978,1634816100.0,2021-10-21T11:30:00Z,2021-10-21T11:30:00Z,2021-10-21T11:34:00Z,2021-10-21T11:35:00Z,stop,4297.957902480922,4517.313825042103,1.983131584193817,"simulated minute open / intraminute exit interval, not exact tick"
10,953190.0,953820.0,1.0,2.868,4126.37,4064.7200000000003,5.91721458,5.82880848,7.722762553207317,-176.81219999999894,-196.28098561320624,9359.364191738505,1.0,9555.645177351713,1.2384751568684593,1635066060.0,2021-10-23T22:30:00Z,2021-10-23T22:30:00Z,2021-10-24T09:00:00Z,2021-10-24T09:01:00Z,stop,4065.535084109915,4247.185358463338,1.9859542286805207,"simulated minute open / intraminute exit interval, not exact tick"
