trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,initial_stop_price,absolute_target,target_R_at_fill,timestamp_precision
1,877959.0,877966.0,1.0,2.564,3680.46,3811.31,4.71834972,4.886099420000001,0.0,335.49939999999975,325.89495085999977,10325.89495086,2.0,10000.0,0.943669944,1630514820.0,2021-09-01T16:35:00Z,2021-09-01T16:39:00Z,2021-09-01T16:46:00Z,2021-09-01T16:47:00Z,target,3607.6424599608745,3812.081679123084,1.8075545953950445,"simulated minute open / intraminute exit interval, not exact tick"
2,880714.0,880969.0,1.0,2.319,4025.2200000000003,3941.05,4.66724259,4.569647475,6.0150354486789,-195.19023000000016,-210.44215551367907,10115.45279534632,1.0,10325.89495086,0.9039880053421007,1630695000.0,2021-09-03T14:30:00Z,2021-09-03T14:34:00Z,2021-09-03T18:49:00Z,2021-09-03T18:50:00Z,stop,3941.841156499889,4160.130812129167,1.6180460949783595,"simulated minute open / intraminute exit interval, not exact tick"
3,907014.0,907063.0,-1.0,2.472,2764.26,2842.76,3.4166253600000007,3.5136513600000003,0.0,-194.052,-200.98227672000002,9914.47051862632,1.0,10115.45279534632,0.6755259362332927,1632260640.0,2021-09-21T20:50:00Z,2021-09-21T20:54:00Z,2021-09-21T21:43:00Z,2021-09-21T21:44:00Z,stop,2842.1880326270903,2599.694345807839,2.1117645171367196,"simulated minute open / intraminute exit interval, not exact tick"
4,907119.0,907273.0,-1.0,1.992,2762.75,2841.21,2.7516990000000003,2.82984516,-0.550699726902432,-156.29232000000007,-161.32316443309765,9753.147354193221,1.0,9914.47051862632,0.5550874340350062,1632273240.0,2021-09-21T22:35:00Z,2021-09-21T22:39:00Z,2021-09-22T01:13:00Z,2021-09-22T01:14:00Z,stop,2840.635463791573,2617.387172740358,1.8663665873344955,"simulated minute open / intraminute exit interval, not exact tick"
5,910644.0,910752.0,-1.0,2.216,2928.13,2757.4,3.2443680400000003,3.0551992000000006,0.0,378.3376800000001,372.0381127600001,10125.185466953222,2.0,9753.147354193221,0.6652966313700023,1632481980.0,2021-09-24T09:20:00Z,2021-09-24T09:24:00Z,2021-09-24T11:12:00Z,2021-09-24T11:13:00Z,target,3012.0258975345623,2756.8408005327465,2.0416874305050277,"simulated minute open / intraminute exit interval, not exact tick"
6,911499.0,912939.0,-1.0,2.309,2916.9700000000003,2930.81,3.3676418650000004,3.3836201450000005,-0.051771347514862204,-31.95655999999929,-38.656050662484425,10086.529416290738,4.0,10125.185466953222,0.6652010229326417,1632613140.0,2021-09-24T23:35:00Z,2021-09-24T23:39:00Z,2021-09-25T23:39:00Z,2021-09-25T23:39:00Z,timeout,3000.546144580805,2755.492744390071,1.932097447421809,"simulated minute open / intraminute exit interval, not exact tick"
7,939739.0,941179.0,1.0,2.482,3802.9300000000003,3818.37,4.719436130000001,4.73859717,10.63534840854313,38.32207999999901,18.228698291455885,10104.758114582191,4.0,10086.529416290738,0.935789890698707,1634307540.0,2021-10-14T14:15:00Z,2021-10-14T14:19:00Z,2021-10-15T14:19:00Z,2021-10-15T14:19:00Z,timeout,3727.0141663683153,3949.1148749602667,1.9256177264613938,"simulated minute open / intraminute exit interval, not exact tick"
8,948399.0,948981.0,1.0,2.839,4054.55,4180.83,5.755433725,5.934688185,14.39117969283219,358.50891999999925,332.42761839716707,10437.185732979357,2.0,10104.758114582191,1.1391531909495833,1634775720.0,2021-10-20T14:35:00Z,2021-10-20T14:39:00Z,2021-10-21T00:21:00Z,2021-10-21T00:22:00Z,target,3989.062615572112,4181.674278076817,1.9412025566053923,"simulated minute open / intraminute exit interval, not exact tick"
9,949649.0,949654.0,1.0,2.611,4386.12,4311.47,5.726079660000001,5.628624085,0.0,-194.91114999999905,-206.26585374499908,10230.919879234358,1.0,10437.185732979357,1.0972459064145554,1634816100.0,2021-10-21T11:25:00Z,2021-10-21T11:29:00Z,2021-10-21T11:34:00Z,2021-10-21T11:35:00Z,stop,4312.341813713315,4493.364347701647,1.453605097920415,"simulated minute open / intraminute exit interval, not exact tick"
10,952824.0,953974.0,1.0,3.078,4116.67,4055.1600000000003,6.3355551299999995,6.24089124,8.28823679873505,-189.32777999999925,-210.1924631687343,10020.727416065625,1.0,10230.919879234358,1.2385113371592795,1635075300.0,2021-10-23T16:20:00Z,2021-10-23T16:24:00Z,2021-10-24T11:34:00Z,2021-10-24T11:35:00Z,stop,4055.978090840803,4248.4825107274455,2.171830027322031,"simulated minute open / intraminute exit interval, not exact tick"
11,959559.0,960221.0,1.0,2.625,4099.56,4238.27,5.380672500000001,5.562729375000001,1.090443375,364.1137500000001,352.0799047500001,10372.807320815626,2.0,10020.727416065625,1.073908565035607,1635450120.0,2021-10-28T08:35:00Z,2021-10-28T08:39:00Z,2021-10-28T19:41:00Z,2021-10-28T19:42:00Z,target,4028.9771954782013,4239.122235829395,1.9772837984397702,"simulated minute open / intraminute exit interval, not exact tick"
12,967459.0,968899.0,1.0,2.2880000000000003,4529.01,4631.93,5.18118744,5.2989279200000015,8.419656776730267,235.48096000000018,216.5811878632699,10589.388508678896,4.0,10372.807320815626,0.9989942509782584,1635970740.0,2021-11-02T20:15:00Z,2021-11-02T20:19:00Z,2021-11-03T20:19:00Z,2021-11-03T20:19:00Z,timeout,4444.708256737221,4698.982626757576,2.0162409480400667,"simulated minute open / intraminute exit interval, not exact tick"
13,1000259.0,1001117.0,1.0,2.2760000000000002,4487.8,4400.1900000000005,5.107116400000001,5.007416220000001,6.271887065610162,-199.40035999999927,-215.78677968560945,10373.601728993286,1.0,10589.388508678896,0.9645724860910124,1637903880.0,2021-11-25T14:55:00Z,2021-11-25T14:59:00Z,2021-11-26T05:17:00Z,2021-11-26T05:18:00Z,stop,4401.0768381229545,4658.275789308274,1.9657469310213889,"simulated minute open / intraminute exit interval, not exact tick"
14,1012629.0,1012645.0,-1.0,1.951,3888.4,3716.79,3.7931342000000003,3.625728645,0.0,334.81111000000027,327.3922471550003,10700.993976148287,2.0,10373.601728993286,0.7313051530402465,1638595560.0,2021-12-04T05:05:00Z,2021-12-04T05:09:00Z,2021-12-04T05:25:00Z,2021-12-04T05:26:00Z,target,3989.262538262247,3716.038240618814,1.708877868342343,"simulated minute open / intraminute exit interval, not exact tick"
15,1012839.0,1013475.0,-1.0,1.971,3969.19,4072.9700000000003,3.9116367450000005,4.013911935,-0.7953239555596081,-204.55038000000042,-211.68060472444083,10489.313371423845,1.0,10700.993976148287,0.7310791415673619,1638645360.0,2021-12-04T08:35:00Z,2021-12-04T08:39:00Z,2021-12-04T19:15:00Z,2021-12-04T19:16:00Z,stop,4072.14817771966,3738.4613097321244,2.2409943083502863,"simulated minute open / intraminute exit interval, not exact tick"
16,1026199.0,1026453.0,-1.0,2.106,3870.28,3689.91,4.07540484,3.8854752299999995,-0.33378507169768595,379.85922000000073,372.2321250016984,10861.545496425544,2.0,10489.313371423845,0.7770584585836995,1639424040.0,2021-12-13T15:15:00Z,2021-12-13T15:19:00Z,2021-12-13T19:33:00Z,2021-12-13T19:34:00Z,target,3964.439754125438,3689.171665237208,1.9234155446234888,"simulated minute open / intraminute exit interval, not exact tick"
17,1031924.0,1031973.0,-1.0,2.569,3708.07,3788.15,4.763015915,4.865878675,0.0,-205.72551999999982,-215.35441458999983,10646.191081835545,1.0,10861.545496425544,0.8770420225312271,1639755240.0,2021-12-17T14:40:00Z,2021-12-17T14:44:00Z,2021-12-17T15:33:00Z,2021-12-17T15:34:00Z,stop,3787.391961231606,3571.250615522274,1.7248613417189564,"simulated minute open / intraminute exit interval, not exact tick"
18,1047869.0,1049120.0,-1.0,2.837,3841.73,3716.05,5.449494005000001,5.271216925000001,-1.9442984408032,356.55415999999957,347.7777475108028,10993.968829346346,2.0,10646.191081835545,1.0237452931495639,1640784060.0,2021-12-28T16:25:00Z,2021-12-28T16:29:00Z,2021-12-29T13:20:00Z,2021-12-29T13:21:00Z,target,3911.3589333786454,3715.2996625311966,1.8157730031748358,"simulated minute open / intraminute exit interval, not exact tick"
19,1049759.0,1050164.0,-1.0,2.996,3623.44,3692.48,5.42791312,5.53133504,-1.0035596411904,-206.8438399999999,-216.79952851880947,10777.169300827536,1.0,10993.968829346346,0.9874346933768268,1640846700.0,2021-12-29T23:55:00Z,2021-12-29T23:59:00Z,2021-12-30T06:44:00Z,2021-12-30T06:45:00Z,stop,3691.733418853877,3479.7802231121173,2.1035669219498665,"simulated minute open / intraminute exit interval, not exact tick"
20,1056749.0,1056815.0,-1.0,4.098,3685.27,3733.4300000000003,7.55111823,7.649798070000001,0.0,-197.35968000000125,-212.56059630000127,10564.608704527534,1.0,10777.169300827536,1.401317548091256,1641245760.0,2022-01-03T20:25:00Z,2022-01-03T20:29:00Z,2022-01-03T21:35:00Z,2022-01-03T21:36:00Z,stop,3732.681570826896,3605.401898078877,1.684569832388147,"simulated minute open / intraminute exit interval, not exact tick"
21,1059599.0,1059691.0,-1.0,4.374,3652.89,3573.4,7.9888704299999995,7.8150258,0.0,347.689259999999,331.885363769999,10896.494068297534,2.0,10564.608704527534,1.5123835919405733,1641418320.0,2022-01-05T19:55:00Z,2022-01-05T19:59:00Z,2022-01-05T21:31:00Z,2022-01-05T21:32:00Z,target,3696.052769637881,3572.676523645414,1.8583950248685683,"simulated minute open / intraminute exit interval, not exact tick"
22,1060124.0,1060155.0,-1.0,4.184,3420.38,3468.35,7.155434960000001,7.2557882000000005,0.0,-200.70647999999917,-215.1177031599992,10681.376365137536,1.0,10896.494068297534,1.313346277279801,1641446160.0,2022-01-06T04:40:00Z,2022-01-06T04:44:00Z,2022-01-06T05:15:00Z,2022-01-06T05:16:00Z,stop,3467.650347418527,3318.954999243559,2.1456368801023227,"simulated minute open / intraminute exit interval, not exact tick"
23,1060359.0,1060433.0,-1.0,3.418,3392.33,3315.5,5.79749197,5.666189500000001,0.0,262.6049399999998,251.14125852999976,10932.517623667536,2.0,10681.376365137536,1.0855327575427776,1641462840.0,2022-01-06T08:35:00Z,2022-01-06T08:39:00Z,2022-01-06T09:53:00Z,2022-01-06T09:54:00Z,target,3439.2126907122283,3314.8321945686716,1.6530153080807435,"simulated minute open / intraminute exit interval, not exact tick"
