trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,initial_stop_price,absolute_target,target_R_at_fill,timestamp_precision
1,832335.0,832620.0,-1.0,10357.0,1.1781000000000001,1.1958,6.10079085,6.1924503,0.0,-183.3188999999982,-195.6121411499982,9804.387858850003,1.0,10000.0,1.2201581700000002,1630472460.0,2021-09-01T00:15:00Z,2021-09-01T00:15:00Z,2021-09-01T05:00:00Z,2021-09-01T05:01:00Z,stop,1.1955606750765904,1.1434697572188204,1.983327828350067,"simulated minute open / intraminute exit interval, not exact tick"
2,832800.0,832904.0,-1.0,8411.0,1.1861000000000002,1.204,4.988143550000001,5.063422,0.0,-150.55689999999836,-160.60846554999836,9643.779393300005,1.0,9804.387858850003,1.017532888705013,1630489500.0,2021-09-01T08:00:00Z,2021-09-01T08:00:00Z,2021-09-01T09:44:00Z,2021-09-01T09:45:00Z,stop,1.2036792434499142,1.1512326204721728,1.9834402787110865,"simulated minute open / intraminute exit interval, not exact tick"
3,833775.0,833853.0,-1.0,8150.0,1.231,1.2478,5.016325000000001,5.084785,0.0,-136.9199999999994,-147.0211099999994,9496.758283300005,1.0,9643.779393300005,1.040323465608324,1630546440.0,2021-09-02T00:15:00Z,2021-09-02T00:15:00Z,2021-09-02T01:33:00Z,2021-09-02T01:34:00Z,stop,1.2475001051722774,1.198194428126551,1.9882038042137609,"simulated minute open / intraminute exit interval, not exact tick"
4,836145.0,836423.0,-1.0,10800.0,1.3076,1.2770000000000001,7.061040000000001,6.895800000000001,-9.154115657500318,330.47999999999956,325.6772756574999,9822.435558957504,2.0,9496.758283300005,1.4870421652021615,1630700640.0,2021-09-03T15:45:00Z,2021-09-03T15:45:00Z,2021-09-03T20:23:00Z,2021-09-03T20:24:00Z,target,1.3231548392229235,1.276685563267453,1.9874481689909018,"simulated minute open / intraminute exit interval, not exact tick"
5,839010.0,839335.0,-1.0,9639.0,1.2908000000000002,1.3058,6.2210106000000005,6.2933031,-6.315605249499001,-144.58499999999907,-150.78370845050006,9671.651850507005,1.0,9822.435558957504,1.266694103037773,1630875360.0,2021-09-05T15:30:00Z,2021-09-05T15:30:00Z,2021-09-05T20:55:00Z,2021-09-05T20:56:00Z,stop,1.3054741149017632,1.2618426756102314,1.9733608864061356,"simulated minute open / intraminute exit interval, not exact tick"
6,840225.0,840243.0,-1.0,11897.0,1.3572,1.3294000000000001,8.073304199999999,7.907935900000001,0.0,330.7365999999979,314.7553598999979,9986.407210407004,2.0,9671.651850507005,1.6694778358004652,1630929840.0,2021-09-06T11:45:00Z,2021-09-06T11:45:00Z,2021-09-06T12:03:00Z,2021-09-06T12:04:00Z,target,1.3713583597533565,1.3290791076787412,1.9861687943472581,"simulated minute open / intraminute exit interval, not exact tick"
7,840375.0,840420.0,-1.0,12244.0,1.3617000000000001,1.3762,8.3363274,8.425096400000001,0.0,-177.53799999999947,-194.29942379999946,9792.107786607005,1.0,9986.407210407004,1.6695348435847024,1630940460.0,2021-09-06T14:15:00Z,2021-09-06T14:15:00Z,2021-09-06T15:00:00Z,2021-09-06T15:01:00Z,stop,1.375905303916995,1.3336810465369189,1.9724290044621948,"simulated minute open / intraminute exit interval, not exact tick"
8,840465.0,840516.0,-1.0,5673.0,1.3621,1.3766,3.8635966500000003,3.9047259,-4.4194347048447735,-82.25849999999976,-85.60738784515499,9706.50039876185,1.0,9792.107786607005,0.789124616312817,1630946220.0,2021-09-06T15:45:00Z,2021-09-06T15:45:00Z,2021-09-06T16:36:00Z,2021-09-06T16:37:00Z,stop,1.3763094767315407,1.3339747873151004,1.9793278258073004,"simulated minute open / intraminute exit interval, not exact tick"
9,841380.0,841470.0,-1.0,12024.0,1.3476000000000001,1.3201,8.101771200000002,7.9364412,-8.339485381395983,330.66000000000093,322.961272981397,10029.461671743245,2.0,9706.50039876185,1.669349583714735,1631003460.0,2021-09-07T07:00:00Z,2021-09-07T07:00:00Z,2021-09-07T08:30:00Z,2021-09-07T08:31:00Z,target,1.3616582122042613,1.3197773163696593,1.9791053959128289,"simulated minute open / intraminute exit interval, not exact tick"
10,843180.0,843339.0,-1.0,9545.0,1.0914000000000001,1.111,5.208706500000002,5.3022475,0.0,-187.08199999999846,-197.59295399999846,9831.868717743248,1.0,10029.461671743245,1.0386811716275621,1631115600.0,2021-09-08T13:00:00Z,2021-09-08T13:00:00Z,2021-09-08T15:39:00Z,2021-09-08T15:40:00Z,stop,1.1106867730513676,1.052826453897265,2.0000000000000084,"simulated minute open / intraminute exit interval, not exact tick"
11,843360.0,843760.0,-1.0,7673.0,1.1024,1.1222,4.2293576,4.3053203,0.0,-151.9254000000003,-160.46007790000033,9671.408639843248,1.0,9831.868717743248,0.8603364673426566,1631140860.0,2021-09-08T16:00:00Z,2021-09-08T16:00:00Z,2021-09-08T22:40:00Z,2021-09-08T22:41:00Z,stop,1.1218811605385997,1.0637270759689519,1.9851447738148063,"simulated minute open / intraminute exit interval, not exact tick"
