trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,initial_stop_price,absolute_target,target_R_at_fill,timestamp_precision
1,840830.0,840905.0,1.0,4841.0,1.4099000000000002,1.3704,3.4126629500000005,3.3170532,0.0,-191.21950000000044,-197.94921615000044,9802.05078385,1.0,10000.0,0.6825325900000001,1630969560.0,2021-09-06T21:50:00Z,2021-09-06T21:50:00Z,2021-09-06T23:05:00Z,2021-09-06T23:06:00Z,stop,1.370765129496002,1.5661061733809092,3.991483078114443,"simulated minute open / intraminute exit interval, not exact tick"
2,841475.0,841848.0,-1.0,5345.0,1.2998,1.1617,3.4737155000000004,3.10464325,0.0,738.1445000000006,731.5661412500006,10533.6169251,2.0,9802.05078385,0.7087732101374835,1631026140.0,2021-09-07T08:35:00Z,2021-09-07T08:35:00Z,2021-09-07T14:48:00Z,2021-09-07T14:49:00Z,target,1.334451981518324,1.1614600825604775,3.992265705393182,"simulated minute open / intraminute exit interval, not exact tick"
3,842900.0,842926.0,-1.0,5437.0,1.0305,1.0679,2.8014142499999997,2.90308615,0.0,-203.34380000000056,-209.04830040000056,10324.5686247,1.0,10533.6169251,0.5318997776204787,1631090820.0,2021-09-08T08:20:00Z,2021-09-08T08:20:00Z,2021-09-08T08:46:00Z,2021-09-08T08:47:00Z,stop,1.0675986534434942,0.8822765857187398,3.9953852909249643,"simulated minute open / intraminute exit interval, not exact tick"
4,845370.0,845466.0,1.0,4787.0,1.1879,1.1464,2.84323865,2.7439084000000005,0.0,-198.6604999999994,-204.2476470499994,10120.320977649999,1.0,10324.5686247,0.5507714178387991,1631243220.0,2021-09-10T01:30:00Z,2021-09-10T01:30:00Z,2021-09-10T03:06:00Z,2021-09-10T03:07:00Z,stop,1.14663398565276,1.3527362664878084,3.9944799393700934,"simulated minute open / intraminute exit interval, not exact tick"
5,859935.0,861375.0,-1.0,6647.0,0.9716,0.9410000000000001,3.2291126,3.1274135000000003,-1.8704087421520001,203.39819999999975,198.91208264215174,10319.23306029215,4.0,10120.320977649999,0.6381443053300904,1632197700.0,2021-09-20T04:15:00Z,2021-09-20T04:15:00Z,2021-09-21T04:15:00Z,2021-09-21T04:15:00Z,timeout,1.0004877055924293,0.8563134991137015,3.990850035404424,"simulated minute open / intraminute exit interval, not exact tick"
6,863030.0,863256.0,1.0,6664.0,0.9479000000000001,0.9182,3.1584028,3.0594424,0.629466939136,-197.92080000000038,-204.76811213913638,10114.464948153014,1.0,10319.23306029215,0.6121390575339098,1632310620.0,2021-09-22T07:50:00Z,2021-09-22T07:50:00Z,2021-09-22T11:36:00Z,2021-09-22T11:37:00Z,stop,0.9184575821928473,1.0655572469569334,3.9961815543677925,"simulated minute open / intraminute exit interval, not exact tick"
7,863450.0,864890.0,1.0,5376.0,0.9473,0.9957,2.5463424,2.6764416,1.598189150208,260.1984,253.377426849792,10367.842375002805,4.0,10114.464948153014,0.5035051113534154,1632408600.0,2021-09-22T14:50:00Z,2021-09-22T14:50:00Z,2021-09-23T14:50:00Z,2021-09-23T14:50:00Z,timeout,0.9178762186003633,1.0647702770551928,3.99235827168845,"simulated minute open / intraminute exit interval, not exact tick"
8,866075.0,866677.0,-1.0,6192.0,0.9098,0.9420000000000001,2.8167408000000003,2.9164320000000004,-0.5705843912640001,-199.38240000000005,-204.54498840873606,10163.297386594068,1.0,10367.842375002805,0.5433610385110119,1632515880.0,2021-09-24T10:35:00Z,2021-09-24T10:35:00Z,2021-09-24T20:37:00Z,2021-09-24T20:38:00Z,stop,0.9418113686536427,0.7818404513609608,3.9973157668932844,"simulated minute open / intraminute exit interval, not exact tick"
9,873425.0,873459.0,1.0,7664.0,0.9731000000000001,0.9479000000000001,3.7289192000000004,3.6323528,0.0,-193.1328,-200.49407200000002,9962.803314594066,1.0,10163.297386594068,0.733801060454778,1632922800.0,2021-09-29T13:05:00Z,2021-09-29T13:05:00Z,2021-09-29T13:39:00Z,2021-09-29T13:40:00Z,stop,0.9481406118384154,1.0726067734193387,3.9867473022632316,"simulated minute open / intraminute exit interval, not exact tick"
10,873535.0,873701.0,1.0,6347.0,0.9526,0.9279000000000001,3.0230761000000004,2.94469065,0.59509472,-156.77089999999964,-163.33376146999964,9799.469553124067,1.0,9962.803314594066,0.6068725848620601,1632937320.0,2021-09-29T14:55:00Z,2021-09-29T14:55:00Z,2021-09-29T17:41:00Z,2021-09-29T17:42:00Z,stop,0.9281664236330022,1.050224045725658,3.9954873678467195,"simulated minute open / intraminute exit interval, not exact tick"
11,876200.0,877640.0,1.0,6848.0,1.0234,1.0134,3.5041216000000004,3.4698816000000003,2.112249568832,-68.48000000000006,-77.56625276883206,9721.903300355234,4.0,9799.469553124067,0.715165567075595,1633173600.0,2021-10-01T11:20:00Z,2021-10-01T11:20:00Z,2021-10-02T11:20:00Z,2021-10-02T11:20:00Z,timeout,0.9964158017238208,1.1308946055756555,3.983613093687791,"simulated minute open / intraminute exit interval, not exact tick"
12,887920.0,889360.0,1.0,5887.0,1.1444,1.1853,3.3685414000000002,3.48893055,8.78426325036607,240.77829999999963,225.13656479963356,9947.03986515487,4.0,9721.903300355234,0.6929798200887094,1633876800.0,2021-10-09T14:40:00Z,2021-10-09T14:40:00Z,2021-10-10T14:40:00Z,2021-10-10T14:40:00Z,timeout,1.113179041590134,1.2688401832257488,3.9857899809515325,"simulated minute open / intraminute exit interval, not exact tick"
13,891970.0,892169.0,-1.0,7459.0,1.0718,1.097,3.9972781000000004,4.0912615,0.0,-187.96679999999918,-196.05533959999917,9750.98452555487,1.0,9947.03986515487,0.8037120900666593,1634045400.0,2021-10-12T10:10:00Z,2021-10-12T10:10:00Z,2021-10-12T13:29:00Z,2021-10-12T13:30:00Z,stop,1.096768181844739,0.972289999724094,3.985472426254141,"simulated minute open / intraminute exit interval, not exact tick"
14,899785.0,899799.0,-1.0,10039.0,1.044,1.062,5.2403580000000005,5.330709,0.0,-180.70200000000017,-191.2730670000002,9559.71145855487,1.0,9750.98452555487,1.0748366970055883,1634503200.0,2021-10-17T20:25:00Z,2021-10-17T20:25:00Z,2021-10-17T20:39:00Z,2021-10-17T20:40:00Z,stop,1.0617644734642386,0.973221687208029,3.9842617871255013,"simulated minute open / intraminute exit interval, not exact tick"
15,899910.0,900039.0,-1.0,7866.0,1.0868,1.1056000000000001,4.2743844,4.3483248,-0.8609811083819999,-147.8808000000012,-155.6425280916192,9404.06893046325,1.0,9559.71145855487,0.8942496682104155,1634517600.0,2021-10-17T22:30:00Z,2021-10-17T22:30:00Z,2021-10-18T00:39:00Z,2021-10-18T00:40:00Z,stop,1.1052927488131556,1.0132017795006887,3.9798421123285723,"simulated minute open / intraminute exit interval, not exact tick"
16,903775.0,904443.0,1.0,9067.0,1.1414,1.1222,5.1745369000000005,5.0874937000000005,11.991157595175,-174.08639999999895,-196.33958819517395,9207.729342268076,1.0,9404.06893046325,1.1004889347924205,1634781840.0,2021-10-20T14:55:00Z,2021-10-20T14:55:00Z,2021-10-21T02:03:00Z,2021-10-21T02:04:00Z,stop,1.122454516099922,1.2169686568311513,3.9887425008363135,"simulated minute open / intraminute exit interval, not exact tick"
17,905250.0,905272.0,-1.0,5875.0,1.0942,1.1131,3.2142125000000004,3.26973125,0.0,-111.03749999999951,-117.52144374999952,9090.207898518078,1.0,9207.729342268076,0.6981552955178992,1634831580.0,2021-10-21T15:30:00Z,2021-10-21T15:30:00Z,2021-10-21T15:52:00Z,2021-10-21T15:53:00Z,stop,1.1128618120178966,1.0198322856750588,3.985021082284162,"simulated minute open / intraminute exit interval, not exact tick"
18,905395.0,906657.0,-1.0,1260.0,1.0977000000000001,1.1167,0.691551,0.7035210000000001,-0.67563812474928,-23.93999999999988,-24.6594338752506,9065.548464642827,1.0,9090.207898518078,0.15215295573443144,1634914680.0,2021-10-21T17:55:00Z,2021-10-21T17:55:00Z,2021-10-22T14:57:00Z,2021-10-22T14:58:00Z,stop,1.1164215052568498,1.0231866906347942,3.980091789785096,"simulated minute open / intraminute exit interval, not exact tick"
19,912770.0,912842.0,1.0,9679.0,1.1426,1.1254,5.5296127,5.4463733,0.0,-166.478800000001,-177.454786000001,8888.093678642825,1.0,9065.548464642827,1.2199179611837996,1635285780.0,2021-10-26T20:50:00Z,2021-10-26T20:50:00Z,2021-10-26T22:02:00Z,2021-10-26T22:03:00Z,stop,1.125668868822818,1.210218597479189,3.9937436413178578,"simulated minute open / intraminute exit interval, not exact tick"
20,913445.0,913445.0,-1.0,10581.0,1.0222,1.0376,5.4079491,5.489422800000001,0.0,-162.94740000000084,-173.84477190000084,8714.248906742825,1.0,8888.093678642825,1.2168974125452223,1635321960.0,2021-10-27T08:05:00Z,2021-10-27T08:05:00Z,2021-10-27T08:05:00Z,2021-10-27T08:06:00Z,stop,1.0373676971750887,0.9614351466145246,4.006201645776179,"simulated minute open / intraminute exit interval, not exact tick"
21,914785.0,916225.0,1.0,8012.0,1.0457,1.0644,4.1890742,4.2639864,2.53833812448,149.8243999999995,138.83300127551954,8853.081908018345,4.0,8714.248906742825,0.9614309264814824,1635488700.0,2021-10-28T06:25:00Z,2021-10-28T06:25:00Z,2021-10-29T06:25:00Z,2021-10-29T06:25:00Z,timeout,1.0256134954847775,1.125830651126194,3.989278028213758,"simulated minute open / intraminute exit interval, not exact tick"
22,919040.0,919119.0,1.0,7981.0,1.1398000000000001,1.1191,4.548371900000001,4.46576855,0.0,-165.2067000000013,-174.2208404500013,8678.861067568343,1.0,8853.081908018345,1.027522832671521,1635662400.0,2021-10-31T05:20:00Z,2021-10-31T05:20:00Z,2021-10-31T06:39:00Z,2021-10-31T06:40:00Z,stop,1.1194130815340253,1.2211333647440772,3.989487910093931,"simulated minute open / intraminute exit interval, not exact tick"
23,922730.0,922832.0,1.0,7768.0,1.145,1.1242,4.44718,4.366392800000001,0.0,-161.57439999999946,-170.38797279999946,8508.473094768344,1.0,8678.861067568343,1.0248303240199277,1635885180.0,2021-11-02T18:50:00Z,2021-11-02T18:50:00Z,2021-11-02T20:32:00Z,2021-11-02T20:33:00Z,stop,1.1244579110903026,1.2269540030875867,3.989565201857249,"simulated minute open / intraminute exit interval, not exact tick"
24,923315.0,923785.0,1.0,7196.0,1.1906,1.1685,4.2837788,4.204263,7.576685752117057,-159.03160000000005,-175.0963275521171,8333.376767216227,1.0,8508.473094768344,1.0069441960471128,1635942360.0,2021-11-03T04:35:00Z,2021-11-03T04:35:00Z,2021-11-03T12:25:00Z,2021-11-03T12:26:00Z,stop,1.1688200269706412,1.2775052574975598,3.9901453220540626,"simulated minute open / intraminute exit interval, not exact tick"
25,924130.0,925397.0,1.0,5590.0,1.1906,1.1685,3.3277270000000003,3.2659575000000003,5.791769263188363,-123.53900000000004,-135.9244537631884,8197.45231345304,1.0,8333.376767216227,0.7986503173818771,1636039080.0,2021-11-03T18:10:00Z,2021-11-03T18:10:00Z,2021-11-04T15:17:00Z,2021-11-04T15:18:00Z,stop,1.1688200269706412,1.2775052574975598,3.9901453220540626,"simulated minute open / intraminute exit interval, not exact tick"
26,926830.0,927289.0,-1.0,6770.0,1.1396,1.1623,3.8575459999999997,3.9343855000000003,-4.56716816887482,-153.6790000000011,-156.9037633311263,8040.548550121914,1.0,8197.45231345304,0.9411572894835355,1636152600.0,2021-11-05T15:10:00Z,2021-11-05T15:10:00Z,2021-11-05T22:49:00Z,2021-11-05T22:50:00Z,stop,1.1620181303919148,1.050203872117431,3.9876709752214423,"simulated minute open / intraminute exit interval, not exact tick"
