trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,initial_stop_price,absolute_target,target_R_at_fill,timestamp_precision
1,832335.0,832620.0,-1.0,10357.0,1.1781000000000001,1.1958,6.10079085,6.1924503,0.0,-183.3188999999982,-195.6121411499982,9804.387858850003,1.0,10000.0,1.2201581700000002,1630472460.0,2021-09-01T00:15:00Z,2021-09-01T00:15:00Z,2021-09-01T05:00:00Z,2021-09-01T05:01:00Z,stop,1.1955606750765904,1.1354,2.4454953667426502,"simulated minute open / intraminute exit interval, not exact tick"
2,832800.0,832904.0,-1.0,8411.0,1.1861000000000002,1.204,4.988143550000001,5.063422,0.0,-150.55689999999836,-160.60846554999836,9643.779393300005,1.0,9804.387858850003,1.017532888705013,1630489500.0,2021-09-01T08:00:00Z,2021-09-01T08:00:00Z,2021-09-01T09:44:00Z,2021-09-01T09:45:00Z,stop,1.2036792434499142,1.1354,2.88408316003203,"simulated minute open / intraminute exit interval, not exact tick"
3,833775.0,833853.0,-1.0,8150.0,1.231,1.2478,5.016325000000001,5.084785,0.0,-136.9199999999994,-147.0211099999994,9496.758283300005,1.0,9643.779393300005,1.040323465608324,1630546440.0,2021-09-02T00:15:00Z,2021-09-02T00:15:00Z,2021-09-02T01:33:00Z,2021-09-02T01:34:00Z,stop,1.2475001051722774,1.1864,2.7030130738157254,"simulated minute open / intraminute exit interval, not exact tick"
4,836145.0,837299.0,-1.0,10800.0,1.3076,1.2643,7.061040000000001,6.8272200000000005,-25.18917113263428,467.64000000000124,478.9409111326355,9975.699194432642,2.0,9496.758283300005,1.4870421652021615,1630753200.0,2021-09-03T15:45:00Z,2021-09-03T15:45:00Z,2021-09-04T10:59:00Z,2021-09-04T11:00:00Z,target,1.3231548392229235,1.264,2.8029862202462303,"simulated minute open / intraminute exit interval, not exact tick"
5,839010.0,839335.0,-1.0,9639.0,1.2908000000000002,1.3058,6.2210106000000005,6.2933031,-6.315605249499001,-144.58499999999907,-150.78370845050006,9824.915485982143,1.0,9975.699194432642,1.2472329966548905,1630875360.0,2021-09-05T15:30:00Z,2021-09-05T15:30:00Z,2021-09-05T20:55:00Z,2021-09-05T20:56:00Z,stop,1.3054741149017632,1.2493,2.828109243918612,"simulated minute open / intraminute exit interval, not exact tick"
6,840225.0,840243.0,-1.0,12085.0,1.3572,1.3236,8.200880999999999,7.997853000000001,0.0,406.0559999999982,389.8572659999982,10214.77275198214,2.0,9824.915485982143,1.6694048944646371,1630929840.0,2021-09-06T11:45:00Z,2021-09-06T11:45:00Z,2021-09-06T12:03:00Z,2021-09-06T12:04:00Z,target,1.3713583597533565,1.3233,2.3943451494770387,"simulated minute open / intraminute exit interval, not exact tick"
7,840375.0,840420.0,-1.0,12524.0,1.3617000000000001,1.3762,8.526965400000002,8.6177644,0.0,-181.59799999999947,-198.74272979999947,10016.03002218214,1.0,10214.77275198214,1.6695359959614127,1630940460.0,2021-09-06T14:15:00Z,2021-09-06T14:15:00Z,2021-09-06T15:00:00Z,2021-09-06T15:01:00Z,stop,1.375905303916995,1.3233,2.7032156597550308,"simulated minute open / intraminute exit interval, not exact tick"
8,840465.0,840516.0,-1.0,5673.0,1.3621,1.3766,3.8635966500000003,3.9047259,-4.4194347048447735,-82.25849999999976,-85.60738784515499,9930.422634336985,1.0,10016.03002218214,0.771482641614179,1630946220.0,2021-09-06T15:45:00Z,2021-09-06T15:45:00Z,2021-09-06T16:36:00Z,2021-09-06T16:37:00Z,stop,1.3763094767315407,1.3233,2.730572049418001,"simulated minute open / intraminute exit interval, not exact tick"
9,841380.0,841467.0,-1.0,12301.0,1.3476000000000001,1.3236,8.2884138,8.140801800000002,-8.531604264516966,295.2240000000003,287.3263886645172,10217.749023001501,2.0,9930.422634336985,1.6692972908002288,1631003280.0,2021-09-07T07:00:00Z,2021-09-07T07:00:00Z,2021-09-07T08:27:00Z,2021-09-07T08:28:00Z,target,1.3616582122042613,1.3233,1.7285270450416679,"simulated minute open / intraminute exit interval, not exact tick"
10,843180.0,843339.0,-1.0,9724.0,1.0914000000000001,1.111,5.306386800000001,5.401682,0.0,-190.59039999999845,-201.29846879999846,10016.450554201501,1.0,10217.749023001501,1.0386606263384675,1631115600.0,2021-09-08T13:00:00Z,2021-09-08T13:00:00Z,2021-09-08T15:39:00Z,2021-09-08T15:40:00Z,stop,1.1106867730513676,1.0492,2.188028027685432,"simulated minute open / intraminute exit interval, not exact tick"
11,843360.0,843760.0,-1.0,7817.0,1.1024,1.1222,4.308730400000001,4.3861187,0.0,-154.77660000000031,-163.4714491000003,9852.979105101502,1.0,10016.450554201501,0.8603307881737927,1631140860.0,2021-09-08T16:00:00Z,2021-09-08T16:00:00Z,2021-09-08T22:40:00Z,2021-09-08T22:41:00Z,stop,1.1218811605385997,1.0492,2.730843467697459,"simulated minute open / intraminute exit interval, not exact tick"
12,843840.0,843859.0,-1.0,9126.0,1.0998,1.1195000000000002,5.018387400000001,5.108278500000001,0.0,-179.78220000000047,-189.90886590000048,9663.070239201501,1.0,9852.979105101502,1.0186538196151596,1631146800.0,2021-09-09T00:00:00Z,2021-09-09T00:00:00Z,2021-09-09T00:19:00Z,2021-09-09T00:20:00Z,stop,1.119235214405254,1.0492,2.603521574031197,"simulated minute open / intraminute exit interval, not exact tick"
13,843915.0,844328.0,-1.0,7712.0,1.1002,1.1199000000000001,4.242371200000001,4.3183344,-1.42285220064,-151.9264000000004,-159.0642533993604,9504.00598580214,1.0,9663.070239201501,0.878058649059466,1631174940.0,2021-09-09T01:15:00Z,2021-09-09T01:15:00Z,2021-09-09T08:08:00Z,2021-09-09T08:09:00Z,stop,1.1196422830411532,1.0492,2.623148726517832,"simulated minute open / intraminute exit interval, not exact tick"
14,845460.0,845716.0,-1.0,8804.0,1.1583,1.111,5.0988366,4.8906220000000005,0.0,416.42920000000106,406.439741400001,9910.445727202141,2.0,9504.00598580214,1.0729868242122447,1631258220.0,2021-09-10T03:00:00Z,2021-09-10T03:00:00Z,2021-09-10T07:16:00Z,2021-09-10T07:17:00Z,target,1.1780682554538393,1.1107,2.407900895005667,"simulated minute open / intraminute exit interval, not exact tick"
15,846630.0,847380.0,1.0,10138.0,1.0509,1.0982,5.3270121,5.5667758,2.1561371472240003,479.5274000000012,466.4774749527772,10376.923202154918,2.0,9910.445727202141,1.0750297709372332,1631358060.0,2021-09-10T22:30:00Z,2021-09-10T22:30:00Z,2021-09-11T11:00:00Z,2021-09-11T11:01:00Z,target,1.033021819764254,1.0985,2.6624633700038305,"simulated minute open / intraminute exit interval, not exact tick"
16,860400.0,860426.0,1.0,11662.0,0.9191,0.9026000000000001,5.3592721,5.263060600000001,0.0,-192.42299999999952,-203.0453326999995,10173.877869454918,1.0,10376.923202154918,1.0329212225232756,1632140820.0,2021-09-20T12:00:00Z,2021-09-20T12:00:00Z,2021-09-20T12:26:00Z,2021-09-20T12:27:00Z,stop,0.9027913656621517,0.9575,2.354580966407658,"simulated minute open / intraminute exit interval, not exact tick"
17,860460.0,861128.0,1.0,9545.0,0.9178000000000001,0.9013,4.3802005,4.30145425,1.7714565500000001,-157.49250000000066,-167.94561130000068,10005.932258154917,1.0,10173.877869454918,0.8610680325052253,1632182940.0,2021-09-20T13:00:00Z,2021-09-20T13:00:00Z,2021-09-21T00:08:00Z,2021-09-21T00:09:00Z,stop,0.9015144330374528,0.9575,2.437741350442393,"simulated minute open / intraminute exit interval, not exact tick"
