trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,initial_stop_price,absolute_target,target_R_at_fill,timestamp_precision
1,841551.0,841816.0,1.0,13921.0,1.2789000000000001,1.2662,8.901783450000002,8.8133851,0.0,-176.79670000000218,-194.5118685500022,9805.488131449998,1.0,10000.0,1.78035669,1631024220.0,2021-09-07T09:50:00Z,2021-09-07T09:51:00Z,2021-09-07T14:16:00Z,2021-09-07T14:17:00Z,stop,1.2665239673599211,1.3029385173517067,1.94234437244932,"simulated minute open / intraminute exit interval, not exact tick"
2,876336.0,876359.0,-1.0,15651.0,1.0356,1.0190000000000001,8.1040878,7.974184500000002,0.0,259.8065999999992,243.7283276999992,10049.216459149997,2.0,9805.488131449998,1.6529697841369166,1633096800.0,2021-10-01T13:35:00Z,2021-10-01T13:36:00Z,2021-10-01T13:59:00Z,2021-10-01T14:00:00Z,target,1.0464801097707457,1.0187347195298613,1.5501020509449492,"simulated minute open / intraminute exit interval, not exact tick"
3,876871.0,877164.0,-1.0,15973.0,1.04,1.0208000000000002,8.30596,8.152619200000002,-1.6644518337320002,306.6815999999981,291.8874726337301,10341.103931783728,2.0,10049.216459149997,1.653056242496851,1633145100.0,2021-10-01T22:30:00Z,2021-10-01T22:31:00Z,2021-10-02T03:24:00Z,2021-10-02T03:25:00Z,target,1.0509263365793504,1.0205947963769753,1.7760027326723968,"simulated minute open / intraminute exit interval, not exact tick"
4,889951.0,890106.0,1.0,15253.0,1.1415,1.1608,8.705649750000001,8.8528412,0.0,294.3829000000014,276.8244090500014,10617.928340833729,2.0,10341.103931783728,1.6836983377070402,1633921620.0,2021-10-11T00:30:00Z,2021-10-11T00:31:00Z,2021-10-11T03:06:00Z,2021-10-11T03:07:00Z,target,1.129774128775647,1.1610736726972337,1.6692723570579733,"simulated minute open / intraminute exit interval, not exact tick"
5,891601.0,891956.0,1.0,13738.0,1.0907,1.0789,7.4920183,7.4109641,1.5132407,-162.10840000000044,-178.52462310000047,10439.403717733729,1.0,10617.928340833729,1.411201518696955,1634032620.0,2021-10-12T04:00:00Z,2021-10-12T04:01:00Z,2021-10-12T09:56:00Z,2021-10-12T09:57:00Z,stop,1.0792122766429741,1.1172491737366055,2.3110909717692674,"simulated minute open / intraminute exit interval, not exact tick"
6,899791.0,899861.0,1.0,17515.0,1.0585,1.0732000000000002,9.269813749999999,9.398549000000001,0.0,257.47050000000274,238.80213725000274,10678.205854983733,2.0,10439.403717733729,1.775927821289848,1634506920.0,2021-10-17T20:30:00Z,2021-10-17T20:31:00Z,2021-10-17T21:41:00Z,2021-10-17T21:42:00Z,target,1.0482618068446423,1.0734719248217424,1.4623600663274823,"simulated minute open / intraminute exit interval, not exact tick"
7,913461.0,913461.0,1.0,18575.0,1.0108000000000001,1.0007000000000001,9.387805000000002,9.29400125,0.0,-187.60749999999996,-206.28930624999998,10471.916548733732,1.0,10678.205854983733,1.7583112982633735,1635322920.0,2021-10-27T08:20:00Z,2021-10-27T08:21:00Z,2021-10-27T08:21:00Z,2021-10-27T08:22:00Z,stop,1.0009181886094647,1.0332144591673302,2.2682540964906597,"simulated minute open / intraminute exit interval, not exact tick"
8,913541.0,913552.0,1.0,15258.0,1.0181,1.0079,7.7670849,7.689269100000001,0.0,-155.6315999999998,-171.0879539999998,10300.828594733732,1.0,10471.916548733732,1.4834122987619107,1635328380.0,2021-10-27T09:40:00Z,2021-10-27T09:41:00Z,2021-10-27T09:52:00Z,2021-10-27T09:53:00Z,stop,1.0081468221441392,1.0382102662029724,2.020486973527822,"simulated minute open / intraminute exit interval, not exact tick"
9,913576.0,913848.0,1.0,3456.0,1.0125,1.0313,1.7496,1.7820864,0.0,64.97280000000052,61.44111360000052,10362.269708333733,2.0,10300.828594733732,0.3397008277362226,1635346140.0,2021-10-27T10:15:00Z,2021-10-27T10:16:00Z,2021-10-27T14:48:00Z,2021-10-27T14:49:00Z,target,1.002601569021649,1.0315831752373246,1.9278990053132459,"simulated minute open / intraminute exit interval, not exact tick"
10,914701.0,914702.0,1.0,17904.0,1.0178,1.0076,9.1113456,9.0200352,0.0,-182.62079999999978,-200.75218079999976,10161.517527533733,1.0,10362.269708333733,1.7585617546071606,1635397380.0,2021-10-28T05:00:00Z,2021-10-28T05:01:00Z,2021-10-28T05:02:00Z,2021-10-28T05:03:00Z,stop,1.0078497550125771,1.0370887585010937,1.938520963601884,"simulated minute open / intraminute exit interval, not exact tick"
11,914731.0,914770.0,1.0,10715.0,1.0073,1.0310000000000001,5.3966097500000005,5.523582500000001,0.0,253.94550000000058,243.02530775000056,10404.542835283733,2.0,10161.517527533733,1.0621661056780745,1635401460.0,2021-10-28T05:30:00Z,2021-10-28T05:31:00Z,2021-10-28T06:10:00Z,2021-10-28T06:11:00Z,target,0.9974524054079084,1.0312773095004484,2.434839216442112,"simulated minute open / intraminute exit interval, not exact tick"
12,919541.0,919727.0,1.0,9523.0,1.0815000000000001,1.0935000000000001,5.149562250000001,5.206700250000001,1.03400734,114.2760000000001,102.8857301600001,10507.428565443734,2.0,10404.542835283733,0.9898680473565605,1635698880.0,2021-10-31T13:40:00Z,2021-10-31T13:41:00Z,2021-10-31T16:47:00Z,2021-10-31T16:48:00Z,target,1.0739682463378868,1.0937245079525135,1.6230626359974636,"simulated minute open / intraminute exit interval, not exact tick"
13,920411.0,920504.0,1.0,9328.0,1.0779,1.0922,5.0273256,5.0940208,0.0,133.3903999999998,123.2690535999998,10630.697619043733,2.0,10507.428565443734,0.9569088323918943,1635745500.0,2021-11-01T04:10:00Z,2021-11-01T04:11:00Z,2021-11-01T05:44:00Z,2021-11-01T05:45:00Z,target,1.0703933173625595,1.092507793936065,1.9459719614635682,"simulated minute open / intraminute exit interval, not exact tick"
14,934411.0,934413.0,1.0,16959.0,1.1861000000000002,1.2085000000000001,10.05753495,10.247475750000001,0.0,379.8815999999996,359.5765892999996,10990.274208343733,2.0,10630.697619043733,1.8921683807435228,1636580040.0,2021-11-10T21:30:00Z,2021-11-10T21:31:00Z,2021-11-10T21:33:00Z,2021-11-10T21:34:00Z,target,1.1754236149265376,1.2087761734022924,2.1239561186919422,"simulated minute open / intraminute exit interval, not exact tick"
15,941831.0,941855.0,1.0,18252.0,1.1376,1.1271,10.381737600000001,10.2859146,0.0,-191.64599999999916,-212.31365219999918,10777.960556143733,1.0,10990.274208343733,1.8892590672793703,1637026560.0,2021-11-16T01:10:00Z,2021-11-16T01:11:00Z,2021-11-16T01:35:00Z,2021-11-16T01:36:00Z,stop,1.127350157039051,1.1574888738512643,1.9404076654675744,"simulated minute open / intraminute exit interval, not exact tick"
16,960521.0,960551.0,-1.0,3530.0,0.9746,0.9820000000000001,1.720169,1.7332300000000003,0.0,-26.12200000000026,-29.575399000000257,10748.385157143732,1.0,10777.960556143733,0.31920120528172774,1638148320.0,2021-11-29T00:40:00Z,2021-11-29T00:41:00Z,2021-11-29T01:11:00Z,2021-11-29T01:12:00Z,stop,0.981706597500186,0.9611751381044915,1.8890702470707401,"simulated minute open / intraminute exit interval, not exact tick"
17,960581.0,960823.0,-1.0,3104.0,0.9754,0.9828,1.5138208,1.5253056,0.0,-22.969599999999883,-26.008726399999883,10722.37643074373,1.0,10748.385157143732,0.28168339296882466,1638164640.0,2021-11-29T01:40:00Z,2021-11-29T01:41:00Z,2021-11-29T05:43:00Z,2021-11-29T05:44:00Z,stop,0.9825124309477543,0.9624561793998943,1.8198869971725649,"simulated minute open / intraminute exit interval, not exact tick"
18,968921.0,969064.0,-1.0,13841.0,0.8385,0.8528,5.80283925,5.901802399999999,0.0,-197.9262999999997,-209.63094164999973,10512.745489093732,1.0,10722.37643074373,1.0823793190774036,1638659100.0,2021-12-04T20:40:00Z,2021-12-04T20:41:00Z,2021-12-04T23:04:00Z,2021-12-04T23:05:00Z,stop,0.8526186891926995,0.807460282195779,2.1984843904823133,"simulated minute open / intraminute exit interval, not exact tick"
19,969096.0,969130.0,-1.0,4559.0,0.8434,0.8578,1.9225303000000002,1.9553551,-0.23691126935218323,-65.64959999999985,-69.29057413064768,10443.454914963084,1.0,10512.745489093732,0.36575227698501717,1638663060.0,2021-12-04T23:35:00Z,2021-12-04T23:36:00Z,2021-12-05T00:10:00Z,2021-12-05T00:11:00Z,stop,0.8576011955457635,0.8149009765147206,2.0068045252557134,"simulated minute open / intraminute exit interval, not exact tick"
20,969156.0,969534.0,-1.0,13580.0,0.8323,0.8465,5.651317,5.7477350000000005,0.0,-192.83599999999987,-204.23505199999988,10239.219862963084,1.0,10443.454914963084,1.0822696216944365,1638687300.0,2021-12-05T00:35:00Z,2021-12-05T00:36:00Z,2021-12-05T06:54:00Z,2021-12-05T06:55:00Z,stop,0.8463142933990265,0.8037882512331845,2.0344763703031985,"simulated minute open / intraminute exit interval, not exact tick"
21,969561.0,969846.0,-1.0,2525.0,0.8406,0.8141,1.0612575,1.02780125,-0.211657370025,66.91249999999992,65.03509862002493,10304.254961583109,2.0,10239.219862963084,0.20729264811252665,1638706020.0,2021-12-05T07:20:00Z,2021-12-05T07:21:00Z,2021-12-05T12:06:00Z,2021-12-05T12:07:00Z,target,0.8547540490582983,0.8139346525771957,1.883937756113038,"simulated minute open / intraminute exit interval, not exact tick"
22,997686.0,997727.0,1.0,18705.0,0.9113,0.9298000000000001,8.52293325,8.6959545,0.0,346.0425000000013,328.82361225000136,10633.078573833109,2.0,10304.254961583109,1.6542551172842035,1640378880.0,2021-12-24T20:05:00Z,2021-12-24T20:06:00Z,2021-12-24T20:47:00Z,2021-12-24T20:48:00Z,target,0.9017585925739351,0.9300765327886428,1.9678996976221457,"simulated minute open / intraminute exit interval, not exact tick"
23,997861.0,997873.0,1.0,12062.0,0.9073,0.8976000000000001,5.4719263,5.413425600000001,0.0,-117.00139999999917,-127.88675189999917,10505.19182193311,1.0,10633.078573833109,1.0292270976847357,1640387640.0,2021-12-24T23:00:00Z,2021-12-24T23:01:00Z,2021-12-24T23:13:00Z,2021-12-24T23:14:00Z,stop,0.8978004729971814,0.9269116181326112,2.0644836450059167,"simulated minute open / intraminute exit interval, not exact tick"
24,997931.0,998352.0,1.0,12535.0,0.9042,0.9257000000000001,5.667073500000001,5.801824750000001,0.0,269.5025000000009,258.0336017500009,10763.225423683109,2.0,10505.19182193311,1.078909094866423,1640416380.0,2021-12-25T00:10:00Z,2021-12-25T00:11:00Z,2021-12-25T07:12:00Z,2021-12-25T07:13:00Z,target,0.8947329303251971,0.9258906779209881,2.2911712563729223,"simulated minute open / intraminute exit interval, not exact tick"
25,1024746.0,1024754.0,-1.0,6549.0,0.7941,0.7997000000000001,2.60028045,2.61861765,0.0,-36.674400000000325,-41.89329810000032,10721.332125583109,1.0,10763.225423683109,0.4831786658074472,1642000500.0,2022-01-12T15:05:00Z,2022-01-12T15:06:00Z,2022-01-12T15:14:00Z,2022-01-12T15:15:00Z,stop,0.799522324983794,0.784636230891303,1.7453341762033607,"simulated minute open / intraminute exit interval, not exact tick"
26,1024776.0,1025050.0,-1.0,5008.0,0.7946000000000001,0.8002,1.9896784000000003,2.0037008000000003,-0.39623296,-28.04479999999969,-31.64194623999969,10689.69017934311,1.0,10721.332125583109,0.3711625340385183,1642018260.0,2022-01-12T15:35:00Z,2022-01-12T15:36:00Z,2022-01-12T20:10:00Z,2022-01-12T20:11:00Z,stop,0.800025739116135,0.783255350032412,2.0908948485657346,"simulated minute open / intraminute exit interval, not exact tick"
27,1025081.0,1025090.0,-1.0,2583.0,0.7962,0.8018000000000001,1.0282923000000002,1.0355247000000003,0.0,-14.464800000000128,-16.52861700000013,10673.16156234311,1.0,10689.69017934311,0.19238954221275467,1642020660.0,2022-01-12T20:40:00Z,2022-01-12T20:41:00Z,2022-01-12T20:50:00Z,2022-01-12T20:51:00Z,stop,0.8016366643396258,0.7852280369736848,2.018142438249275,"simulated minute open / intraminute exit interval, not exact tick"
28,1025311.0,1025472.0,-1.0,4223.0,0.7968000000000001,0.7861,1.6824432000000002,1.65985015,0.0,45.18610000000018,41.84380665000018,10715.00536899311,2.0,10673.16156234311,0.3152661355630503,1642043580.0,2022-01-13T00:30:00Z,2022-01-13T00:31:00Z,2022-01-13T03:12:00Z,2022-01-13T03:13:00Z,target,0.8022407612984349,0.7859184774031303,2.000000000000033,"simulated minute open / intraminute exit interval, not exact tick"
29,1058476.0,1058652.0,-1.0,23698.0,0.6656000000000001,0.6732,7.886694400000001,7.9767468,0.0,-180.1047999999986,-195.9682411999986,10519.037127793112,1.0,10715.00536899311,1.472084078057931,1644034380.0,2022-02-05T01:15:00Z,2022-02-05T01:16:00Z,2022-02-05T04:12:00Z,2022-02-05T04:13:00Z,stop,0.6730575618383167,0.6493162482782154,2.1835221852428313,"simulated minute open / intraminute exit interval, not exact tick"
30,1082766.0,1082843.0,1.0,17245.0,0.7211000000000001,0.7099000000000001,6.21768475,6.121112750000001,0.0,-193.14399999999978,-205.48279749999978,10313.554330293113,1.0,10519.037127793112,1.1821775461884823,1645485840.0,2022-02-21T22:05:00Z,2022-02-21T22:06:00Z,2022-02-21T23:23:00Z,2022-02-21T23:24:00Z,stop,0.7101106450951152,0.746273196011975,2.290689146892988,"simulated minute open / intraminute exit interval, not exact tick"
31,1108966.0,1109196.0,-1.0,14557.0,0.8299000000000001,0.8031,6.04042715,5.84536335,0.0,390.12760000000065,378.2418095000006,10691.796139793114,2.0,10313.554330293113,1.1713570233024273,1647067020.0,2022-03-12T02:45:00Z,2022-03-12T02:46:00Z,2022-03-12T06:36:00Z,2022-03-12T06:37:00Z,target,0.8427079102496036,0.802927392115203,2.105933548810746,"simulated minute open / intraminute exit interval, not exact tick"
