trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,initial_stop_price,absolute_target,target_R_at_fill,timestamp_precision
1,841550.0,841816.0,1.0,15913.0,1.2781,1.2657,0.0,0.0,0.0,-197.32119999999946,-197.32119999999946,9802.6788,1.0,10000.0,2.03384053,1631024220.0,2021-09-07T09:50:00Z,2021-09-07T09:50:00Z,2021-09-07T14:16:00Z,2021-09-07T14:17:00Z,stop,1.2657317090333216,1.3029385173517067,2.008241673698053,"simulated minute open / intraminute exit interval, not exact tick"
2,876335.0,876359.0,-1.0,17605.0,1.0409000000000002,1.0188000000000001,0.0,0.0,0.0,389.07050000000015,389.07050000000015,10191.7493,2.0,9802.6788,1.8693915075540375,1633096800.0,2021-10-01T13:35:00Z,2021-10-01T13:35:00Z,2021-10-01T13:59:00Z,2021-10-01T14:00:00Z,target,1.0518357920629289,1.0187347195298613,2.0268564309371793,"simulated minute open / intraminute exit interval, not exact tick"
3,876870.0,877164.0,-1.0,18276.0,1.0425,1.0206,0.0,0.0,-1.9044338391840003,400.24440000000055,402.14883383918453,10593.898133839184,2.0,10191.7493,1.8694268706158226,1633145100.0,2021-10-01T22:30:00Z,2021-10-01T22:30:00Z,2021-10-02T03:24:00Z,2021-10-02T03:25:00Z,target,1.0534526018115122,1.0205947963769753,2.0000000000000018,"simulated minute open / intraminute exit interval, not exact tick"
4,889950.0,890106.0,1.0,14270.0,1.1377000000000002,1.161,0.0,0.0,0.0,332.4909999999982,332.4909999999982,10926.389133839182,2.0,10593.898133839184,1.5324839633998364,1633921620.0,2021-10-11T00:30:00Z,2021-10-11T00:30:00Z,2021-10-11T03:06:00Z,2021-10-11T03:07:00Z,target,1.1260131636513833,1.1610736726972337,1.999999999999971,"simulated minute open / intraminute exit interval, not exact tick"
5,891600.0,891952.0,1.0,7672.0,1.0941,1.0825,0.0,0.0,0.8450707999999999,-88.99520000000042,-89.84027080000043,10836.548863039181,1.0,10926.389133839182,0.7682259067640071,1634032380.0,2021-10-12T04:00:00Z,2021-10-12T04:00:00Z,2021-10-12T09:52:00Z,2021-10-12T09:53:00Z,stop,1.0825764663748767,1.1172491737366055,2.008860692360555,"simulated minute open / intraminute exit interval, not exact tick"
6,899790.0,899861.0,1.0,20869.0,1.0530000000000002,1.0734000000000001,0.0,0.0,0.0,425.7275999999994,425.7275999999994,11262.276463039181,2.0,10836.548863039181,2.02786489294129,1634506920.0,2021-10-17T20:30:00Z,2021-10-17T20:30:00Z,2021-10-17T21:41:00Z,2021-10-17T21:42:00Z,target,1.0428150048251381,1.0734719248217424,2.0100082985085237,"simulated minute open / intraminute exit interval, not exact tick"
7,913460.0,913461.0,1.0,22285.0,1.0134,1.0034,0.0,0.0,0.0,-222.8500000000002,-222.8500000000002,11039.42646303918,1.0,11262.276463039181,2.005244594564472,1635322920.0,2021-10-27T08:20:00Z,2021-10-27T08:20:00Z,2021-10-27T08:21:00Z,2021-10-27T08:22:00Z,stop,1.003492770416335,1.0332144591673302,2.0000000000000075,"simulated minute open / intraminute exit interval, not exact tick"
8,913540.0,913552.0,1.0,17931.0,1.0184,1.0084,0.0,0.0,0.0,-179.31000000000017,-179.31000000000017,10860.116463039181,1.0,11039.42646303918,1.6541557173408374,1635328380.0,2021-10-27T09:40:00Z,2021-10-27T09:40:00Z,2021-10-27T09:52:00Z,2021-10-27T09:53:00Z,stop,1.008443889275701,1.0382102662029724,1.98975953075969,"simulated minute open / intraminute exit interval, not exact tick"
9,913575.0,913848.0,1.0,3831.0,1.0118,1.0315,0.0,0.0,0.0,75.47070000000019,75.47070000000019,10935.587163039181,2.0,10860.116463039181,0.3569211999882414,1635346140.0,2021-10-27T10:15:00Z,2021-10-27T10:15:00Z,2021-10-27T14:48:00Z,2021-10-27T14:49:00Z,target,1.0019084123813378,1.0315831752373246,2.0000000000000107,"simulated minute open / intraminute exit interval, not exact tick"
10,914700.0,914702.0,1.0,21561.0,1.0171000000000001,1.0071,0.0,0.0,0.0,-215.61000000000018,-215.61000000000018,10719.97716303918,1.0,10935.587163039181,2.0053512237659654,1635397380.0,2021-10-28T05:00:00Z,2021-10-28T05:00:00Z,2021-10-28T05:02:00Z,2021-10-28T05:03:00Z,stop,1.0071565983722661,1.0370887585010937,2.0102535580320002,"simulated minute open / intraminute exit interval, not exact tick"
